['a284', 'a2', 'a41', 'a42', 'a44', 'a48', 'a53', 'a59', 'a78', 'a55', 'a91', 'a322']
['a210', 'a1', 'a46', 'a60', 'a108', 'a122', 'a138', 'a331', 'a86', 'a87', 'a303', 'a63']
['a196', 'a3', 'a45', 'a56', 'a77', 'a92', 'a166', 'a201', 'a289', 'a94', 'a293', 'a410']
['a354', 'a4', 'a57', 'a61', 'a71', 'a89', 'a229', 'a51', 'a117', 'a128', 'a251', 'a152']
['a387', 'a5', 'a65', 'a69', 'a126', 'a180', 'a199', 'a335', 'a350', 'a416', 'a129', 'a197']
['a67', 'a6', 'a49', 'a54', 'a80', 'a139', 'a386', 'a100', 'a177', 'a193', 'a204', 'a232']
['a106', 'a8', 'a52', 'a120', 'a145', 'a178', 'a184', 'a203', 'a332', 'a240', 'a270', 'a400']
['a14', 'a43', 'a47', 'a62', 'a116', 'a167', 'a245', 'a355', 'a165', 'a339', 'a422', 'a458']
['a130', 'a10', 'a50', 'a58', 'a81', 'a93', 'a112', 'a192', 'a467', 'a404', 'a479', 'a146']
['a310', 'a7', 'a70', 'a74', 'a111', 'a114', 'a140', 'a394', 'a162', 'a187', 'a150', 'a277']
['a221', 'a13', 'a64', 'a82', 'a119', 'a207', 'a211', 'a280', 'a304', 'a367', 'a157', 'a261']
['a380', 'a9', 'a66', 'a72', 'a96', 'a115', 'a227', 'a294', 'a349', 'a202', 'a423', 'a244']
['a329', 'a11', 'a73', 'a83', 'a88', 'a99', 'a189', 'a225', 'a136', 'a149', 'a168', 'a237']
['a147', 'a18', 'a75', 'a97', 'a132', 'a164', 'a238', 'a253', 'a469', 'a84', 'a216', 'a405']
['a176', 'a12', 'a85', 'a109', 'a133', 'a163', 'a281', 'a402', 'a148', 'a169', 'a252', 'a171']
['a29', 'a68', 'a105', 'a141', 'a188', 'a231', 'a285', 'a445', 'a155', 'a182', 'a190', 'a301']
['a474', 'a16', 'a95', 'a103', 'a107', 'a121', 'a195', 'a461', 'a156', 'a356', 'a172', 'a321']
['a368', 'a15', 'a79', 'a102', 'a113', 'a161', 'a212', 'a259', 'a209', 'a462', 'a170', 'a246']
['a437', 'a17', 'a76', 'a134', 'a186', 'a213', 'a267', 'a272', 'a173', 'a299', 'a160', 'a217']
['a384', 'a19', 'a101', 'a151', 'a159', 'a183', 'a215', 'a266', 'a382', 'a260', 'a333', 'a347']
['a179', 'a20', 'a104', 'a153', 'a263', 'a373', 'a442', 'a200', 'a268', 'a318', 'a342', 'a417']
['a206', 'a21', 'a98', 'a118', 'a131', 'a185', 'a364', 'a125', 'a313', 'a343', 'a292', 'a323']
['a383', 'a22', 'a110', 'a154', 'a296', 'a302', 'a362', 'a144', 'a265', 'a369', 'a346', 'a451']
['a465', 'a23', 'a135', 'a174', 'a175', 'a222', 'a305', 'a309', 'a337', 'a409', 'a198', 'a254']
['a282', 'a26', 'a123', 'a124', 'a226', 'a236', 'a295', 'a142', 'a274', 'a327', 'a372', 'a361']
['a287', 'a24', 'a137', 'a230', 'a325', 'a344', 'a218', 'a234', 'a340', 'a378', 'a418', 'a241']
['a328', 'a25', 'a143', 'a194', 'a248', 'a258', 'a298', 'a434', 'a262', 'a233', 'a214', 'a353']
['a439', 'a27', 'a181', 'a223', 'a224', 'a432', 'a219', 'a255', 'a306', 'a341', 'a441', 'a334']
['a357', 'a28', 'a228', 'a249', 'a283', 'a348', 'a395', 'a411', 'a412', 'a276', 'a345', 'a242']
['a425', 'a30', 'a90', 'a205', 'a308', 'a377', 'a264', 'a352', 'a376', 'a158', 'a300', 'a415']
['a314', 'a31', 'a127', 'a191', 'a243', 'a247', 'a297', 'a315', 'a388', 'a430', 'a208', 'a414']
['a477', 'a33', 'a220', 'a286', 'a363', 'a375', 'a446', 'a457', 'a324', 'a307', 'a326', 'a330']
['a37', 'a250', 'a256', 'a288', 'a312', 'a358', 'a408', 'a291', 'a359', 'a273', 'a420', 'a452']
['a476', 'a34', 'a235', 'a366', 'a389', 'a336', 'a397', 'a429', 'a431', 'a443', 'a351', 'a392']
['a269', 'a32', 'a239', 'a290', 'a449', 'a379', 'a447', 'a455', 'a317', 'a320', 'a360', 'a435']
['a319', 'a35', 'a271', 'a278', 'a427', 'a466', 'a398', 'a257', 'a365', 'a371', 'a407', 'a440']
['a279', 'a36', 'a311', 'a433', 'a381', 'a390', 'a275', 'a338', 'a399', 'a413', 'a374', 'a370']
['a428', 'a38', 'a391', 'a396', 'a385', 'a424', 'a403', 'a426', 'a471', 'a478', 'a419', 'a401']
['a464', 'a39', 'a393', 'a406', 'a438', 'a448', 'a453', 'a468', 'a472', 'a475', 'a316', 'a444']
['a450', 'a421', 'a459', 'a473', 'a40', 'a460', 'a470', 'a436', 'a454', 'a480', 'a456', 'a463']
