['go', 'ga', 'jt', 'ca', 'da', 'gk', 'dp', 'gs', 'dn', 'x']
['df', 'gq', 'ir', 'ea', 'kg', 'bx', 'dv', 'gh', 'eb', 'dg']
['o', 'jw', 'dt', 'gt', 'cz', 'is', 'bb', 'bo', 'c', 'jm']
['fn', 'gy', 'dq', 'gc', 'eg', 'ec', 'bl', 'dy', 'bc', 'gg']
['gn', 'db', 'p', 'dc', 'h', 'jv', 'er', 'bi', 'bt', 'gw']
['fw', 'dm', 'l', 'dw', 'ep', 'js', 'br', 'ia', 'jd', 'gr']
['fh', 'ex', 'cn', 'de', 'bk', 'ds', 'gi', 'bm', 'gd', 'iw']
['jx', 'eo', 'iv', 'bp', 'd', 'je', 'ju', 'jg', 'fv', 'do']
['gp', 'et', 'hk', 'ih', 'di', 'aw', 'fs', 'jq', 'cg', 'ac']
['g', 'jc', 'ck', 'hs', 'he', 'ee', 'ch', 'f', 'n', 'ix']
['cs', 'gf', 'el', 's', 'iy', 'co', 'iq', 'hr', 'al', 'ie']
['z', 'ce', 'jh', 'ez', 'jo', 'en', 'eq', 'gx', 'it', 'jk']
['aa', 'hw', 'ho', 'fe', 'gz', 'bf', 'ef', 'hi', 'cw', 'eh']
['ar', 'kk', 'an', 'cl', 'hx', 'ai', 'il', 'ff', 'cb', 'cd']
['gv', 'ik', 'ic', 'ge', 'gj', 'dh', 'jl', 'bv', 'bq', 'du']
['ba', 'cc', 'v', 'be', 'fo', 'kj', 'ei', 'ag', 'w', 'ek']
['bu', 'jr', 'jp', 'cq', 'hy', 'b', 'ew', 'ap', 'ev', 'es']
['bw', 'bz', 'fx', 'm', 'jz', 'fa', 'bn', 'kb', 'bh', 'zz']
['cv', 'hp', 'at', 'cu', 'ah', 'ig', 'ax', 'ft', 'fj', 'fl']
['j', 'ci', 'ip', 'cp', 'iz', 'in', 'iu', 'bs', 'jf', 'jn']
['fd', 'ab', 'fq', 'io', 'aq', 'cj', 'hm', 'cx', 'cr', 'ka']
['gl', 'kd', 'jb', 'jy', 'hz', 'hq', 'i', 'ht', 'fg', 'hn']
['gm', 'ak', 'fu', 'fr', 'hl', 'hd', 'im', 'ad', 'af', 'aj']
['dl', 'ao', 'av', 'fp', 'fb', 'fc', 'fi', 'fk', 'fm', 'a']
['dz', 'jj', 'ke', 'ki', 'kh', 'kn', 'u', 'km', 'gu', 'gb']
['k', 'e', 'dj', 'dk', 'dd', 'dx', 'dr', 't', 'em', 'ej']
['cy', 'ed', 'ey', 'eu', 'bd', 'bg', 'bj', 'by', 'ji', 'cm']
['kl', 'cf', 'ct', 'ja', 'kc', 'hv', 'hu', 'hj', 'hh', 'hb']
['y', 'hc', 'ha', 'hf', 'hg', 'ii', 'ij', 'r', 'ae', 'am']
['as', 'au', 'ay', 'az', 'if', 'ib', 'fy', 'fz', 'kf', 'q']
