['a48', 'a44', 'a211', 'a204', 'a133', 'a300', 'a207', 'a191', 'a143', 'a390', 'a150', 'a132', 'a250', 'a55', 'a378', 'a202', 'a130', 'a218', 'a116', 'a321']
['a41', 'a179', 'a51', 'a196', 'a388', 'a291', 'a342', 'a213', 'a215', 'a156', 'a293', 'a273', 'a277', 'a359', 'a115', 'a20', 'a3', 'a118', 'a98', 'a373']
['a294', 'a261', 'a125', 'a114', 'a170', 'a377', 'a389', 'a242', 'a94', 'a124', 'a397', 'a386', 'a295', 'a368', 'a224', 'a155', 'a352', 'a268', 'a39', 'a393']
['a222', 'a22', 'a172', 'a189', 'a111', 'a121', 'a317', 'a305', 'a25', 'a89', 'a38', 'a201', 'a47', 'a210', 'a93', 'a395', 'a337', 'a23', 'a29', 'a267']
['a73', 'a46', 'a275', 'a141', 'a361', 'a249', 'a12', 'a264', 'a394', 'a61', 'a75', 'a76', 'a314', 'a11', 'a367', 'a230', 'a149', 'a7', 'a374', 'a246']
['a62', 'a24', 'a178', 'a259', 'a49', 'a272', 'a146', 'a82', 'a209', 'a216', 'a30', 'a283', 'a52', 'a92', 'a137', 'a153', 'a193', 'a350', 'a346', 'a399']
['a72', 'a240', 'a206', 'a10', 'a81', 'a398', 'a316', 'a127', 'a353', 'a383', 'a190', 'a69', 'a226', 'a157', 'a270', 'a325', 'a257', 'a56', 'a187', 'a15']
['a396', 'a122', 'a105', 'a84', 'a167', 'a175', 'a381', 'a182', 'a237', 'a108', 'a245', 'a180', 'a99', 'a59', 'a220', 'a309', 'a214', 'a227', 'a80', 'a102']
['a232', 'a234', 'a36', 'a147', 'a101', 'a258', 'a165', 'a19', 'a251', 'a307', 'a372', 'a343', 'a129', 'a5', 'a173', 'a379', 'a205', 'a265', 'a262', 'a168']
['a142', 'a197', 'a26', 'a160', 'a31', 'a134', 'a6', 'a117', 'a35', 'a241', 'a256', 'a271', 'a332', 'a290', 'a333', 'a123', 'a303', 'a363', 'a280', 'a344']
['a311', 'a364', 'a8', 'a28', 'a158', 'a128', 'a299', 'a285', 'a183', 'a91', 'a34', 'a308', 'a341', 'a79', 'a110', 'a284', 'a255', 'a320', 'a184', 'a86']
['a37', 'a384', 'a174', 'a65', 'a95', 'a347', 'a4', 'a217', 'a282', 'a286', 'a200', 'a9', 'a229', 'a42', 'a171', 'a203', 'a369', 'a297', 'a106', 'a252']
['a88', 'a96', 'a0', 'a113', 'a162', 'a57', 'a380', 'a164', 'a336', 'a40', 'a185', 'a228', 'a77', 'a371', 'a296', 'a138', 'a60', 'a186', 'a304', 'a208']
['a247', 'a370', 'a18', 'a351', 'a238', 'a239', 'a45', 'a152', 'a360', 'a63', 'a387', 'a331', 'a78', 'a356', 'a345', 'a109', 'a21', 'a248', 'a14', 'a195']
['a68', 'a382', 'a33', 'a198', 'a100', 'a357', 'a319', 'a135', 'a97', 'a260', 'a103', 'a58', 'a315', 'a322', 'a13', 'a120', 'a145', 'a392', 'a140', 'a188']
['a269', 'a1', 'a253', 'a354', 'a376', 'a181', 'a365', 'a64', 'a148', 'a163', 'a194', 'a375', 'a32', 'a176', 'a328', 'a151', 'a27', 'a107', 'a74', 'a225']
['a349', 'a2', 'a244', 'a139', 'a301', 'a235', 'a221', 'a17', 'a306', 'a159', 'a71', 'a231', 'a266', 'a131', 'a329', 'a355', 'a66', 'a212', 'a243', 'a391']
['a119', 'a339', 'a318', 'a385', 'a70', 'a90', 'a144', 'a338', 'a274', 'a288', 'a54', 'a292', 'a43', 'a310', 'a161', 'a263', 'a330', 'a281', 'a112', 'a334']
['a327', 'a154', 'a136', 'a254', 'a276', 'a236', 'a53', 'a324', 'a312', 'a85', 'a169', 'a340', 'a323', 'a177', 'a313', 'a223', 'a199', 'a104', 'a335', 'a302']
['a192', 'a233', 'a166', 'a83', 'a287', 'a366', 'a126', 'a362', 'a348', 'a358', 'a279', 'a67', 'a16', 'a50', 'a298', 'a278', 'a87', 'a289', 'a326', 'a219']
