['495', '1', '14', '27', '45', '289', '334', '182', '18', '36', '122', '35', '324', '61', '257', '460', '438', '452', '477', '53', '314', '134', '243', '418', '281', '172', '409']
['16', '0', '8', '11', '43', '65', '99', '39', '403', '446', '236', '174', '86', '239', '270', '219', '124', '200', '255', '303', '369', '459', '254', '497', '87', '19', '322']
['139', '2', '3', '33', '62', '12', '93', '192', '194', '60', '242', '103', '241', '15', '260', '388', '365', '326', '376', '402', '79', '183', '356', '38', '64', '230', '136']
['385', '5', '54', '68', '138', '161', '154', '208', '394', '246', '114', '265', '305', '271', '433', '248', '81', '120', '97', '366', '140', '338', '449', '125', '153', '111', '382']
['359', '6', '10', '67', '106', '193', '50', '112', '337', '143', '29', '91', '47', '96', '204', '100', '347', '131', '107', '150', '180', '372', '264', '298', '30', '410', '108']
['28', '4', '23', '73', '117', '474', '72', '189', '191', '226', '282', '435', '48', '220', '448', '167', '457', '229', '94', '113', '116', '306', '31', '284', '245', '283', '46']
['425', '7', '9', '69', '109', '121', '130', '158', '176', '231', '104', '197', '144', '218', '235', '273', '387', '168', '101', '223', '368', '444', '399', '463', '159', '178']
['378', '13', '17', '89', '165', '419', '170', '187', '302', '206', '253', '22', '421', '336', '95', '51', '70', '222', '141', '49', '52', '251', '317', '196', '318', '384']
['291', '20', '21', '56', '163', '209', '211', '272', '350', '353', '135', '383', '137', '323', '24', '119', '276', '397', '118', '88', '212', '258', '259', '199', '332', '160']
['379', '44', '59', '92', '156', '482', '63', '149', '311', '454', '422', '26', '142', '83', '177', '179', '42', '352', '102', '123', '175', '354', '343', '442', '361', '377']
['380', '32', '34', '74', '148', '426', '427', '166', '181', '299', '475', '287', '483', '126', '237', '274', '66', '320', '489', '173', '285', '145', '375', '451', '294', '133']
['313', '75', '84', '147', '360', '207', '214', '304', '416', '55', '188', '290', '233', '309', '423', '263', '404', '447', '434', '469', '225', '297', '413', '370', '488', '228']
['185', '25', '71', '76', '190', '461', '162', '105', '266', '329', '333', '202', '417', '340', '374', '486', '247', '344', '98', '78', '232', '195', '499', '316', '58', '345']
['82', '37', '85', '152', '256', '436', '164', '250', '151', '437', '490', '110', '205', '129', '262', '363', '428', '468', '310', '280', '462', '319', '201', '395', '470', '348']
['327', '41', '80', '90', '186', '362', '278', '307', '234', '471', '315', '440', '420', '210', '481', '349', '389', '465', '364', '373', '321', '408', '411', '328', '445', '494']
['464', '40', '198', '215', '355', '381', '217', '400', '224', '203', '485', '496', '268', '392', '476', '286', '325', '439', '330', '443', '351', '249', '77', '391', '393', '396']
['213', '127', '169', '335', '398', '288', '269', '277', '146', '412', '414', '478', '128', '216', '261', '227', '479', '296', '341', '238', '458', '456', '279', '221', '300', '346']
['492', '57', '155', '455', '491', '115', '301', '244', '339', '415', '441', '453', '466', '275', '171', '240', '487', '292', '342', '401', '432', '184', '295', '371', '390', '424']
['357', '132', '267', '358', '252', '405', '480', '157', '406', '431', '331', '293', '312', '429', '472', '367', '498', '386', '407', '467', '484', '430', '450', '473', '493', '308']
