['0', 'A0', 'B0']
['30', 'C0', 'D0']
['1', 'E0', 'F0']
['31', 'G0', 'H0']
['2', 'A1', 'B1']
['32', 'C1', 'D1']
['3', 'E1', 'F1']
['33', 'G1', 'H1']
['4', 'A2', 'B2']
['34', 'C2', 'D2']
['5', 'E2', 'F2']
['35', 'G2', 'H2']
['6', 'A3', 'B3']
['36', 'C3', 'D3']
['7', 'E3', 'F3']
['37', 'G3', 'H3']
['8', 'A4', 'B4']
['38', 'C4', 'D4']
['9', 'E4', 'F4']
['39', 'G4', 'H4']
['10', 'A5', 'B5']
['40', 'C5', 'D5']
['11', 'E5', 'F5']
['41', 'G5', 'H5']
['12', 'A6', 'B6']
['42', 'C6', 'D6']
['13', 'E6', 'F6']
['43', 'G6', 'H6']
['14', 'A7', 'B7']
['44', 'C7', 'D7']
['15', 'E7', 'F7']
['45', 'G7', 'H7']
['16', 'A8', 'B8']
['46', 'C8', 'D8']
['17', 'E8', 'F8']
['47', 'G8', 'H8']
['18', 'A9', 'B9']
['48', 'C9', 'D9']
['19', 'E9', 'F9']
['49', 'G9', 'H9']
['20', 'A10', 'B10']
['50', 'C10', 'D10']
['21', 'E10', 'F10']
['51', 'G10', 'H10']
['22', 'A11', 'B11']
['52', 'C11', 'D11']
['23', 'E11', 'F11']
['53', 'G11', 'H11']
['24', 'A12', 'B12']
['54', 'C12', 'D12']
['A13', 'B13', 'D13']
['A14', 'B14', 'D14']
['A15', 'B15', 'D15']
['A16', 'B16', 'D16']
['A17', 'B17', 'D17']
['A18', 'B18', 'D18']
['A19', 'B19', 'D19']
['A20', 'B20', 'D20']
['A21', 'B21', 'D21']
['A22', 'B22', 'D22']
['A23', 'B23', 'D23']
['A24', 'B24', 'D24']
['A25', 'B25', 'D25']
['A26', 'B26', 'D26']
['A27', 'B27', 'D27']
['A28', 'B28', 'D28']
['A29', 'B29', 'D29']
['A30', 'B30', 'D30']
['A31', 'B31', 'D31']
['A32', 'B32', 'D32']
['A33', 'B33', 'D33']
['A34', 'B34', 'D34']
['A35', 'B35', 'D35']
['A36', 'B36', 'D36']
['A37', 'B37', 'D37']
['A38', 'B38', 'D38']
['A39', 'B39', 'D39']
['A40', 'B40', 'D40']
['A41', 'B41', 'D41']
['A42', 'B42', 'D42']
['A43', 'B43', 'D43']
['A44', 'B44', 'D44']
['A45', 'B45', 'D45']
['A46', 'B46', 'D46']
['A47', 'B47', 'D47']
['A48', 'B48', 'D48']
['A49', 'B49', 'D49']
['A50', 'B50', 'D50']
['A51', 'B51', 'D51']
['A52', 'B52', 'D52']
['A53', 'B53', 'D53']
['A54', 'B54', 'D54']
['25', 'E12', 'F12']
['55', 'G12', 'H12']
['E13', 'F13', 'G13']
['E14', 'F14', 'G14']
['E15', 'F15', 'G15']
['E16', 'F16', 'G16']
['E17', 'F17', 'G17']
['E18', 'F18', 'G18']
['E19', 'F19', 'G19']
['E20', 'F20', 'G20']
['E21', 'F21', 'G21']
['E22', 'F22', 'G22']
['E23', 'F23', 'G23']
['E24', 'F24', 'G24']
['E25', 'F25', 'G25']
['E26', 'F26', 'G26']
['E27', 'F27', 'G27']
['E28', 'F28', 'G28']
['E29', 'F29', 'G29']
['E30', 'F30', 'G30']
['E31', 'F31', 'G31']
['E32', 'F32', 'G32']
['E33', 'F33', 'G33']
['E34', 'F34', 'G34']
['E35', 'F35', 'G35']
['E36', 'F36', 'G36']
['E37', 'F37', 'G37']
['E38', 'F38', 'G38']
['E39', 'F39', 'G39']
['E40', 'F40', 'G40']
['E41', 'F41', 'G41']
['E42', 'F42', 'G42']
['E43', 'F43', 'G43']
['E44', 'F44', 'G44']
['E45', 'F45', 'G45']
['E46', 'F46', 'G46']
['E47', 'F47', 'G47']
['E48', 'F48', 'G48']
['E49', 'F49', 'G49']
['E50', 'F50', 'G50']
['E51', 'F51', 'G51']
['E52', 'F52', 'G52']
['E53', 'F53', 'G53']
['E54', 'F54', 'G54']
['26', 'C13', 'H13']
['56', 'C14', 'C15']
['27', 'H14', 'H15']
['57', 'C16', 'C17']
['H17', 'H18', 'H16']
['C18', 'C19', 'H19']
['C20', 'C21', 'H20']
['H21', 'H22', 'C22']
['H23', 'H24', 'C23']
['C24', 'C25', 'H25']
['C26', 'C27', 'H26']
['H27', 'H28', 'C28']
['H29', 'H30', 'C29']
['C30', 'C31', 'H31']
['C32', 'C33', 'H32']
['H33', 'H34', 'C34']
['H35', 'H36', 'C35']
['C36', 'C37', 'H37']
['C38', 'C39', 'H38']
['H39', 'H40', 'C40']
['H41', 'H42', 'C41']
['C42', 'C43', 'H43']
['C44', 'C45', 'H44']
['H45', 'H46', 'C46']
['H47', 'H48', 'C47']
['C48', 'C49', 'H49']
['C50', 'C51', 'H50']
['H51', 'H52', 'C52']
['H53', 'H54', 'C53']
['28', 'C54', '58']
['29', '59']
