['a69', 'a10', 'a13', 'a11', 'a19', 'a15', 'a16', 'a61', 'a68', 'a65']
['a83', 'a88', 'a14', 'a81', 'a18', 'a17', 'a98', 'a92', 'a207', 'a86']
['a196', 'a193', 'a190', 'a198', 'a197', 'a12', 'a67', 'a194', 'a95', 'a87']
['a126', 'a120', 'a127', 'a124', 'a122', 'a0', 'a6', 'a9', 'a7', 'a1']
['a185', 'a180', 'a189', 'a182', 'a188', 'a187', 'a4', 'a2', 'a5', 'a8']
['a29', 'a28', 'a20', 'a24', 'a27', 'a25', 'a26', 'a23', 'a63', 'a204']
['a37', 'a33', 'a30', 'a38', 'a34', 'a35', 'a36', 'a201', 'a205', 'a199']
['a91', 'a66', 'a97', 'a94', 'a93', 'a206', 'a203', 'a200', 'a202', 'a208']
['a70', 'a77', 'a76', 'a73', 'a75', 'a22', 'a32', 'a39', 'a40', 'a49']
['a100', 'a106', 'a103', 'a109', 'a104', 'a105', 'a42', 'a41', 'a43', 'a48']
['a132', 'a133', 'a139', 'a134', 'a138', 'a131', 'a47', 'a44', 'a50', 'a56']
['a140', 'a144', 'a141', 'a146', 'a57', 'a52', 'a58', 'a51', 'a54', 'a60']
['a157', 'a150', 'a152', 'a155', 'a151', 'a55', 'a59', 'a62', 'a90', 'a192']
['a165', 'a160', 'a164', 'a161', 'a169', 'a168', 'a166', 'a64', 'a85', 'a72']
['a210', 'a211', 'a218', 'a216', 'a212', 'a215', 'a71', 'a78', 'a74', 'a80']
['a226', 'a227', 'a222', 'a220', 'a221', 'a224', 'a229', 'a228', 'a84', 'a82']
['a243', 'a240', 'a242', 'a249', 'a247', 'a89', 'a191', 'a96', 'a99', 'a108']
['a116', 'a110', 'a114', 'a115', 'a119', 'a118', 'a107', 'a123', 'a125', 'a129']
['a148', 'a145', 'a143', 'a147', 'a149', 'a111', 'a112', 'a117', 'a128', 'a130']
['a170', 'a175', 'a173', 'a171', 'a176', 'a135', 'a158', 'a159', 'a156', 'a167']
['a230', 'a235', 'a239', 'a234', 'a238', 'a233', 'a154', 'a163', 'a178', 'a172']
['a181', 'a183', 'a186', 'a174', 'a177', 'a209', 'a195', 'a214', 'a213', 'a219']
['a232', 'a231', 'a236', 'a225', 'a248', 'a241', 'a246', 'a3', 'a21', 'a31']
['a45', 'a46', 'a53', 'a79', 'a101', 'a102', 'a113', 'a121', 'a136', 'a137']
['a142', 'a153', 'a162', 'a179', 'a184', 'a217', 'a223', 'a237', 'a244', 'a245']
