['308', '0', '13', '16', '33', '122', '434', '43', '127', '5', '164', '341', '473', '436', '83', '268', '131', '175', '332', '431', '113', '359']
['136', '3', '6', '9', '39', '114', '161', '12', '217', '289', '25', '108', '188', '470', '197', '249', '273', '290', '52', '31', '198', '466']
['449', '4', '24', '26', '27', '67', '77', '158', '159', '428', '120', '126', '133', '189', '235', '296', '302', '329', '407', '421', '460', '14']
['163', '1', '19', '23', '72', '96', '143', '212', '206', '214', '306', '402', '200', '205', '277', '408', '116', '432', '42', '461', '192', '34']
['69', '10', '17', '18', '21', '79', '377', '82', '199', '266', '99', '281', '209', '365', '66', '100', '84', '476', '93', '258', '247', '378']
['382', '7', '8', '56', '75', '148', '455', '301', '15', '101', '55', '132', '417', '447', '109', '357', '401', '409', '450', '105', '274', '286']
['435', '2', '36', '47', '92', '438', '40', '187', '320', '167', '443', '480', '85', '300', '349', '147', '201', '211', '121', '425', '324', '419']
['106', '11', '28', '46', '245', '358', '103', '124', '185', '117', '186', '228', '38', '53', '115', '162', '220', '429', '173', '112', '144', '41']
['90', '29', '35', '86', '170', '367', '195', '251', '169', '171', '280', '427', '64', '184', '483', '137', '204', '59', '140', '256', '213', '149']
['347', '20', '61', '94', '123', '312', '89', '284', '339', '97', '348', '416', '80', '369', '78', '298', '239', '433', '250', '257', '221', '313']
['216', '22', '50', '62', '139', '252', '331', '422', '468', '304', '423', '165', '475', '128', '181', '336', '456', '462', '465', '125', '202', '95']
['138', '30', '32', '49', '87', '180', '203', '229', '81', '98', '141', '150', '226', '406', '255', '457', '263', '278', '385', '315', '309', '45']
['58', '37', '60', '63', '207', '260', '458', '344', '107', '227', '243', '145', '271', '292', '410', '130', '134', '394', '110', '166', '262', '272']
['222', '44', '73', '191', '261', '397', '176', '218', '91', '335', '104', '276', '471', '177', '412', '242', '282', '279', '155', '259', '317', '424']
['68', '48', '102', '231', '383', '157', '420', '230', '234', '70', '264', '361', '196', '287', '154', '374', '405', '119', '444', '305', '142', '362']
['153', '54', '65', '88', '384', '442', '71', '323', '238', '403', '152', '178', '246', '288', '392', '326', '340', '379', '74', '294', '350', '318']
['174', '51', '111', '135', '172', '293', '182', '311', '411', '267', '381', '57', '232', '275', '208', '156', '316', '346', '387', '330', '244', '345']
['390', '76', '118', '225', '233', '253', '334', '194', '404', '183', '241', '129', '223', '342', '146', '303', '396', '469', '210', '237', '352', '179']
['254', '151', '160', '219', '464', '248', '307', '291', '338', '327', '354', '373', '393', '269', '474', '398', '459', '351', '441', '395', '451', '193']
['270', '168', '224', '295', '368', '299', '314', '322', '343', '355', '413', '426', '353', '415', '418', '453', '360', '364', '452', '437', '389', '236']
['283', '215', '285', '297', '386', '467', '477', '310', '372', '356', '440', '445', '481', '328', '325', '321', '454', '363', '319', '391', '388', '472']
['380', '190', '265', '400', '482', '333', '376', '370', '430', '366', '399', '448', '414', '479', '337', '463', '371', '446', '439', '478', '240', '375']
