['61', '2', '5', '6', '9', '10', '16', '21', '22', '32', '52', '60', '80', '118', '174', '184', '234', '298', '407', '466', '479', '167', '177']
['55', '3', '8', '11', '14', '17', '18', '19', '25', '40', '43', '47', '88', '112', '175', '179', '305', '383', '438', '144', '169', '178']
['471', '1', '4', '28', '35', '37', '44', '45', '53', '62', '89', '90', '95', '103', '105', '163', '254', '348', '356', '367', '423', '181']
['41', '7', '12', '13', '15', '24', '30', '34', '42', '48', '83', '93', '130', '154', '158', '280', '295', '310', '353', '384', '185', '221']
['483', '20', '23', '26', '29', '39', '58', '65', '82', '91', '92', '138', '203', '226', '266', '300', '312', '38', '114', '123', '149', '159']
['107', '27', '31', '36', '50', '57', '69', '76', '77', '87', '108', '223', '241', '256', '282', '317', '335', '111', '139', '153', '187', '248']
['320', '33', '49', '56', '71', '72', '75', '84', '106', '135', '140', '150', '171', '205', '326', '330', '482', '51', '104', '109', '255', '276']
['424', '46', '59', '63', '73', '81', '85', '94', '96', '147', '155', '173', '212', '219', '284', '299', '301', '398', '418', '129', '168', '170']
['70', '54', '64', '66', '67', '68', '74', '98', '125', '141', '146', '222', '233', '260', '269', '297', '406', '86', '257', '283', '313', '373']
['120', '78', '79', '97', '102', '110', '117', '127', '151', '166', '189', '209', '214', '322', '364', '381', '195', '227', '261', '344', '446', '459']
['162', '99', '100', '113', '115', '116', '132', '160', '164', '213', '249', '251', '258', '321', '389', '397', '427', '430', '216', '250', '274', '453']
['425', '101', '119', '121', '126', '136', '145', '172', '183', '193', '194', '228', '292', '309', '347', '354', '439', '476', '122', '190', '200', '314']
['182', '124', '133', '134', '156', '157', '191', '201', '208', '218', '232', '243', '253', '293', '341', '440', '161', '176', '259', '286', '333', '362']
['165', '131', '137', '152', '199', '215', '231', '235', '240', '307', '340', '350', '352', '355', '402', '202', '263', '376', '484', '217', '224', '239']
['281', '142', '143', '180', '192', '196', '197', '211', '220', '238', '287', '290', '316', '327', '426', '229', '252', '302', '331', '380', '433', '437']
['375', '148', '186', '198', '204', '206', '207', '237', '267', '273', '311', '346', '409', '289', '332', '386', '478', '225', '242', '270', '378', '432']
['246', '128', '188', '244', '247', '262', '265', '279', '291', '303', '323', '343', '359', '417', '336', '357', '371', '434', '481', '210', '403', '294']
['388', '236', '264', '268', '271', '272', '296', '304', '306', '342', '366', '408', '319', '363', '372', '394', '413', '441', '464', '469', '370', '450']
['351', '230', '245', '275', '308', '315', '324', '334', '337', '390', '414', '419', '442', '369', '395', '443', '447', '475', '318', '361', '428', '470']
['400', '277', '285', '288', '325', '328', '349', '374', '377', '392', '412', '416', '379', '387', '435', '462', '382', '385', '391', '454', '474', '360']
['421', '278', '329', '365', '368', '405', '420', '436', '445', '467', '410', '455', '399', '415', '422', '429', '461', '463', '339', '457', '338', '345']
['451', '358', '393', '401', '431', '444', '448', '452', '456', '477', '396', '472', '411', '404', '458', '465', '449', '468', '473', '480', '485', '460']
