['1', '7', '19', '48', '86', '35', '50', '233', '69', '34', '90', '5', '281', '37', '101']
['278', '16', '17', '23', '44', '57', '63', '14', '11', '66', '47', '76', '12', '33', '51']
['140', '21', '30', '45', '97', '103', '196', '26', '31', '120', '125', '133', '211', '244', '239']
['187', '59', '75', '91', '116', '67', '121', '141', '40', '100', '201', '171', '202', '39', '10']
['223', '53', '95', '29', '117', '20', '242', '123', '70', '127', '130', '153', '155', '159', '27']
['147', '28', '98', '167', '172', '161', '56', '158', '169', '191', '212', '115', '150', '142', '162']
['151', '94', '72', '144', '168', '137', '182', '286', '3', '13', '60', '68', '296', '46', '170']
['275', '24', '41', '246', '18', '25', '93', '118', '96', '185', '9', '197', '61', '205', '207']
['289', '4', '42', '113', '122', '131', '154', '175', '84', '32', '99', '114', '163', '216', '92']
['177', '36', '73', '195', '232', '199', '217', '293', '89', '184', '214', '129', '224', '213', '110']
['54', '126', '181', '135', '183', '109', '193', '204', '62', '88', '128', '178', '227', '235', '240']
['132', '190', '188', '192', '203', '262', '294', '263', '269', '280', '290', '71', '80', '295', '2']
['134', '179', '111', '180', '210', '231', '234', '250', '258', '83', '283', '176', '221', '222', '186']
['220', '22', '143', '43', '194', '273', '276', '6', '8', '146', '82', '208', '165', '238', '277']
['229', '157', '160', '189', '241', '261', '265', '15', '219', '119', '102', '260', '285', '198', '38']
['74', '55', '156', '49', '52', '58', '64', '65', '77', '78', '245', '79', '282', '81', '256']
['106', '107', '218', '85', '215', '248', '138', '87', '298', '225', '104', '105', '108', '173', '252']
['112', '148', '209', '124', '136', '237', '243', '139', '254', '299', '145', '149', '152', '164', '166']
['174', '249', '253', '200', '206', '226', '228', '230', '236', '247', '251', '267', '255', '292', '257']
['270', '284', '259', '264', '266', '268', '271', '272', '274', '279', '287', '288', '297', '291', '300']
