['MadameShadowTheMightyVampireEater', 'LordSushiTheBraveVampireEater', 'LordJellyTheBraveDragonEater', 'DuchessShadowTheHeroicZombieFinder', 'LordJellyTheMightyRobotEater', 'LordFluffyTheGreatMonsterFinder', 'DukeSushiTheBraveDragonFinder', 'QueenBarneyTheMightyZombieEater', 'LordJellyTheBraveZombieEater', 'QueenShadowTheTrueVampireSniffer', 'SirShadowTheHeroicVampireEater', 'LordBarneyTheMightyDragonEater', 'DukeShadowTheTrueMonsterEater', 'LordJellyTheTrueDragonEater', 'MasterShadowTheBraveDragonFinder', 'QueenJellyTheHeroicZombieSniffer', 'SirBeetleTheGreatZombieEater', 'QueenBeetleTheGreatDragonMaker', 'DukeSushiTheHeroicZombieHunter', 'DukeSushiTheGreatZombieFinder']
['MadameShadowTheBraveRobotEater', 'SirJellyTheBraveRobotHunter', 'SirBeetleTheTrueMonsterMaker', 'MasterJellyTheTrueDragonMaker', 'QueenTrinityTheBraveZombieFinder', 'MasterBarneyTheTrueZombieEater', 'MasterJellyTheMightyMonsterHunter', 'QueenTrinityTheTrueMonsterMaker', 'MasterJellyTheMightyDragonFinder', 'MasterBeetleTheTrueVampireMaker', 'SirBeetleTheBraveRobotHunter', 'QueenBarneyTheGreatVampireEater', 'DuchessBarneyTheGreatDragonMaker', 'SirFluffyTheBraveZombieFinder', 'LordSushiTheMightyZombieFinder', 'QueenJellyTheHeroicZombieEater', 'MadameShadowTheBraveVampireFinder', 'QueenBeetleTheHeroicMonsterSniffer', 'QueenBeetleTheBraveMonsterMaker', 'LordTrinityTheMightyDragonEater']
['DukeJellyTheGreatMonsterSniffer', 'QueenBeetleTheGreatMonsterEater', 'DuchessBarneyTheMightyVampireFinder', 'QueenBeetleTheBraveVampireMaker', 'QueenJellyTheHeroicRobotHunter', 'MadameFluffyTheHeroicDragonMaker', 'QueenSushiTheHeroicVampireFinder', 'MasterBeetleTheTrueVampireHunter', 'LordFluffyTheMightyVampireFinder', 'SirBarneyTheBraveVampireMaker', 'QueenSushiTheMightyVampireEater', 'MadameBeetleTheTrueZombieMaker', 'LordBeetleTheGreatZombieSniffer', 'SirShadowTheBraveZombieFinder', 'SirSushiTheGreatRobotEater', 'DuchessJellyTheTrueDragonHunter', 'DuchessBeetleTheTrueDragonFinder', 'DukeBeetleTheTrueMonsterEater', 'MadameShadowTheHeroicMonsterEater', 'MadameTrinityTheBraveZombieEater']
['LordSushiTheGreatDragonSniffer', 'DuchessShadowTheBraveZombieHunter', 'SirSushiTheMightyDragonEater', 'LordSushiTheHeroicDragonMaker', 'QueenShadowTheHeroicMonsterSniffer', 'SirShadowTheMightyZombieEater', 'QueenFluffyTheBraveRobotHunter', 'DuchessBarneyTheBraveZombieHunter', 'LordBeetleTheMightyZombieSniffer', 'DuchessShadowTheMightyVampireHunter', 'LordShadowTheBraveVampireFinder', 'LordSushiTheTrueMonsterEater', 'SirBarneyTheGreatZombieEater', 'DukeBarneyTheGreatVampireHunter', 'DukeFluffyTheMightyZombieFinder', 'MadameBeetleTheTrueVampireEater', 'LordSushiTheHeroicRobotMaker', 'QueenFluffyTheMightyRobotEater', 'DukeBarneyTheTrueZombieEater', 'SirSushiTheTrueRobotFinder']
['DukeBeetleTheHeroicMonsterFinder', 'SirJellyTheTrueVampireSniffer', 'LordBeetleTheBraveDragonHunter', 'SirTrinityTheTrueMonsterMaker', 'QueenFluffyTheTrueZombieHunter', 'MadameSushiTheMightyZombieHunter', 'DuchessBeetleTheTrueZombieEater', 'QueenShadowTheBraveRobotEater', 'QueenBarneyTheHeroicZombieHunter', 'SirJellyTheTrueVampireFinder', 'DukeBeetleTheHeroicVampireSniffer', 'MadameBarneyTheMightyVampireMaker', 'MadameFluffyTheTrueMonsterEater', 'DuchessShadowTheMightyVampireFinder', 'SirJellyTheBraveZombieFinder', 'MasterBeetleTheTrueZombieSniffer', 'SirJellyTheHeroicMonsterMaker', 'LordBarneyTheMightyRobotFinder', 'MasterBeetleTheMightyVampireMaker', 'MadameShadowTheGreatZombieSniffer']
['MasterBeetleTheBraveDragonSniffer', 'DuchessSushiTheHeroicRobotHunter', 'DukeJellyTheTrueMonsterMaker', 'DuchessJellyTheGreatMonsterSniffer', 'SirBarneyTheGreatMonsterHunter', 'DukeFluffyTheHeroicVampireFinder', 'QueenTrinityTheTrueRobotMaker', 'SirShadowTheMightyDragonHunter', 'MasterFluffyTheGreatDragonEater', 'LordSushiTheGreatDragonEater', 'LordTrinityTheHeroicMonsterSniffer', 'DuchessJellyTheHeroicMonsterHunter', 'LordBeetleTheHeroicZombieFinder', 'MasterFluffyTheMightyRobotEater', 'DukeBarneyTheHeroicZombieEater', 'QueenSushiTheTrueVampireEater', 'SirFluffyTheHeroicZombieSniffer', 'QueenBeetleTheBraveZombieFinder', 'SirBeetleTheBraveZombieMaker', 'SirBarneyTheTrueDragonMaker']
['QueenJellyTheGreatZombieMaker', 'SirTrinityTheBraveRobotHunter', 'MasterTrinityTheBraveMonsterEater', 'DukeBeetleTheHeroicVampireFinder', 'LordFluffyTheBraveZombieFinder', 'SirFluffyTheTrueRobotEater', 'SirFluffyTheBraveMonsterMaker', 'DukeJellyTheMightyDragonFinder', 'QueenJellyTheMightyMonsterMaker', 'MasterBeetleTheMightyVampireSniffer', 'MadameTrinityTheBraveMonsterSniffer', 'SirTrinityTheTrueDragonEater', 'DukeJellyTheHeroicDragonHunter', 'SirShadowTheBraveMonsterMaker', 'LordFluffyTheHeroicMonsterHunter', 'MadameFluffyTheBraveRobotFinder', 'SirFluffyTheMightyZombieMaker', 'QueenBarneyTheGreatRobotEater', 'DuchessSushiTheGreatRobotSniffer', 'MasterSushiTheMightyVampireHunter']
['LordSushiTheGreatMonsterSniffer', 'DukeFluffyTheGreatRobotEater', 'SirFluffyTheTrueVampireSniffer', 'QueenFluffyTheBraveRobotFinder', 'QueenTrinityTheBraveRobotSniffer', 'DuchessJellyTheHeroicMonsterMaker', 'QueenBeetleTheBraveVampireFinder', 'MasterBarneyTheGreatDragonEater', 'LordTrinityTheBraveVampireMaker', 'SirFluffyTheTrueMonsterFinder', 'MasterJellyTheMightyZombieEater', 'MasterTrinityTheBraveMonsterMaker', 'QueenTrinityTheBraveZombieHunter', 'DuchessFluffyTheBraveDragonHunter', 'MadameSushiTheHeroicDragonEater', 'MasterJellyTheGreatDragonHunter', 'MasterShadowTheMightyMonsterFinder', 'SirTrinityTheBraveZombieMaker', 'DuchessBeetleTheBraveDragonEater', 'LordJellyTheTrueMonsterMaker']
['SirJellyTheGreatDragonFinder', 'LordSushiTheGreatRobotHunter', 'DukeSushiTheMightyVampireEater', 'QueenSushiTheTrueVampireMaker', 'DukeBarneyTheHeroicRobotHunter', 'SirTrinityTheHeroicVampireFinder', 'MasterSushiTheHeroicRobotHunter', 'SirSushiTheTrueDragonMaker', 'MadameSushiTheGreatVampireSniffer', 'MadameShadowTheBraveZombieHunter', 'DuchessSushiTheTrueMonsterSniffer', 'MadameJellyTheTrueMonsterHunter', 'QueenBarneyTheMightyDragonSniffer', 'MadameJellyTheTrueRobotEater', 'QueenShadowTheMightyMonsterMaker', 'QueenTrinityTheHeroicDragonFinder', 'DukeSushiTheTrueVampireMaker', 'DuchessSushiTheBraveMonsterHunter', 'DukeBarneyTheTrueVampireEater', 'DuchessShadowTheTrueVampireFinder']
['MasterBeetleTheGreatRobotSniffer', 'MasterJellyTheMightyRobotEater', 'MasterShadowTheTrueDragonSniffer', 'QueenSushiTheTrueZombieEater', 'DuchessTrinityTheGreatMonsterFinder', 'DukeBarneyTheMightyRobotSniffer', 'MasterShadowTheHeroicMonsterSniffer', 'LordFluffyTheTrueMonsterMaker', 'MasterJellyTheHeroicRobotHunter', 'QueenTrinityTheMightyZombieHunter', 'DukeShadowTheMightyVampireEater', 'MadameJellyTheGreatMonsterEater', 'QueenFluffyTheMightyVampireEater', 'DuchessBarneyTheTrueDragonMaker', 'LordShadowTheBraveRobotMaker', 'MadameTrinityTheBraveZombieSniffer', 'SirShadowTheTrueMonsterEater', 'MasterJellyTheHeroicZombieEater', 'LordFluffyTheGreatMonsterHunter', 'SirBeetleTheMightyVampireFinder']
['DuchessTrinityTheGreatVampireFinder', 'DukeTrinityTheBraveRobotEater', 'MasterBeetleTheGreatDragonSniffer', 'DuchessShadowTheBraveDragonSniffer', 'DuchessBarneyTheMightyVampireSniffer', 'SirBarneyTheTrueVampireEater', 'DuchessJellyTheHeroicDragonSniffer', 'QueenTrinityTheGreatMonsterHunter', 'DuchessShadowTheTrueZombieHunter', 'DuchessJellyTheMightyDragonMaker', 'MadameTrinityTheHeroicZombieFinder', 'MasterBeetleTheHeroicZombieMaker', 'SirShadowTheGreatZombieSniffer', 'SirBeetleTheTrueRobotHunter', 'DuchessFluffyTheGreatZombieSniffer', 'MasterShadowTheMightyMonsterSniffer', 'LordShadowTheBraveVampireHunter', 'LordSushiTheHeroicRobotEater', 'DuchessFluffyTheGreatDragonEater', 'LordShadowTheHeroicDragonSniffer']
['QueenTrinityTheGreatVampireEater', 'MasterTrinityTheHeroicDragonMaker', 'DukeShadowTheHeroicVampireHunter', 'SirShadowTheBraveZombieMaker', 'DukeShadowTheMightyMonsterMaker', 'QueenShadowTheHeroicZombieFinder', 'MadameSushiTheGreatRobotFinder', 'DukeShadowTheBraveRobotHunter', 'MadameBeetleTheHeroicDragonFinder', 'LordJellyTheBraveVampireSniffer', 'DuchessJellyTheHeroicVampireMaker', 'SirJellyTheTrueDragonHunter', 'DukeTrinityTheGreatMonsterEater', 'LordJellyTheMightyMonsterFinder', 'DuchessBarneyTheMightyMonsterSniffer', 'MasterSushiTheMightyZombieHunter', 'LordBarneyTheHeroicRobotSniffer', 'SirShadowTheMightyDragonMaker', 'SirBarneyTheBraveRobotHunter', 'MadameShadowTheMightyZombieFinder']
['LordBeetleTheHeroicMonsterMaker', 'DuchessBarneyTheTrueDragonHunter', 'SirBarneyTheGreatRobotEater', 'MasterBarneyTheGreatRobotEater', 'DukeJellyTheGreatMonsterFinder', 'DukeFluffyTheMightyZombieHunter', 'DukeJellyTheHeroicRobotSniffer', 'LordSushiTheBraveZombieSniffer', 'QueenFluffyTheHeroicMonsterMaker', 'QueenBarneyTheBraveMonsterHunter', 'MadameBarneyTheTrueMonsterFinder', 'QueenJellyTheGreatRobotMaker', 'MasterBarneyTheTrueVampireSniffer', 'QueenFluffyTheBraveVampireHunter', 'MasterBarneyTheTrueDragonFinder', 'MasterTrinityTheHeroicMonsterSniffer', 'DukeShadowTheGreatMonsterEater', 'DuchessFluffyTheTrueRobotFinder', 'SirTrinityTheGreatRobotFinder', 'DukeJellyTheHeroicRobotHunter']
