['129', '2', '240', '335', '102', '115', '65', '190', '42']
['457', '17', '325', '258', '5', '130', '415', '341', '497']
['385', '4', '329', '251', '250', '35', '157', '148', '448']
['78', '14', '193', '1', '75', '91', '132', '334', '214']
['34', '87', '452', '159', '351', '40', '167', '228']
['66', '43', '263', '52', '316', '63', '438', '67']
['500', '25', '30', '33', '387', '80', '21', '141']
['108', '20', '441', '36', '311', '392', '163', '105']
['165', '3', '39', '61', '222', '27', '178', '107']
['169', '41', '16', '478', '6', '437', '8', '288']
['307', '10', '303', '45', '74', '101', '475', '479']
['176', '9', '56', '259', '187', '267', '11', '226']
['229', '84', '179', '111', '181', '239', '69', '278']
['281', '48', '81', '310', '121', '140', '93', '241']
['284', '97', '12', '104', '103', '432', '306', '198']
['298', '96', '112', '379', '350', '301', '58', '64']
['327', '83', '113', '124', '472', '339', '268', '252']
['57', '212', '197', '337', '352', '24', '79', '477']
['208', '15', '53', '444', '447', '146', '152', '345']
['442', '95', '126', '192', '426', '469', '47', '156']
['196', '22', '150', '37', '85', '205', '383', '119']
['409', '209', '243', '294', '410', '313', '460', '408']
['71', '18', '88', '300', '216', '99', '484', '436']
['177', '7', '143', '285', '164', '304', '423', '287']
['396', '51', '282', '295', '59', '62', '411', '333']
['28', '77', '221', '319', '98', '154', '332', '400']
['94', '49', '217', '135', '290', '449', '106', '136']
['133', '54', '114', '122', '147', '170', '256', '305']
['289', '131', '375', '481', '215', '220', '23', '421']
['368', '70', '465', '44', '480', '32', '404', '38']
['255', '158', '188', '417', '180', '388', '123', '161']
['260', '186', '223', '76', '60', '29', '314', '246']
['274', '109', '355', '374', '194', '89', '461', '207']
['145', '153', '271', '184', '390', '467', '493', '55']
['248', '46', '110', '149', '253', '238', '73', '50']
['380', '128', '175', '117', '422', '402', '342', '100']
['127', '139', '322', '317', '499', '68', '213', '279']
['204', '120', '125', '245', '427', '118', '395', '428']
['244', '173', '276', '356', '185', '261', '464', '201']
['264', '92', '326', '455', '386', '407', '286', '206']
['389', '13', '463', '454', '31', '19', '162', '116']
['494', '72', '219', '346', '242', '211', '280', '293']
['144', '231', '233', '360', '430', '458', '309', '166']
['330', '155', '377', '492', '172', '230', '247', '134']
['82', '86', '420', '302', '440', '151', '191', '195']
['292', '277', '459', '431', '142', '202', '210', '265']
['466', '225', '249', '381', '416', '270', '324', '189']
['227', '236', '312', '344', '371', '372', '489', '296']
['433', '174', '275', '357', '90', '347', '367', '391']
['434', '232', '485', '488', '382', '498', '348', '361']
['486', '320', '397', '354', '403', '419', '468', '273']
['291', '405', '183', '283', '425', '269', '429', '358']
['487', '26', '338', '398', '412', '443', '482', '200']
['495', '168', '235', '266', '254', '450', '137', '272']
['160', '297', '471', '138', '359', '171', '182', '199']
['262', '364', '363', '366', '370', '393', '299', '321']
['203', '234', '424', '474', '369', '218', '224', '490']
['318', '394', '445', '237', '257', '453', '308', '315']
['323', '328', '331', '336', '340', '343', '353', '384']
['378', '456', '349', '362', '365', '439', '373', '491']
['414', '476', '376', '399', '401', '406', '413', '418']
['435', '446', '451', '462', '470', '473', '483', '496']
