['93', '6', '80', '82', '179', '21']
['135', '0', '13', '23', '14']
['192', '3', '114', '149', '43']
['223', '250', '1', '2', '4']
['147', '8', '36', '111', '122']
['41', '48', '103', '170', '191']
['15', '35', '101', '145', '18']
['54', '7', '28', '102', '164']
['97', '40', '29', '32', '68']
['96', '33', '197', '158', '44']
['220', '34', '9', '55', '126']
['230', '10', '155', '92', '30']
['77', '12', '186', '67', '94']
['78', '38', '138', '31', '133']
['152', '16', '171', '136', '89']
['37', '22', '124', '45', '26']
['47', '27', '210', '20', '105']
['167', '39', '42', '49', '248']
['74', '25', '98', '69', '134']
['132', '73', '52', '108', '63']
['70', '65', '72', '121', '11']
['57', '59', '81', '17', '58']
['144', '79', '71', '204', '245']
['19', '53', '64', '143', '113']
['24', '50', '120', '84', '75']
['156', '62', '141', '104', '180']
['61', '127', '160', '46', '140']
['162', '107', '60', '194', '153']
['90', '85', '131', '83', '198']
['106', '76', '130', '56', '200']
['139', '87', '115', '137', '166']
['51', '123', '159', '209', '236']
['116', '5', '86', '146', '109']
['118', '119', '125', '99', '128']
['187', '95', '112', '66', '117']
['227', '142', '151', '205', '212']
['228', '181', '100', '110', '185']
['169', '88', '163', '165', '184']
['173', '172', '168', '148', '234']
['189', '195', '129', '203', '206']
['211', '91', '188', '183', '150']
['176', '154', '224', '193', '215']
['202', '207', '225', '226', '199']
['213', '175', '240', '174', '218']
['161', '196', '214', '229', '241']
['201', '208', '219', '221', '235']
['217', '231', '243', '247', '157']
['222', '242', '249', '178', '177']
['216', '233', '182', '190', '232']
['244', '246', '237', '238', '239']
