['6', '5', '7', '21', '112', '119', '111', '115', '116', '123', '118', '24', '37', '30', '31', '18', '28', '32']
['8', '11', '25', '44', '381', '66', '414', '46', '48', '15', '19', '33', '27', '29', '39', '423', '71', '16']
['10', '12', '13', '14', '47', '49', '41', '45', '42', '43', '50', '51', '67', '382', '160', '415', '17', '164']
['398', '159', '292', '156', '157', '158', '282', '287', '295', '281', '283', '288', '289', '297', '291', '285', '294']
['468', '65', '69', '75', '70', '78', '469', '478', '473', '475', '487', '480', '486', '489', '495', '472', '481']
['432', '99', '98', '109', '101', '102', '104', '103', '422', '411', '417', '96', '107', '95', '97', '424', '430']
['238', '93', '174', '80', '91', '92', '88', '94', '83', '86', '20', '36', '400', '38', '81', '89', '320']
['306', '301', '304', '302', '312', '315', '303', '305', '314', '307', '311', '313', '308', '316', '318', '309', '317']
['367', '100', '121', '73', '217', '253', '293', '74', '122', '9', '56', '59', '63', '62', '114', '120', '117']
['463', '64', '205', '53', '54', '441', '460', '445', '454', '453', '452', '462', '461', '57', '61', '444', '465']
['249', '223', '211', '213', '26', '243', '261', '246', '251', '257', '259', '254', '248', '245', '250', '260', '256']
['270', '151', '141', '142', '147', '152', '143', '148', '144', '145', '150', '149', '154', '140', '146', '153', '231']
['321', '40', '324', '327', '336', '323', '331', '334', '328', '335', '325', '330', '337', '338', '333', '329', '332']
['364', '108', '105', '136', '126', '125', '128', '130', '134', '127', '131', '139', '132', '133', '135', '376', '377']
['227', '82', '177', '300', '272', '340', '379', '280', '271', '55', '60', '58', '171', '168', '161', '165', '163']
['407', '155', '175', '185', '176', '180', '181', '186', '184', '188', '187', '173', '178', '182', '183', '189', '410']
['437', '166', '194', '190', '197', '195', '191', '199', '192', '200', '52', '193', '196', '204', '425', '420', '435']
['491', '233', '226', '224', '240', '225', '230', '239', '229', '236', '237', '234', '228', '232', '235', '242', '493']
['350', '343', '345', '348', '349', '356', '358', '352', '341', '351', '354', '357', '347', '360', '342', '355', '346']
['389', '386', '399', '393', '397', '390', '392', '394', '408', '391', '406', '388', '405', '395', '402', '84', '87']
['368', '169', '203', '370', '363', '366', '375', '269', '299', '298', '339', '322', '326', '361', '371', '369', '372']
['484', '276', '34', '35', '273', '278', '266', '264', '265', '267', '274', '277', '262', '263', '268', '275', '344']
['207', '208', '210', '221', '209', '212', '214', '216', '218', '220', '219', '222', '76', '106', '124', '113', '110']
['401', '215', '244', '255', '310', '319', '396', '403', '404', '457', '446', '443', '439', '442', '458', '438', '456']
['416', '431', '436', '433', '428', '429', '198', '201', '202', '206', '421', '426', '427', '353', '413', '434', '241']
['470', '471', '477', '466', '482', '479', '359', '365', '380', '378', '362', '129', '418', '374', '383', '385', '384']
['490', '138', '137', '474', '279', '467', '476', '485', '440', '488', '492', '494', '0', '1', '3', '2', '4']
['167', '162', '170', '22', '23', '68', '77', '72', '79', '85', '90', '172', '179', '247', '258', '252', '284']
['286', '290', '296', '373', '387', '409', '412', '419', '447', '448', '464', '450', '449', '455', '451', '459', '483']
