['50', '45', '58', '48', '46', '44', '49']
['120', '115', '116', '117', '127', '118', '125']
['15', '9', '11', '10', '12', '13', '19']
['64', '53', '70', '51', '52', '54', '55']
['155', '151', '150', '154', '149', '152', '153']
['295', '291', '294', '289', '292', '290', '296']
['330', '326', '327', '324', '328', '329', '331']
['85', '82', '87', '86', '88', '89', '90']
['156', '157', '158', '159', '160', '161', '164']
['204', '189', '199', '196', '190', '191', '192']
['225', '221', '223', '219', '220', '222', '224']
['274', '254', '255', '269', '256', '257', '258']
['29', '23', '28', '22', '17', '16', '18']
['99', '94', '96', '97', '95', '100', '101']
['230', '226', '227', '228', '229', '231', '235']
['265', '260', '261', '262', '263', '264', '279']
['309', '301', '297', '298', '299', '300', '302']
['344', '337', '340', '343', '345', '346', '347']
['124', '119', '114', '121', '122', '123', '126']
['134', '128', '133', '131', '135', '136', '137']
['169', '167', '163', '170', '171', '172', '173']
['239', '240', '241', '242', '243', '244', '1']
['334', '332', '333', '335', '336', '341', '2']
['195', '193', '194', '201', '187', '185', '184']
['268', '253', '267', '270', '271', '273', '3']
['20', '21', '24', '26', '25', '27', '4']
['61', '57', '60', '5', '6', '7', '14']
['83', '79', '80', '81', '84', '98', '92']
['162', '166', '168', '8', '30', '31', '32']
['234', '233', '236', '238', '237', '33', '34']
['197', '198', '203', '200', '35', '36', '37']
['303', '288', '308', '304', '305', '38', '39']
['339', '338', '342', '40', '41', '42', '47']
['56', '43', '59', '62', '63', '65', '66']
['91', '67', '68', '69', '71', '72', '73']
['130', '74', '75', '76', '77', '93', '102']
['186', '211', '78', '103', '104', '105', '106']
['202', '107', '108', '109', '112', '113', '129']
['266', '110', '111', '132', '138', '139', '140']
['293', '141', '142', '143', '144', '147', '165']
['306', '307', '145', '146', '174', '175', '176']
['148', '177', '178', '179', '182', '183', '188']
['180', '181', '205', '206', '207', '208', '209']
['210', '212', '213', '214', '217', '218', '232']
['215', '216', '245', '246', '247', '248', '249']
['250', '251', '252', '259', '272', '275', '276']
['277', '278', '280', '281', '282', '283', '284']
['285', '286', '287', '310', '311', '312', '313']
['314', '315', '316', '317', '318', '319', '322']
['320', '321', '325', '348', '349', '350', '323']
