['1', '4', '5', '6']
['9', '12', '13', '14']
['17', '20', '21', '22']
['25', '28', '29', '30']
['33', '36', '37', '38']
['41', '44', '45', '46']
['49', '52', '53', '54']
['57', '60', '61', '62']
['65', '68', '69', '70']
['73', '76', '77', '78']
['81', '84', '85', '86']
['89', '92', '93', '94']
['97', '100', '101', '102']
['105', '108', '109', '110']
['113', '116', '117', '118']
['121', '124', '125', '126']
['129', '132', '133', '134']
['137', '140', '141', '142']
['145', '148', '149', '150']
['153', '156', '157', '158']
['161', '164', '165', '166']
['169', '172', '173', '174']
['177', '180', '181', '182']
['185', '188', '189', '190']
['193', '196', '197', '198']
['201', '204', '205', '206']
['209', '212', '213', '214']
['217', '220', '221', '222']
['225', '228', '229', '230']
['233', '236', '237', '238']
['241', '244', '245', '246']
['249', '252', '253', '254']
['257', '260', '261', '262']
['265', '268', '269', '270']
['273', '276', '277', '278']
['281', '284', '285', '286']
['289', '292', '293', '294']
['297', '300', '301', '302']
['305', '308', '309', '310']
['313', '316', '317', '318']
['321', '324', '325', '326']
['329', '332', '333', '334']
['337', '340', '341', '342']
['345', '348', '349', '350']
['353', '356', '357', '358']
['361', '364', '365', '366']
['369', '372', '373', '374']
['377', '380', '381', '382']
['385', '388', '389', '390']
['393', '396', '397', '398']
['401', '404', '405', '406']
['409', '412', '413', '414']
['417', '420', '421', '422']
['425', '428', '429', '430']
['433', '436', '437', '438']
['441', '444', '445', '446']
['449', '452', '453', '454']
['457', '460', '461', '462']
['465', '468', '469', '470']
['473', '476', '477', '478']
['481', '484', '485', '486']
['489', '492', '493', '494']
['2', '7', '0', '3']
['10', '15', '8', '11']
['18', '23', '16', '19']
['26', '31', '24', '27']
['34', '39', '32', '35']
['42', '47', '40', '43']
['50', '55', '48', '51']
['58', '63', '56', '59']
['66', '71', '64', '67']
['74', '79', '72', '75']
['82', '87', '80', '83']
['90', '95', '88', '91']
['98', '103', '96', '99']
['106', '111', '104', '107']
['114', '119', '112', '115']
['122', '127', '120', '123']
['130', '135', '128', '131']
['138', '143', '136', '139']
['146', '151', '144', '147']
['154', '159', '152', '155']
['162', '167', '160', '163']
['170', '175', '168', '171']
['178', '183', '176', '179']
['186', '191', '184', '187']
['194', '199', '192', '195']
['202', '207', '200', '203']
['210', '215', '208', '211']
['218', '223', '216', '219']
['226', '231', '224', '227']
['234', '239', '232', '235']
['242', '247', '240', '243']
['250', '255', '248', '251']
['258', '263', '256', '259']
['266', '271', '264', '267']
['274', '279', '272', '275']
['282', '287', '280', '283']
['290', '295', '288', '291']
['298', '303', '296', '299']
['306', '311', '304', '307']
['314', '319', '312', '315']
['322', '327', '320', '323']
['330', '335', '328', '331']
['338', '343', '336', '339']
['346', '351', '344', '347']
['354', '359', '352', '355']
['362', '367', '360', '363']
['370', '375', '368', '371']
['378', '383', '376', '379']
['386', '391', '384', '387']
['394', '399', '392', '395']
['402', '407', '400', '403']
['410', '415', '408', '411']
['418', '423', '416', '419']
['426', '431', '424', '427']
['434', '439', '432', '435']
['442', '447', '440', '443']
['450', '455', '448', '451']
['458', '463', '456', '459']
['466', '471', '464', '467']
['474', '479', '472', '475']
['482', '487', '480', '483']
['490', '495', '488', '491']
