['1', '3', '5', '7', '9', '2', '6', '8', '10']
['19', '21', '23', '25', '27', '4', '11', '12', '14']
['28', '30', '32', '34', '36', '13', '15', '17', '16']
['37', '39', '41', '43', '45', '18', '20', '24', '26']
['46', '48', '50', '52', '54', '22', '29', '33', '35']
['55', '57', '59', '61', '63', '31', '38', '42', '44']
['64', '66', '68', '70', '72', '40', '47', '51', '53']
['73', '75', '77', '79', '81', '49', '56', '60', '62']
['82', '84', '86', '88', '90', '58', '65', '69', '71']
['91', '93', '95', '97', '99', '67', '74', '78', '80']
['100', '102', '104', '106', '108', '76', '83', '87', '89']
['109', '111', '113', '115', '117', '85', '92', '96', '98']
['118', '120', '122', '124', '126', '94', '101', '105', '107']
['127', '129', '131', '133', '135', '103', '110', '114', '116']
['136', '138', '140', '142', '144', '112', '119', '123', '125']
['145', '147', '149', '151', '153', '121', '128', '132', '134']
['154', '156', '158', '160', '162', '130', '137', '141', '143']
['163', '165', '167', '169', '171', '139', '146', '150', '152']
['172', '174', '176', '178', '180', '148', '155', '159', '161']
['181', '183', '185', '187', '189', '157', '164', '168', '170']
['190', '192', '194', '196', '198', '166', '173', '177', '179']
['199', '201', '203', '205', '207', '175', '182', '186', '188']
['208', '210', '212', '214', '216', '184', '191', '195', '197']
['217', '219', '221', '223', '225', '193', '200', '204', '206']
['226', '228', '230', '232', '234', '202', '209', '213', '215']
['235', '237', '239', '241', '243', '211', '218', '222', '224']
['244', '246', '248', '250', '252', '220', '227', '231', '233']
['253', '255', '257', '259', '261', '229', '236', '240', '242']
['262', '264', '266', '268', '270', '238', '245', '249', '251']
['256', '258', '260', '247', '263', '267', '269', '254', '265']
