['582', '131', '236', '486', '313', '634', '140', '922']
['89', '586', '475', '117', '25', '684', '548', '827']
['419', '553', '8', '884', '26', '962', '121', '67']
['576', '22', '798', '613', '661', '175', '972', '600']
['592', '293', '246', '754', '163', '120', '952', '892']
['381', '343', '919', '770', '213', '404', '789', '315']
['91', '905', '310', '723', '70', '912', '377', '870']
['298', '399', '257', '738', '192', '970', '980', '86']
['511', '139', '466', '218', '695', '138', '262', '285']
['74', '333', '626', '463', '288', '460', '249', '623']
['361', '569', '41', '289', '712', '725', '850', '69']
['949', '512', '804', '469', '635', '755', '107', '226']
['670', '774', '253', '913', '272', '371', '837', '385']
['719', '479', '828', '483', '188', '733', '678', '909']
['51', '193', '602', '365', '732', '416', '9', '46']
['50', '158', '0', '142', '159', '195', '427', '47']
['879', '958', '573', '31', '834', '480', '709', '42']
['232', '590', '701', '200', '704', '818', '638', '439']
['418', '653', '794', '128', '180', '729', '545', '878']
['133', '287', '468', '428', '147', '875', '259', '993']
['68', '920', '273', '11', '495', '752', '478', '330']
['457', '842', '751', '303', '197', '773', '960', '806']
['347', '97', '150', '998', '680', '488', '651', '531']
['471', '54', '606', '656', '367', '199', '547', '276']
['711', '809', '708', '301', '549', '987', '996', '137']
['897', '855', '233', '420', '599', '153', '388', '698']
['730', '487', '252', '558', '44', '406', '275', '453']
['7', '1', '611', '950', '891', '234', '758', '123']
['504', '337', '183', '585', '955', '370', '510', '111']
['119', '565', '336', '551', '683', '848', '781', '382']
['217', '616', '532', '318', '368', '953', '772', '601']
['502', '36', '741', '829', '805', '152', '610', '40']
['210', '546', '76', '355', '660', '277', '32', '146']
['263', '865', '990', '375', '598', '561', '710', '814']
['224', '907', '194', '726', '757', '577', '66', '880']
['911', '221', '265', '380', '966', '589', '6', '344']
['654', '251', '39', '331', '23', '2', '906', '332']
['184', '169', '30', '307', '43', '720', '122', '230']
['866', '497', '75', '154', '840', '690', '411', '672']
['971', '454', '412', '718', '93', '267', '802', '876']
['734', '353', '687', '681', '888', '925', '628', '58']
['539', '242', '824', '515', '254', '766', '312', '77']
['434', '334', '87', '957', '932', '447', '537', '811']
['790', '244', '80', '580', '102', '401', '588', '92']
['647', '534', '917', '689', '533', '308', '563', '779']
['489', '342', '425', '520', '581', '524', '231', '630']
['657', '320', '633', '311', '45', '464', '552', '674']
['24', '110', '697', '763', '988', '63', '974', '863']
['924', '676', '775', '935', '223', '904', '432', '61']
['522', '155', '894', '369', '783', '605', '696', '282']
['849', '527', '540', '118', '149', '448', '621', '49']
['351', '675', '94', '52', '542', '648', '379', '801']
['941', '392', '105', '306', '938', '130', '803', '33']
['933', '931', '968', '895', '914', '625', '664', '321']
['144', '470', '748', '663', '735', '858', '164', '455']
['191', '245', '596', '890', '526', '864', '557', '95']
['328', '357', '106', '658', '186', '519', '266', '908']
['248', '378', '985', '136', '38', '514', '258', '189']
['132', '403', '433', '923', '354', '364', '946', '986']
['518', '992', '822', '816', '358', '127', '846', '916']
['417', '290', '241', '873', '944', '762', '300', '620']
['753', '424', '857', '662', '421', '492', '516', '821']
['749', '767', '48', '268', '937', '113', '926', '819']
['535', '973', '485', '237', '297', '340', '793', '831']
['979', '73', '477', '393', '509', '746', '28', '785']
['694', '376', '441', '279', '778', '219', '271', '101']
['53', '16', '637', '823', '59', '326', '498', '743']
['260', '997', '109', '60', '161', '29', '274', '228']
['636', '426', '366', '617', '141', '652', '458', '13']
['413', '345', '570', '750', '410', '34', '900', '57']
['211', '473', '446', '745', '503', '975', '135', '764']
['736', '691', '812', '148', '644', '322', '765', '643']
['706', '438', '574', '543', '808', '85', '977', '21']
['314', '27', '143', '716', '622', '79', '607', '536']
['284', '19', '319', '942', '839', '20', '934', '642']
