['180', '167', '130', '70', '187', '335']
['663', '579', '603', '62', '406', '560']
['681', '258', '601', '691', '343', '324']
['256', '347', '540', '633', '380', '602']
['496', '236', '396', '162', '113', '18']
['74', '69', '485', '42', '513', '208']
['31', '461', '72', '421', '390', '244']
['649', '322', '78', '247', '383', '186']
['26', '525', '255', '278', '230', '331']
['623', '664', '285', '618', '95', '659']
['21', '170', '417', '407', '349', '433']
['151', '507', '133', '374', '175', '545']
['527', '537', '125', '582', '459', '690']
['36', '365', '615', '685', '161', '104']
['211', '479', '628', '12', '393', '670']
['676', '667', '79', '327', '326', '450']
['565', '219', '687', '439', '356', '648']
['355', '550', '717', '573', '387', '353']
['476', '50', '575', '512', '455', '470']
['697', '194', '97', '566', '426', '504']
['44', '645', '89', '316', '339', '73']
['129', '302', '591', '630', '702', '634']
['351', '578', '569', '35', '178', '143']
['325', '500', '517', '159', '191', '56']
['516', '7', '20', '554', '225', '556']
['222', '350', '176', '112', '281', '146']
['495', '96', '529', '672', '271', '703']
['163', '120', '308', '226', '221', '686']
['392', '14', '684', '318', '430', '303']
['444', '145', '447', '458', '214', '352']
['301', '228', '701', '657', '604', '595']
['152', '441', '241', '213', '275', '423']
['372', '427', '111', '80', '66', '306']
['10', '695', '269', '202', '48', '544']
['436', '482', '277', '76', '158', '341']
['379', '354', '216', '402', '456', '330']
['68', '27', '103', '63', '520', '309']
['280', '608', '81', '646', '286', '594']
['223', '497', '290', '613', '533', '201']
['502', '673', '108', '431', '445', '51']
['680', '139', '562', '552', '329', '714']
['711', '357', '284', '404', '61', '435']
['625', '437', '462', '451', '568', '264']
['640', '237', '570', '253', '99', '689']
['245', '135', '716', '82', '465', '227']
['443', '692', '528', '336', '571', '298']
['503', '563', '288', '37', '493', '484']
['334', '312', '156', '23', '171', '694']
['534', '289', '8', '193', '257', '340']
['53', '522', '671', '361', '141', '709']
['148', '589', '524', '509', '92', '675']
['518', '696', '218', '85', '224', '250']
['508', '612', '263', '382', '65', '333']
['29', '629', '2', '86', '134', '233']
['140', '561', '122', '204', '715', '304']
['344', '292', '654', '209', '17', '190']
['291', '183', '452', '643', '477', '577']
['46', '457', '276', '25', '463', '177']
['38', '428', '169', '107', '422', '548']
['376', '128', '442', '478', '583', '77']
['198', '656', '610', '642', '182', '655']
['543', '708', '262', '632', '173', '658']
['549', '314', '617', '43', '626', '547']
['581', '551', '242', '232', '710', '668']
['136', '75', '719', '674', '542', '366']
['294', '246', '492', '683', '238', '650']
['210', '293', '101', '320', '499', '94']
['647', '483', '398', '15', '239', '87']
['188', '110', '102', '117', '584', '126']
['688', '514', '557', '168', '272', '367']
['416', '13', '195', '704', '358', '132']
['448', '468', '64', '631', '611', '473']
['71', '39', '474', '494', '181', '521']
['637', '268', '368', '526', '567', '93']
['481', '389', '586', '287', '172', '0']
['523', '251', '328', '488', '54', '700']
['47', '9', '49', '119', '677', '88']
['375', '283', '252', '706', '319', '203']
['531', '491', '666', '260', '446', '45']
['559', '388', '266', '403', '472', '124']
['370', '624', '67', '364', '378', '574']
['593', '410', '196', '620', '712', '412']
['418', '28', '185', '627', '1', '386']
['98', '155', '91', '391', '597', '414']
['234', '254', '59', '718', '424', '501']
['321', '270', '348', '588', '429', '662']
['11', '515', '212', '440', '105', '90']
['157', '118', '394', '454', '682', '32']
['299', '282', '189', '147', '33', '22']
['419', '165', '506', '660', '636', '84']
['34', '274', '323', '599', '420', '408']
['160', '5', '174', '123', '395', '273']
['415', '678', '199', '261', '369', '558']
['460', '489', '639', '373', '315', '614']
['535', '644', '40', '572', '16', '538']
['510', '530', '342', '207', '469', '150']
['707', '337', '55', '6', '432', '453']
['486', '115', '425', '154', '397', '651']
['116', '249', '585', '313', '153', '296']
['149', '698', '539', '598', '200', '498']
['131', '220', '665', '137', '19', '505']
['438', '619', '240', '30', '553', '235']
['669', '345', '215', '4', '638', '295']
['121', '596', '197', '606', '635', '592']
['192', '164', '83', '400', '229', '587']
['590', '699', '434', '217', '52', '413']
['297', '661', '377', '363', '641', '467']
['346', '311', '205', '359', '371', '532']
['127', '259', '399', '653', '564', '385']
['607', '307', '480', '511', '138', '609']
['693', '555', '487', '142', '541', '713']
['58', '360', '279', '310', '24', '305']
['60', '338', '705', '652', '384', '405']
['106', '409', '576', '475', '464', '411']
['622', '466', '109', '57', '243', '206']
['580', '605', '265', '231', '41', '679']
['621', '381', '114', '362', '449', '166']
['616', '248', '536', '546', '519', '332']
['100', '144', '300', '3', '600', '267']
['184', '317', '471', '490', '401', '179']
