['851', '104', '321', '141']
['701', '19', '822', '833']
['680', '886', '167']
['339', '865', '425']
['563', '927', '702']
['976', '624', '374']
['603', '256', '866']
['42', '582', '58']
['219', '371', '905']
['762', '687', '0']
['807', '761', '699']
['877', '595', '817']
['261', '80', '925']
['128', '468', '333']
['485', '13', '46']
['855', '844', '848']
['579', '777', '984']
['160', '33', '495']
['573', '254', '326']
['469', '212', '368']
['372', '936', '690']
['479', '90', '386']
['537', '945', '615']
['763', '75', '470']
['294', '302', '16']
['313', '177', '992']
['645', '559', '67']
['949', '467', '108']
['298', '741', '335']
['178', '398', '835']
['782', '263', '448']
['116', '547', '189']
['718', '145', '15']
['48', '896', '496']
['488', '961', '747']
['115', '700', '678']
['344', '558', '481']
['793', '81', '697']
['528', '944', '363']
['196', '845', '328']
['255', '172', '786']
['513', '466', '241']
['246', '755', '291']
['188', '651', '924']
['506', '724', '292']
['565', '555', '575']
['806', '76', '740']
['522', '778', '296']
['297', '18', '808']
['259', '636', '171']
['151', '148', '588']
['838', '21', '30']
['413', '735', '553']
['319', '464', '607']
['913', '692', '416']
['974', '768', '861']
['809', '440', '240']
['465', '605', '733']
['623', '788', '63']
['407', '933', '359']
['99', '694', '827']
['946', '399', '270']
['360', '356', '884']
['879', '988', '557']
['94', '909', '36']
['2', '834', '223']
['350', '444', '351']
['632', '316', '24']
['849', '400', '597']
['599', '878', '250']
['728', '142', '842']
['394', '427', '688']
['798', '693', '986']
['158', '237', '813']
['581', '304', '612']
['111', '490', '317']
['647', '7', '732']
['920', '47', '431']
['180', '987', '888']
['982', '245', '894']
['960', '322', '493']
['841', '608', '459']
['137', '120', '55']
['874', '705', '703']
['598', '580', '124']
['388', '200', '679']
['478', '864', '192']
['79', '130', '100']
['617', '771', '84']
['966', '524', '210']
['994', '653', '993']
['330', '766', '983']
['812', '964', '769']
['577', '418', '940']
['509', '957', '85']
['403', '773', '106']
['870', '658', '336']
['585', '621', '194']
['921', '722', '184']
['482', '113', '391']
['453', '269', '460']
['1', '450', '136']
['708', '629', '696']
['710', '31', '211']
['134', '206', '538']
['774', '233', '591']
['902', '445', '731']
['637', '852', '268']
['390', '907', '417']
['257', '284', '929']
['39', '748', '564']
['521', '409', '951']
['307', '941', '846']
['349', '661', '472']
['280', '631', '53']
['562', '126', '82']
['446', '856', '756']
['144', '675', '283']
['614', '77', '706']
['898', '570', '50']
['190', '619', '494']
['664', '411', '423']
['281', '712', '10']
['609', '646', '153']
['551', '214', '626']
['476', '449', '20']
['659', '873', '971']
['892', '919', '155']
['323', '968', '105']
['434', '49', '954']
['373', '226', '505']
['973', '232', '225']
['300', '127', '405']
['837', '500', '784']
['205', '719', '193']
['163', '901', '86']
['820', '301', '140']
['911', '222', '419']
['143', '797', '721']
['157', '711', '93']
['365', '876', '122']
['669', '154', '262']
['274', '131', '980']
['32', '239', '447']
['507', '376', '819']
['504', '826', '220']
['601', '704', '276']
['303', '717', '529']
['552', '858', '282']
['785', '989', '649']
['402', '972', '556']
['533', '415', '714']
['213', '926', '45']
['764', '166', '98']
['758', '361', '801']
['397', '576', '779']
['716', '74', '331']
['546', '456', '88']
['288', '60', '327']
['752', '652', '642']
['604', '65', '890']
['224', '156', '150']
['461', '244', '644']
['474', '713', '498']
['242', '869', '279']
['35', '830', '854']
['230', '221', '401']
['770', '776', '725']
['530', '853', '743']
['486', '112', '414']
['818', '571', '511']
['978', '389', '781']
['170', '737', '258']
['627', '377', '908']
['590', '286', '802']
['970', '638', '657']
['29', '648', '293']
['238', '836', '395']
['385', '199', '903']
['22', '963', '382']
['109', '228', '829']
['26', '340', '928']
['811', '175', '893']
['956', '593', '823']
['186', '969', '550']
['426', '438', '40']
['182', '266', '6']
['96', '883', '358']
['543', '995', '287']
['62', '620', '289']
['41', '410', '396']
['587', '660', '997']
['428', '159', '202']
['746', '216', '5']
['792', '780', '123']
['906', '525', '305']
['436', '772', '606']
['38', '387', '695']
['938', '635', '102']
['952', '278', '643']
['483', '152', '682']
['868', '121', '491']
['4', '318', '654']
['204', '267', '628']
['518', '306', '92']
['891', '195', '198']
['922', '375', '334']
['285', '295', '516']
['814', '953', '923']
['421', '457', '828']
['915', '767', '677']
['191', '392', '611']
['673', '943', '744']
['34', '881', '201']
['187', '57', '25']
['441', '519', '429']
['803', '161', '566']
['114', '947', '867']
['329', '432', '698']
['859', '463', '962']
['61', '229', '310']
['249', '103', '17']
['567', '59', '462']
['539', '367', '484']
['783', '671', '689']
['554', '78', '937']
['252', '959', '173']
['931', '71', '668']
['272', '383', '531']
['544', '662', '950']
['325', '437', '616']
['979', '932', '508']
['600', '362', '503']
['736', '592', '352']
['497', '243', '345']
['930', '541', '967']
['355', '480', '742']
['640', '253', '343']
['83', '369', '209']
['545', '260', '311']
['831', '264', '523']
['149', '169', '164']
['314', '97', '843']
['759', '66', '899']
['794', '424', '412']
['683', '91', '9']
['458', '471', '610']
['958', '138', '685']
['641', '787', '324']
['381', '378', '676']
['247', '139', '420']
['572', '882', '510']
['840', '487', '133']
['912', '273', '275']
['501', '880', '117']
['775', '655', '672']
['248', '730', '749']
['574', '602', '720']
['816', '897', '168']
['315', '584', '860']
['404', '231', '839']
['454', '14', '3']
['622', '914', '790']
['107', '568', '709']
['439', '796', '499']
['630', '639', '435']
['489', '87', '393']
['72', '217', '43']
['723', '760', '895']
['625', '37', '422']
['118', '515', '990']
['799', '346', '380']
['634', '129', '492']
['366', '535', '251']
['338', '991', '56']
['135', '69', '68']
['526', '125', '101']
['342', '174', '686']
['208', '534', '594']
['299', '586', '215']
['753', '473', '832']
['23', '353', '726']
['935', '875', '569']
['681', '887', '857']
['332', '235', '147']
['863', '227', '996']
['95', '348', '738']
['197', '341', '965']
['203', '514', '536']
['320', '146', '889']
['900', '666', '308']
['910', '183', '8']
['715', '27', '789']
['477', '734', '512']
['347', '691', '549']
['618', '542', '805']
['357', '934', '527']
['729', '939', '452']
['44', '825', '290']
['916', '162', '918']
['684', '455', '277']
['165', '754', '824']
['370', '54', '583']
['847', '89', '862']
['532', '977', '406']
['948', '561', '751']
['670', '179', '650']
['354', '433', '11']
['52', '665', '28']
['119', '379', '633']
['656', '337', '904']
['443', '589', '132']
['985', '800', '384']
['218', '408', '73']
['271', '364', '885']
['917', '765', '981']
['236', '674', '804']
['185', '872', '64']
['502', '51', '520']
['578', '757', '234']
['707', '12', '110']
['955', '815', '850']
['810', '667', '795']
['871', '745', '312']
['750', '596', '475']
['176', '207', '942']
['451', '265', '821']
['560', '70', '181']
['540', '517', '548']
['430', '739', '442']
['663', '975', '309']
['727', '791', '613']
