['273', '539', '525', '414', '234', '537', '188']
['60', '258', '104', '599', '216', '695', '185']
['380', '699', '382', '678', '504', '40', '79']
['256', '368', '105', '283', '545', '355', '664']
['681', '171', '585', '395', '247', '480', '626']
['623', '206', '460', '459', '399', '202', '477']
['693', '155', '257', '227', '210', '668', '270']
['120', '340', '11', '313', '461', '298', '589']
['300', '378', '250', '534', '601', '569', '688']
['508', '445', '195', '469', '184', '78', '383']
['25', '111', '180', '99', '93', '506', '674']
['647', '132', '466', '311', '143', '640', '423']
['142', '359', '474', '418', '642', '287', '239']
['148', '126', '15', '396', '284', '17', '62']
['101', '299', '5', '122', '559', '192', '406']
['95', '269', '624', '52', '581', '484', '630']
['422', '231', '348', '169', '153', '342', '209']
['526', '18', '158', '127', '437', '129', '644']
['178', '551', '24', '425', '337', '643', '80']
['322', '33', '39', '259', '604', '289', '221']
['600', '145', '100', '415', '175', '59', '547']
['379', '576', '16', '481', '249', '410', '164']
['69', '41', '394', '663', '532', '400', '429']
['134', '116', '550', '389', '457', '212', '248']
['267', '584', '645', '405', '170', '503', '690']
['325', '211', '215', '553', '376', '538', '225']
['381', '465', '347', '274', '324', '119', '91']
['510', '242', '271', '507', '201', '583', '636']
['443', '618', '639', '408', '183', '372', '330']
['19', '156', '141', '160', '7', '354', '151']
['136', '391', '343', '339', '658', '582', '527']
['352', '276', '431', '633', '501', '23', '691']
['683', '121', '377', '541', '662', '264', '594']
['356', '676', '295', '161', '203', '426', '462']
['244', '196', '252', '490', '565', '564', '625']
['238', '677', '470', '70', '590', '433', '632']
['290', '416', '67', '622', '240', '486', '320']
['45', '570', '417', '629', '149', '561', '191']
['346', '261', '449', '150', '596', '608', '49']
['176', '204', '432', '306', '8', '557', '669']
['3', '479', '464', '118', '468', '568', '404']
['598', '575', '285', '154', '441', '558', '430']
['452', '113', '304', '549', '243', '613', '515']
['649', '328', '4', '562', '107', '96', '229']
['157', '147', '384', '12', '319', '670', '72']
['654', '1', '634', '214', '542', '684', '403']
['375', '518', '301', '502', '435', '446', '516']
['38', '92', '48', '593', '255', '22', '349']
['620', '635', '266', '217', '361', '84', '246']
['472', '198', '303', '26', '659', '182', '616']
['335', '297', '540', '686', '628', '345', '179']
['329', '494', '75', '233', '146', '275', '485']
['351', '463', '513', '194', '458', '279', '232']
['454', '367', '442', '680', '385', '419', '587']
['137', '44', '222', '498', '58', '409', '371']
['260', '73', '280', '358', '500', '407', '591']
['241', '65', '390', '471', '548', '672', '365']
['83', '499', '364', '6', '253', '638', '478']
['648', '679', '656', '612', '637', '447', '166']
['64', '112', '223', '245', '571', '326', '579']
['131', '520', '124', '660', '362', '218', '698']
['14', '331', '9', '321', '106', '205', '611']
['53', '533', '35', '467', '627', '278', '666']
['29', '615', '76', '228', '614', '108', '236']
['397', '535', '90', '97', '50', '428', '514']
['631', '574', '281', '438', '652', '511', '309']
['696', '556', '31', '519', '651', '27', '103']
['144', '344', '128', '566', '555', '334', '71']
['123', '314', '254', '610', '47', '207', '46']
['552', '312', '10', '621', '505', '77', '51']
['277', '109', '529', '308', '475', '268', '310']
['488', '187', '687', '186', '398', '530', '333']
['580', '316', '665', '493', '421', '262', '578']
['444', '173', '57', '296', '219', '661', '473']
['230', '641', '139', '226', '115', '291', '54']
['482', '673', '386', '388', '251', '168', '272']
['350', '235', '544', '523', '682', '563', '370']
['224', '554', '294', '165', '363', '200', '655']
['117', '88', '357', '94', '427', '98', '190']
['650', '177', '34', '302', '509', '318', '199']
['307', '288', '387', '455', '102', '336', '162']
['619', '617', '586', '671', '125', '434', '607']
['496', '393', '451', '603', '110', '172', '483']
['592', '28', '138', '114', '293', '411', '572']
['456', '694', '605', '577', '130', '133', '609']
['220', '32', '197', '602', '606', '450', '401']
['528', '2', '338', '512', '595', '159', '82']
['453', '560', '448', '524', '63', '56', '692']
['439', '597', '20', '286', '567', '152', '68']
['487', '237', '374', '315', '497', '36', '476']
['657', '0', '667', '208', '140', '43', '685']
['265', '653', '305', '181', '573', '697', '81']
['42', '492', '489', '193', '282', '317', '341']
['495', '675', '588', '402', '66', '531', '546']
['543', '263', '413', '189', '174', '30', '366']
['292', '360', '522', '86', '436', '424', '369']
['521', '13', '420', '87', '689', '412', '55']
['37', '536', '491', '61', '74', '85', '353']
['163', '392', '135', '646', '323', '167', '373']
['327', '21', '332', '89', '213', '517', '440']
