['385', '38', '138', '132', '308', '318', '204', '407', '73', '279', '358', '342', '341', '234', '157', '415', '432', '168', '424', '256', '93', '367', '243', '94', '26']
['62', '17', '373', '402', '261', '229', '159', '58', '200', '401', '97', '102', '104', '227', '165', '270', '27', '246', '186', '386', '124', '28', '382', '198', '370']
['434', '275', '176', '428', '75', '322', '262', '429', '352', '100', '215', '416', '392', '42', '45', '259', '390', '345', '396', '156', '195', '291', '179', '57', '465']
['498', '422', '109', '84', '217', '242', '182', '413', '116', '489', '81', '475', '213', '238', '420', '56', '343', '250', '301', '103', '154', '445', '477', '86', '224']
['338', '101', '185', '466', '2', '493', '131', '19', '336', '458', '18', '55', '331', '433', '374', '333', '130', '484', '216', '207', '497', '147', '77', '453', '363']
['175', '155', '286', '41', '468', '339', '52', '32', '488', '247', '366', '313', '114', '251', '254', '494', '435', '205', '302', '438', '426', '490', '166', '53', '283']
['209', '160', '91', '140', '307', '329', '210', '174', '479', '0', '421', '225', '462', '70', '71', '50', '74', '419', '306', '404', '178', '263', '64', '78', '388']
['25', '381', '108', '151', '90', '120', '266', '405', '60', '68', '454', '24', '22', '92', '310', '235', '99', '391', '300', '372', '106', '459', '328', '448', '76']
['417', '303', '125', '188', '485', '325', '21', '142', '323', '10', '359', '379', '13', '347', '492', '23', '98', '423', '364', '197', '315', '249', '34', '397', '193']
['161', '436', '348', '113', '171', '11', '136', '470', '327', '441', '33', '447', '304', '83', '123', '362', '410', '406', '7', '3', '353', '110', '137', '148', '463']
['418', '267', '368', '375', '344', '334', '79', '16', '332', '196', '126', '449', '439', '292', '49', '293', '294', '395', '355', '203', '482', '326', '128', '189', '451']
['153', '201', '218', '5', '170', '152', '6', '54', '199', '403', '163', '444', '430', '258', '85', '46', '36', '221', '377', '314', '44', '276', '305', '139', '150']
['281', '173', '412', '309', '369', '499', '360', '483', '252', '39', '40', '8', '162', '4', '66', '134', '145', '408', '467', '133', '285', '431', '220', '365', '63']
['95', '47', '222', '72', '31', '290', '181', '87', '12', '486', '20', '268', '118', '253', '236', '457', '65', '464', '14', '394', '411', '61', '321', '67', '460']
['35', '480', '354', '202', '320', '282', '226', '297', '487', '239', '264', '409', '340', '164', '51', '450', '311', '265', '271', '289', '384', '144', '143', '414', '476']
['172', '277', '278', '349', '241', '299', '440', '82', '383', '190', '169', '48', '319', '478', '437', '29', '393', '350', '398', '117', '96', '371', '228', '105', '474']
['245', '9', '183', '456', '378', '191', '491', '1', '316', '280', '43', '496', '346', '80', '260', '127', '30', '472', '269', '121', '187', '135', '324', '37', '425']
['232', '330', '272', '312', '167', '69', '351', '112', '122', '212', '180', '357', '471', '219', '296', '361', '469', '446', '231', '427', '399', '214', '119', '88', '237']
['317', '298', '15', '111', '376', '335', '400', '389', '89', '248', '255', '206', '233', '115', '461', '273', '208', '295', '107', '129', '473', '146', '387', '455', '284']
['495', '240', '356', '192', '380', '158', '287', '481', '274', '194', '184', '442', '177', '452', '230', '337', '59', '244', '443', '223', '288', '141', '211', '257', '149']
