['204', '580', '568', '354', '44', '665', '714', '3', '715', '587', '410', '718', '170', '319', '390', '127', '489', '85', '70', '68', '15', '87', '573', '373', '585', '317', '721', '183', '168', '38']
['299', '66', '174', '195', '235', '708', '428', '599', '701', '424', '505', '137', '408', '651', '52', '497', '465', '501', '28', '270', '493', '341', '179', '210', '103', '432', '401', '638', '48', '211']
['591', '67', '197', '92', '560', '259', '481', '225', '488', '637', '64', '662', '433', '27', '707', '614', '59', '383', '149', '674', '118', '22', '190', '483', '722', '133', '11', '226', '248', '633']
['312', '200', '192', '742', '583', '346', '36', '451', '362', '234', '375', '454', '229', '154', '376', '640', '502', '717', '558', '187', '649', '601', '306', '181', '388', '703', '361', '23', '169', '380']
['590', '398', '427', '452', '281', '112', '116', '295', '260', '10', '596', '208', '589', '478', '347', '9', '620', '237', '413', '605', '462', '570', '19', '369', '304', '330', '743', '322', '360', '139']
['686', '513', '734', '162', '333', '594', '143', '368', '526', '227', '4', '268', '254', '40', '284', '667', '136', '305', '176', '224', '420', '552', '372', '554', '710', '414', '429', '600', '400', '586']
['285', '406', '131', '184', '240', '533', '105', '457', '610', '694', '470', '31', '377', '628', '161', '412', '62', '576', '606', '669', '94', '212', '654', '725', '101', '247', '438', '399', '598', '436']
['731', '749', '578', '687', '486', '727', '545', '619', '79', '177', '741', '548', '397', '42', '266', '43', '541', '57', '311', '611', '693', '508', '437', '464', '448', '419', '475', '108', '557', '303']
['55', '321', '13', '546', '216', '56', '117', '588', '290', '51', '156', '30', '382', '130', '300', '314', '228', '450', '214', '111', '468', '592', '242', '325', '81', '664', '626', '302', '532', '125']
['255', '338', '76', '561', '623', '733', '5', '46', '205', '440', '182', '144', '569', '618', '536', '435', '286', '258', '421', '267', '577', '539', '453', '645', '613', '41', '407', '514', '463', '607']
['705', '278', '0', '416', '740', '503', '700', '672', '337', '351', '409', '540', '222', '152', '54', '98', '529', '597', '517', '738', '252', '65', '146', '422', '543', '275', '395', '35', '160', '207']
['396', '128', '682', '581', '663', '203', '639', '323', '737', '458', '730', '320', '690', '292', '358', '696', '201', '104', '355', '288', '29', '90', '120', '415', '124', '498', '60', '691', '63', '680']
['444', '114', '282', '209', '572', '495', '26', '45', '447', '391', '206', '366', '716', '739', '477', '257', '326', '692', '198', '14', '668', '180', '709', '155', '571', '729', '426', '443', '218', '239']
['328', '744', '123', '147', '648', '356', '670', '186', '276', '643', '287', '384', '531', '746', '549', '624', '213', '231', '363', '121', '253', '157', '449', '138', '21', '534', '80', '652', '250', '650']
['480', '747', '726', '269', '537', '745', '115', '565', '202', '232', '283', '602', '310', '251', '732', '215', '12', '678', '499', '655', '659', '635', '439', '627', '353', '660', '473', '194', '77', '119']
['301', '142', '264', '608', '280', '262', '16', '223', '675', '527', '359', '574', '148', '634', '39', '291', '188', '126', '96', '74', '653', '219', '245', '191', '704', '327', '507', '615', '636', '564']
['567', '34', '644', '109', '230', '657', '122', '385', '102', '695', '37', '506', '167', '720', '132', '61', '367', '556', '193', '172', '238', '365', '49', '735', '331', '69', '461', '555', '164', '479']
['318', '698', '343', '243', '500', '562', '313', '199', '538', '345', '344', '217', '544', '630', '566', '24', '32', '50', '622', '666', '297', '736', '679', '378', '236', '524', '78', '106', '646', '579']
['402', '244', '129', '329', '647', '47', '273', '442', '661', '221', '403', '472', '17', '446', '324', '584', '658', '681', '134', '459', '485', '150', '256', '151', '364', '621', '72', '689', '582', '71']
['632', '274', '99', '348', '612', '629', '430', '392', '185', '381', '308', '293', '159', '550', '496', '1', '8', '263', '625', '547', '748', '723', '542', '688', '298', '89', '492', '521', '685', '510']
['107', '135', '386', '86', '389', '511', '604', '509', '699', '728', '332', '316', '417', '100', '158', '516', '339', '411', '83', '6', '724', '371', '535', '307', '520', '265', '350', '175', '553', '423']
['196', '58', '394', '441', '393', '404', '456', '712', '340', '370', '387', '249', '335', '434', '702', '491', '336', '641', '460', '656', '523', '484', '220', '334', '171', '466', '309', '642', '352', '469']
['2', '713', '178', '110', '153', '271', '379', '697', '18', '528', '467', '445', '603', '683', '163', '342', '357', '279', '595', '53', '471', '33', '73', '75', '677', '25', '476', '140', '676', '277']
['616', '93', '609', '84', '82', '559', '374', '563', '405', '490', '349', '7', '593', '673', '711', '241', '575', '145', '719', '482', '494', '487', '315', '289', '233', '88', '141', '684', '296', '97']
['551', '418', '671', '706', '189', '512', '165', '518', '631', '173', '261', '455', '113', '20', '515', '522', '519', '166', '617', '504', '246', '530', '425', '95', '294', '272', '474', '525', '91', '431']
