['417', '60', '139', '262', '486']
['41', '498', '463', '277', '389']
['403', '58', '358', '24', '404']
['236', '225', '271', '185', '172']
['28', '70', '432', '132', '125']
['341', '378', '5', '95', '470']
['307', '426', '204', '328', '455']
['159', '11', '27', '137', '398']
['32', '292', '96', '68', '312']
['251', '111', '386', '349', '196']
['19', '289', '71', '171', '187']
['18', '464', '239', '377', '59']
['237', '311', '496', '0', '87']
['142', '340', '10', '415', '472']
['473', '385', '9', '491', '485']
['255', '337', '114', '211', '300']
['100', '134', '321', '75', '290']
['274', '191', '334', '375', '224']
['110', '301', '344', '449', '62']
['355', '494', '275', '480', '316']
['162', '88', '113', '31', '437']
['476', '401', '202', '89', '80']
['112', '22', '63', '158', '215']
['55', '259', '72', '291', '94']
['2', '240', '14', '299', '324']
['105', '286', '219', '266', '497']
['469', '252', '61', '320', '314']
['12', '392', '412', '160', '490']
['276', '460', '482', '382', '388']
['78', '182', '131', '429', '120']
['164', '374', '136', '419', '336']
['267', '499', '329', '38', '189']
['458', '440', '231', '218', '351']
['174', '492', '216', '483', '214']
['16', '245', '101', '257', '446']
['363', '297', '197', '117', '465']
['57', '98', '319', '424', '92']
['354', '244', '84', '116', '56']
['169', '149', '227', '77', '209']
['53', '177', '118', '387', '268']
['206', '406', '138', '260', '306']
['104', '192', '447', '488', '256']
['163', '362', '411', '46', '91']
['69', '79', '34', '481', '443']
['444', '35', '322', '438', '479']
['115', '468', '361', '29', '365']
['74', '155', '284', '241', '103']
['49', '397', '484', '212', '410']
['123', '435', '338', '37', '141']
['234', '478', '317', '408', '165']
['283', '360', '210', '347', '413']
['448', '278', '425', '407', '221']
['370', '121', '359', '309', '269']
['143', '86', '475', '168', '281']
['1', '270', '342', '106', '304']
['156', '346', '198', '222', '52']
['193', '254', '195', '353', '373']
['339', '356', '109', '85', '369']
['93', '223', '335', '394', '3']
['173', '416', '248', '122', '428']
['175', '190', '73', '21', '81']
['232', '452', '145', '6', '107']
['127', '176', '366', '102', '26']
['99', '242', '371', '280', '348']
['238', '477', '250', '345', '126']
['129', '186', '296', '433', '228']
['495', '431', '213', '48', '461']
['97', '203', '442', '40', '140']
['330', '414', '400', '427', '66']
['146', '368', '167', '20', '179']
['313', '462', '76', '333', '350']
['233', '451', '170', '253', '17']
['421', '310', '459', '247', '405']
['434', '258', '396', '261', '474']
['23', '332', '25', '90', '220']
['315', '420', '418', '83', '264']
['154', '273', '147', '331', '124']
['380', '128', '65', '288', '207']
['144', '184', '422', '282', '200']
['379', '457', '395', '487', '153']
['4', '390', '287', '148', '436']
['178', '47', '272', '108', '30']
['381', '305', '201', '217', '205']
['454', '383', '54', '466', '402']
['230', '376', '372', '453', '135']
['82', '181', '42', '467', '302']
['384', '326', '279', '430', '343']
['44', '357', '133', '194', '303']
['246', '409', '293', '180', '130']
['208', '67', '226', '471', '229']
['298', '318', '39', '51', '15']
['352', '423', '157', '456', '33']
['50', '152', '199', '445', '36']
['119', '393', '364', '325', '265']
['450', '308', '493', '161', '43']
['439', '285', '441', '489', '399']
['166', '249', '7', '391', '151']
['45', '188', '183', '243', '367']
['323', '235', '295', '8', '150']
['263', '13', '64', '294', '327']
