['0', '1', '2', '4', '31', '82', '156', '236', '54', '93', '143', '226', '99', '124']
['3', '6', '8', '10', '37', '42', '75', '84', '264', '331', '55', '142', '383', '19']
['5', '11', '12', '13', '28', '47', '129', '213', '404', '193', '346', '378', '185', '256']
['7', '14', '17', '22', '36', '77', '95', '136', '64', '103', '178', '26', '135', '165']
['9', '18', '24', '25', '35', '44', '314', '334', '89', '120', '216', '79', '123', '373']
['15', '16', '23', '48', '63', '66', '130', '274', '131', '175', '217', '298', '177', '360']
['20', '21', '34', '43', '80', '125', '186', '283', '117', '160', '56', '159', '172', '76']
['27', '38', '41', '62', '91', '148', '188', '70', '128', '139', '249', '97', '259', '356']
['29', '30', '32', '50', '57', '72', '164', '270', '40', '170', '240', '369', '287', '145']
['33', '39', '45', '59', '100', '183', '190', '96', '280', '379', '386', '167', '310', '282']
['46', '51', '58', '68', '101', '173', '246', '309', '119', '78', '114', '121', '227', '367']
['49', '83', '87', '105', '109', '137', '200', '303', '412', '133', '242', '326', '345', '381']
['52', '53', '88', '107', '161', '169', '319', '92', '138', '157', '192', '387', '307', '324']
['60', '61', '71', '108', '144', '278', '211', '252', '320', '330', '73', '288', '147', '244']
['65', '69', '74', '112', '158', '312', '403', '171', '207', '292', '243', '393', '400', '102']
['67', '98', '113', '140', '191', '340', '398', '155', '238', '251', '180', '342', '104', '194']
['81', '85', '110', '116', '233', '414', '168', '231', '260', '199', '208', '289', '377', '332']
['86', '90', '151', '153', '221', '254', '271', '316', '344', '205', '232', '189', '198', '230']
['94', '106', '163', '166', '184', '195', '122', '250', '291', '313', '361', '295', '304', '389']
['111', '118', '134', '141', '187', '228', '376', '162', '220', '235', '212', '154', '290', '268']
['115', '174', '182', '214', '223', '357', '248', '281', '413', '297', '317', '363', '245', '146']
['126', '149', '176', '196', '204', '225', '365', '218', '258', '368', '408', '337', '197', '284']
['127', '132', '150', '179', '253', '362', '206', '269', '266', '267', '347', '299', '385', '202']
['152', '181', '219', '234', '247', '301', '382', '416', '321', '406', '275', '210', '229', '294']
['201', '203', '255', '315', '392', '286', '302', '349', '293', '322', '391', '308', '407', '411']
['209', '222', '224', '276', '328', '335', '339', '257', '336', '351', '359', '409', '215', '241']
['237', '239', '261', '279', '305', '418', '401', '364', '415', '263', '343', '354', '273', '285']
['262', '277', '311', '374', '396', '296', '333', '272', '399', '350', '325', '395', '306', '352']
['265', '318', '338', '341', '370', '327', '358', '371', '366', '380', '390', '323', '417', '384']
['300', '329', '355', '410', '353', '397', '394', '372', '405', '402', '348', '388', '419', '375']
