['0', '8', '13', '30', '446', '48', '63', '152', '263', '344', '388', '407', '421', '431', '254', '272', '249', '79', '64']
['1', '3', '10', '20', '78', '154', '204', '354', '99', '104', '151', '185', '238', '299', '383', '416', '426', '447', '46']
['2', '5', '6', '39', '342', '70', '82', '286', '116', '146', '368', '32', '163', '332', '68', '107', '371', '33', '93']
['4', '7', '16', '86', '133', '232', '323', '77', '312', '376', '385', '186', '402', '430', '14', '250', '271', '333', '392']
['9', '11', '12', '69', '178', '54', '75', '168', '15', '29', '317', '110', '120', '358', '160', '180', '216', '246', '278']
['17', '40', '60', '172', '206', '293', '345', '412', '109', '125', '157', '159', '213', '214', '259', '265', '292', '329', '369']
['18', '23', '51', '55', '297', '67', '84', '94', '191', '266', '313', '417', '179', '205', '220', '281', '325', '347', '363']
['19', '24', '31', '36', '187', '210', '346', '71', '343', '378', '386', '397', '34', '131', '132', '189', '212', '243']
['21', '26', '45', '219', '229', '141', '275', '113', '140', '161', '225', '227', '283', '305', '362', '183', '200', '223']
['22', '25', '87', '260', '339', '192', '218', '364', '316', '360', '448', '90', '106', '142', '181', '188', '221', '341']
['27', '42', '57', '100', '102', '135', '184', '217', '234', '274', '282', '296', '309', '337', '338', '374', '408', '418']
['28', '37', '44', '211', '117', '231', '441', '288', '149', '72', '326', '98', '121', '208', '399', '403', '411', '424']
['35', '41', '56', '203', '280', '165', '349', '322', '164', '52', '301', '62', '324', '336', '83', '129', '174', '310']
['38', '43', '47', '61', '108', '119', '122', '130', '155', '173', '335', '353', '410', '419', '443', '303', '66', '289']
['49', '50', '59', '76', '112', '114', '127', '156', '190', '233', '277', '279', '284', '304', '350', '366', '387', '389']
['53', '73', '85', '171', '88', '105', '241', '167', '435', '199', '215', '394', '291', '315', '451', '235', '372', '202']
['58', '65', '89', '97', '111', '153', '162', '198', '236', '239', '240', '245', '298', '318', '330', '334', '356', '357']
['74', '81', '92', '228', '96', '453', '126', '331', '182', '176', '409', '454', '137', '348', '158', '244', '147', '169']
['80', '101', '123', '256', '295', '128', '393', '401', '428', '95', '139', '257', '311', '327', '268', '351', '398', '450']
['91', '115', '230', '380', '175', '413', '134', '201', '226', '251', '367', '382', '414', '194', '452', '429', '103', '166']
['118', '136', '150', '253', '170', '262', '375', '143', '319', '415', '307', '247', '328', '320', '209', '306', '420', '207']
['124', '177', '195', '145', '261', '285', '449', '148', '267', '373', '384', '432', '248', '144', '222', '270', '377', '355']
['138', '193', '255', '196', '294', '273', '308', '391', '395', '438', '237', '390', '427', '287', '340', '361', '370', '434']
['197', '258', '404', '436', '437', '302', '442', '379', '455', '252', '444', '433', '314', '359', '290', '242', '269', '365']
['224', '300', '321', '406', '425', '276', '400', '439', '352', '264', '456', '405', '396', '445', '381', '440', '422', '423']
