['0', '7', '171', '282']
['1', '28', '183', '9']
['2', '14', '177', '93']
['3', '21', '35', '145']
['4', '12', '61', '306']
['5', '29', '179', '52']
['6', '41', '170', '149']
['8', '15', '19', '98']
['10', '13', '16', '102']
['11', '58', '270', '263']
['17', '37', '53', '96']
['18', '27', '136', '30']
['20', '31', '236', '80']
['22', '24', '173', '26']
['23', '33', '97', '43']
['25', '99', '344', '46']
['32', '79', '338', '57']
['34', '64', '36', '206']
['38', '68', '74', '40']
['39', '44', '45', '393']
['42', '82', '120', '146']
['47', '107', '60', '222']
['48', '62', '325', '368']
['49', '54', '156', '336']
['50', '65', '56', '214']
['51', '85', '371', '312']
['55', '63', '76', '110']
['59', '175', '67', '66']
['69', '134', '304', '167']
['70', '90', '202', '380']
['71', '78', '103', '92']
['72', '106', '207', '252']
['73', '91', '86', '108']
['75', '130', '235', '331']
['77', '95', '302', '100']
['81', '115', '118', '94']
['83', '109', '112', '240']
['84', '144', '147', '128']
['87', '114', '140', '153']
['88', '162', '174', '399']
['89', '101', '377', '246']
['104', '116', '129', '385']
['105', '190', '126', '135']
['111', '124', '181', '231']
['113', '123', '119', '141']
['117', '138', '158', '195']
['121', '155', '150', '142']
['122', '191', '248', '293']
['125', '157', '279', '348']
['127', '131', '164', '133']
['132', '161', '242', '139']
['137', '151', '198', '165']
['143', '148', '392', '232']
['152', '185', '301', '337']
['154', '259', '343', '269']
['159', '166', '180', '366']
['160', '187', '234', '365']
['163', '182', '184', '201']
['168', '275', '227', '199']
['169', '212', '208', '229']
['172', '204', '218', '188']
['176', '211', '244', '210']
['178', '205', '272', '353']
['186', '200', '209', '398']
['189', '245', '223', '379']
['192', '196', '219', '264']
['193', '243', '350', '254']
['194', '197', '217', '265']
['203', '238', '277', '283']
['213', '260', '308', '237']
['215', '220', '224', '262']
['216', '256', '225', '287']
['221', '233', '255', '228']
['226', '268', '253', '278']
['230', '307', '300', '273']
['239', '318', '247', '381']
['241', '329', '267', '251']
['249', '349', '258', '311']
['250', '274', '378', '280']
['257', '271', '284', '322']
['261', '266', '313', '358']
['276', '298', '281', '314']
['285', '363', '317', '296']
['286', '372', '327', '294']
['288', '290', '295', '374']
['289', '305', '316', '383']
['291', '297', '323', '324']
['292', '299', '303', '310']
['309', '315', '321', '352']
['319', '335', '328', '347']
['320', '354', '356', '351']
['326', '330', '333', '342']
['332', '345', '334', '389']
['339', '340', '341', '395']
['346', '388', '362', '359']
['355', '376', '364', '357']
['360', '361', '367', '397']
['369', '370', '382', '375']
['373', '391', '384', '386']
['387', '390', '394', '396']
