['1', '2', '6', '16', '18', '21', '32', '39', '62', '67', '91', '167', '177', '184', '189', '258', '266', '298', '37', '96', '146', '224', '345']
['3', '5', '7', '9', '14', '17', '19', '34', '42', '56', '61', '93', '226', '257', '278', '295', '337', '75', '86', '127', '169', '174']
['4', '8', '10', '22', '23', '24', '31', '36', '38', '45', '48', '124', '128', '142', '286', '428', '476', '40', '49', '90', '206', '293']
['11', '12', '15', '25', '35', '43', '63', '89', '100', '118', '119', '130', '150', '158', '172', '194', '205', '277', '326', '332', '51', '107']
['13', '20', '26', '27', '28', '30', '44', '59', '65', '81', '82', '108', '114', '203', '291', '304', '328', '353', '463', '478', '123', '126']
['29', '33', '52', '53', '55', '79', '85', '87', '98', '102', '129', '139', '141', '154', '171', '180', '240', '432', '157', '221', '242', '252']
['41', '46', '47', '58', '68', '73', '74', '80', '83', '94', '125', '155', '178', '192', '213', '260', '271', '310', '173', '284', '314', '330']
['50', '57', '60', '69', '76', '77', '78', '92', '109', '187', '195', '227', '241', '269', '306', '372', '397', '400', '237', '254', '292', '317']
['54', '64', '66', '70', '88', '95', '103', '115', '133', '134', '145', '222', '371', '378', '424', '430', '84', '151', '159', '160', '244', '297']
['71', '72', '97', '99', '104', '117', '120', '121', '135', '136', '140', '193', '218', '250', '255', '256', '465', '469', '219', '305', '318', '101']
['105', '110', '116', '122', '137', '149', '176', '188', '191', '216', '235', '243', '246', '301', '338', '376', '411', '217', '273', '373', '422', '475']
['106', '111', '113', '131', '132', '138', '147', '209', '210', '220', '228', '230', '245', '281', '290', '389', '421', '444', '445', '474', '267', '458']
['112', '143', '152', '153', '164', '166', '175', '179', '198', '200', '202', '263', '313', '350', '366', '386', '434', '238', '309', '402', '407', '440']
['144', '148', '161', '162', '168', '181', '185', '186', '197', '199', '204', '248', '333', '357', '208', '212', '270', '288', '336', '346', '367', '392']
['156', '163', '165', '182', '183', '201', '229', '232', '302', '341', '351', '380', '390', '399', '403', '441', '443', '449', '315', '325', '393', '280']
['170', '190', '196', '207', '225', '251', '259', '261', '265', '275', '300', '307', '466', '468', '276', '320', '340', '374', '412', '417', '287', '327']
['211', '214', '231', '249', '262', '279', '312', '316', '323', '356', '360', '438', '442', '483', '329', '364', '388', '413', '420', '431', '453', '342']
['215', '223', '233', '236', '268', '272', '283', '308', '379', '425', '480', '324', '361', '414', '415', '433', '447', '471', '398', '416', '454', '455']
['234', '239', '247', '274', '282', '299', '303', '335', '355', '368', '405', '409', '253', '348', '377', '418', '363', '369', '436', '459', '470', '294']
['264', '285', '296', '321', '331', '344', '347', '354', '385', '408', '451', '460', '339', '352', '362', '396', '457', '467', '319', '423', '426', '391']
['289', '311', '322', '334', '370', '387', '419', '437', '456', '343', '406', '429', '446', '450', '464', '394', '435', '481', '349', '427', '484', '358']
['359', '375', '381', '383', '401', '404', '382', '384', '439', '461', '472', '473', '477', '448', '482', '462', '452', '365', '410', '479', '395', '485']
