['SirJellyTheTrueVampireSniffer', 'SirFluffyTheBraveMonsterMaker', 'DukeJellyTheMightyDragonFinder', 'QueenJellyTheMightyMonsterMaker', 'MasterBeetleTheMightyVampireSniffer', 'MadameTrinityTheBraveMonsterSniffer', 'MasterSushiTheMightyVampireHunter', 'DuchessSushiTheGreatRobotSniffer', 'SirTrinityTheTrueDragonEater', 'MasterShadowTheHeroicMonsterSniffer', 'DukeJellyTheHeroicDragonHunter', 'SirShadowTheHeroicVampireEater', 'DukeJellyTheHeroicRobotHunter', 'DuchessShadowTheMightyMonsterSniffer', 'MadameSushiTheMightyVampireHunter', 'SirShadowTheMightyDragonHunter', 'SirShadowTheBraveZombieMaker', 'MadameTrinityTheGreatZombieEater', 'DukeSushiTheTrueMonsterEater', 'LordBarneyTheMightyDragonEater']
['SirBarneyTheGreatZombieEater', 'QueenTrinityTheTrueRobotMaker', 'LordBeetleTheBraveDragonHunter', 'SirTrinityTheTrueMonsterMaker', 'MadameJellyTheTrueRobotEater', 'MadameSushiTheHeroicDragonEater', 'MasterFluffyTheGreatDragonEater', 'SirBeetleTheBraveZombieMaker', 'SirBarneyTheTrueDragonMaker', 'SirSushiTheTrueRobotFinder', 'MasterJellyTheGreatDragonHunter', 'MadameSushiTheBraveVampireSniffer', 'MadameSushiTheTrueRobotEater', 'LordSushiTheBraveVampireEater', 'DuchessBarneyTheMightyVampireFinder', 'MasterSushiTheMightyZombieHunter', 'DuchessBeetleTheTrueZombieHunter', 'MadameTrinityTheBraveZombieEater', 'SirJellyTheGreatDragonFinder', 'QueenTrinityTheHeroicDragonFinder']
['DuchessSushiTheHeroicRobotHunter', 'SirBarneyTheGreatMonsterHunter', 'DuchessJellyTheGreatMonsterSniffer', 'MasterBeetleTheBraveDragonSniffer', 'DukeJellyTheTrueMonsterMaker', 'DukeFluffyTheHeroicVampireFinder', 'QueenShadowTheBraveRobotEater', 'QueenBarneyTheMightyZombieEater', 'QueenShadowTheTrueVampireSniffer', 'SirJellyTheTrueVampireFinder', 'QueenBarneyTheHeroicZombieHunter', 'SirBeetleTheBraveRobotHunter', 'DukeFluffyTheGreatRobotEater', 'MadameShadowTheBraveRobotEater', 'QueenBarneyTheGreatVampireEater', 'DukeFluffyTheMightyZombieFinder', 'QueenTrinityTheHeroicVampireMaker', 'LordJellyTheMightyRobotEater', 'LordFluffyTheGreatMonsterFinder', 'MasterBeetleTheGreatRobotSniffer']
['DuchessTrinityTheGreatVampireFinder', 'QueenTrinityTheTrueMonsterMaker', 'QueenTrinityTheBraveZombieFinder', 'SirJellyTheBraveRobotHunter', 'SirBeetleTheTrueMonsterMaker', 'MasterJellyTheTrueDragonMaker', 'MasterTrinityTheBraveMonsterEater', 'LordSushiTheHeroicDragonMaker', 'SirSushiTheMightyDragonEater', 'DuchessShadowTheMightyVampireHunter', 'LordShadowTheBraveVampireFinder', 'DukeBarneyTheGreatVampireHunter', 'MadameBeetleTheTrueVampireEater', 'QueenJellyTheHeroicZombieSniffer', 'MasterBeetleTheTrueVampireMaker', 'MasterJellyTheMightyDragonFinder', 'MasterFluffyTheTrueMonsterEater', 'LordJellyTheGreatRobotHunter', 'DuchessFluffyTheMightyRobotMaker', 'LordBeetleTheMightyZombieSniffer']
['MadameShadowTheGreatZombieSniffer', 'LordBeetleTheMightyZombieFinder', 'LordFluffyTheMightyVampireSniffer', 'DukeSushiTheTrueDragonFinder', 'DuchessTrinityTheGreatZombieFinder', 'DukeJellyTheGreatMonsterFinder', 'LordJellyTheBraveVampireHunter', 'QueenBeetleTheBraveVampireFinder', 'MasterTrinityTheHeroicZombieMaker', 'SirBeetleTheHeroicMonsterEater', 'MadameJellyTheHeroicZombieEater', 'LordJellyTheTrueDragonEater', 'SirShadowTheTrueMonsterEater', 'LordShadowTheBraveRobotMaker', 'DuchessSushiTheBraveMonsterHunter', 'MasterShadowTheBraveRobotEater', 'QueenFluffyTheBraveRobotFinder', 'SirFluffyTheTrueVampireSniffer', 'MasterTrinityTheHeroicRobotFinder', 'MadameBarneyTheMightyVampireMaker']
['QueenBeetleTheMightyRobotMaker', 'DukeTrinityTheGreatDragonHunter', 'MadameFluffyTheTrueVampireFinder', 'QueenBarneyTheMightyDragonSniffer', 'DuchessSushiTheTrueMonsterSniffer', 'MadameJellyTheTrueMonsterHunter', 'SirFluffyTheMightyZombieMaker', 'MasterTrinityTheBraveDragonHunter', 'LordTrinityTheTrueZombieHunter', 'DuchessFluffyTheTrueRobotFinder', 'MadameSushiTheGreatVampireSniffer', 'MasterBarneyTheHeroicZombieMaker', 'LordSushiTheGreatDragonSniffer', 'SirShadowTheMightyZombieEater', 'QueenShadowTheHeroicMonsterSniffer', 'SirSushiTheTrueRobotEater', 'LordBeetleTheGreatZombieSniffer', 'MasterShadowTheHeroicVampireSniffer', 'MadameShadowTheMightyDragonEater', 'QueenSushiTheTrueVampireMaker']
['QueenBeetleTheGreatMonsterEater', 'QueenSushiTheHeroicVampireFinder', 'QueenFluffyTheMightyVampireEater', 'LordJellyTheBraveVampireSniffer', 'DuchessBarneyTheMightyMonsterSniffer', 'DukeBarneyTheHeroicRobotHunter', 'SirTrinityTheHeroicVampireFinder', 'MadameBeetleTheHeroicDragonFinder', 'DukeShadowTheBraveRobotHunter', 'MadameSushiTheGreatRobotFinder', 'DukeTrinityTheGreatMonsterEater', 'DukeJellyTheGreatMonsterSniffer', 'SirJellyTheTrueDragonHunter', 'MasterSushiTheHeroicRobotHunter', 'MasterTrinityTheGreatMonsterSniffer', 'MadameJellyTheBraveDragonHunter', 'DuchessJellyTheMightyDragonMaker', 'DuchessBarneyTheBraveZombieHunter', 'MadameFluffyTheHeroicVampireMaker', 'DuchessBeetleTheGreatMonsterEater']
['SirTrinityTheGreatRobotMaker', 'SirBarneyTheBraveVampireMaker', 'MadameFluffyTheTrueMonsterEater', 'SirJellyTheHeroicMonsterMaker', 'MasterJellyTheBraveDragonHunter', 'QueenBeetleTheBraveZombieFinder', 'SirFluffyTheHeroicZombieSniffer', 'DuchessFluffyTheGreatRobotEater', 'MasterBeetleTheTrueZombieSniffer', 'LordBeetleTheBraveDragonFinder', 'DukeBeetleTheHeroicVampireSniffer', 'MasterBeetleTheHeroicZombieMaker', 'DuchessShadowTheTrueZombieHunter', 'MadameTrinityTheHeroicZombieFinder', 'MasterTrinityTheMightyVampireEater', 'LordBarneyTheBraveVampireHunter', 'QueenBeetleTheBraveMonsterMaker', 'LordJellyTheGreatVampireSniffer', 'LordJellyTheBraveZombieEater', 'DukeBeetleTheTrueMonsterEater']
['DuchessJellyTheTrueDragonHunter', 'SirSushiTheBraveDragonMaker', 'QueenTrinityTheBraveRobotSniffer', 'DuchessJellyTheHeroicMonsterMaker', 'LordShadowTheHeroicDragonHunter', 'MadameBeetleTheTrueMonsterSniffer', 'LordTrinityTheBraveVampireMaker', 'QueenTrinityTheBraveZombieHunter', 'MasterTrinityTheBraveMonsterMaker', 'SirFluffyTheTrueMonsterFinder', 'LordSushiTheGreatMonsterSniffer', 'MasterJellyTheMightyZombieEater', 'QueenJellyTheGreatMonsterFinder', 'DuchessFluffyTheBraveDragonHunter', 'DuchessShadowTheTrueZombieSniffer', 'DukeSushiTheTrueDragonHunter', 'DuchessShadowTheBraveZombieHunter', 'MadameBarneyTheGreatRobotEater', 'LordTrinityTheHeroicVampireEater', 'MadameBeetleTheTrueZombieMaker']
['MasterTrinityTheMightyRobotSniffer', 'DuchessBeetleTheTrueDragonFinder', 'LordBeetleTheHeroicMonsterSniffer', 'DuchessTrinityTheTrueZombieEater', 'DukeTrinityTheGreatDragonEater', 'MasterShadowTheTrueZombieEater', 'DuchessBeetleTheMightyMonsterFinder', 'MasterTrinityTheHeroicDragonMaker', 'MasterBarneyTheGreatRobotEater', 'DukeFluffyTheMightyZombieHunter', 'LordFluffyTheGreatMonsterHunter', 'SirBeetleTheMightyVampireFinder', 'MasterTrinityTheHeroicMonsterSniffer', 'MasterJellyTheHeroicRobotHunter', 'DuchessBarneyTheTrueDragonMaker', 'LordFluffyTheTrueMonsterMaker', 'SirTrinityTheBraveRobotHunter', 'QueenJellyTheGreatZombieMaker', 'DuchessBarneyTheGreatDragonMaker', 'SirShadowTheBraveMonsterMaker']
['QueenJellyTheGreatRobotMaker', 'MadameBarneyTheTrueMonsterFinder', 'MasterBarneyTheTrueVampireSniffer', 'QueenFluffyTheBraveVampireHunter', 'DukeBarneyTheTrueVampireEater', 'DukeSushiTheGreatZombieFinder', 'LordBarneyTheMightyRobotFinder', 'SirTrinityTheHeroicRobotSniffer', 'DuchessBarneyTheTrueDragonHunter', 'LordFluffyTheMightyMonsterSniffer', 'DuchessShadowTheMightyVampireFinder', 'LordBeetleTheHeroicMonsterMaker', 'DukeBeetleTheHeroicMonsterFinder', 'MadameShadowTheMightyVampireEater', 'LordBeetleTheHeroicZombieFinder', 'DukeSushiTheHeroicZombieHunter', 'QueenBeetleTheGreatDragonMaker', 'LordJellyTheBraveDragonEater', 'DuchessShadowTheHeroicZombieFinder', 'DukeBeetleTheHeroicZombieMaker']
