['1', '4', '5', '16', '18', '20', '28', '35', '40', '65']
['2', '12', '13', '15', '23', '44', '100', '106', '121', '137']
['3', '8', '9', '11', '22', '25', '33', '55', '74', '125']
['6', '7', '19', '30', '31', '37', '41', '114', '145', '172']
['10', '14', '43', '53', '59', '66', '101', '112', '119', '165']
['17', '32', '36', '46', '49', '58', '107', '151', '166', '195']
['21', '24', '42', '54', '63', '78', '96', '108', '147', '155']
['26', '27', '48', '50', '77', '81', '169', '170', '191', '243']
['29', '39', '57', '64', '69', '71', '76', '168', '188', '231']
['34', '38', '62', '79', '87', '183', '192', '208', '210', '229']
['45', '52', '86', '88', '115', '117', '163', '93', '99', '177']
['47', '56', '67', '95', '118', '123', '128', '180', '234', '61']
['51', '68', '80', '89', '122', '153', '167', '203', '221', '233']
['60', '72', '110', '133', '140', '186', '213', '228', '111', '120']
['70', '75', '82', '84', '124', '144', '105', '154', '179', '207']
['73', '83', '94', '98', '157', '175', '187', '211', '219', '85']
['90', '97', '131', '143', '205', '220', '242', '104', '109', '127']
['91', '113', '116', '129', '139', '146', '159', '202', '181', '196']
['92', '102', '103', '149', '201', '236', '142', '178', '215', '185']
['126', '132', '174', '135', '156', '176', '199', '224', '204', '235']
['130', '141', '184', '218', '150', '164', '190', '206', '222', '225']
['134', '148', '152', '238', '189', '197', '245', '212', '214', '237']
['136', '194', '217', '161', '200', '160', '248', '182', '247', '158']
['138', '198', '240', '226', '209', '171', '173', '241', '250', '246']
['162', '193', '227', '239', '230', '232', '223', '244', '249', '216']
