['0', '1', '8', '13', '196', '5']
['2', '9', '217', '247', '181']
['3', '39', '14', '20', '70']
['4', '22', '124', '37', '45']
['6', '17', '175', '192', '15']
['7', '28', '189', '195', '218']
['10', '44', '185', '26', '145']
['11', '19', '23', '207', '227']
['12', '25', '32', '165', '203']
['16', '89', '36', '62', '204']
['18', '48', '27', '226', '55']
['21', '30', '47', '127', '95']
['24', '50', '120', '147', '119']
['29', '40', '97', '46', '108']
['31', '38', '135', '141', '104']
['33', '78', '176', '156', '169']
['34', '49', '216', '63', '211']
['35', '42', '52', '96', '91']
['41', '72', '51', '243', '92']
['43', '77', '56', '250', '67']
['53', '58', '93', '103', '242']
['54', '65', '90', '193', '79']
['57', '59', '81', '75', '102']
['60', '107', '111', '158', '194']
['61', '64', '229', '116', '167']
['66', '112', '114', '163', '138']
['68', '109', '115', '122', '149']
['69', '74', '98', '134', '173']
['71', '83', '85', '73', '80']
['76', '106', '130', '129', '197']
['82', '136', '144', '84', '199']
['86', '133', '113', '105', '157']
['87', '132', '99', '128', '239']
['88', '171', '100', '246', '123']
['94', '118', '125', '126', '142']
['101', '110', '155', '220', '187']
['117', '148', '139', '137', '162']
['121', '177', '153', '143', '150']
['131', '168', '198', '166', '172']
['140', '164', '205', '151', '160']
['146', '152', '179', '200', '170']
['154', '230', '188', '183', '232']
['159', '209', '161', '184', '190']
['174', '240', '186', '213', '214']
['178', '236', '245', '225', '202']
['180', '182', '191', '201', '208']
['206', '221', '233', '228', '231']
['210', '212', '219', '235', '215']
['222', '249', '224', '234', '237']
['223', '238', '241', '244', '248']
