['922', '421', '287', '359', '87', '581', '202', '247', '96', '453', '921', '15', '673', '384', '531', '598', '962', '915', '941', '954']
['817', '678', '270', '203', '878', '691', '841', '834', '255', '179', '259', '920', '345', '546', '344', '56', '290', '635', '206', '297']
['977', '943', '593', '597', '426', '816', '13', '574', '382', '154', '313', '758', '504', '214', '261', '260', '861', '876', '579', '827']
['308', '212', '339', '873', '699', '914', '155', '364', '136', '863', '352', '971', '420', '194', '288', '429', '239', '383', '868', '122']
['906', '59', '777', '454', '284', '85', '209', '645', '899', '555', '408', '3', '90', '141', '298', '369', '264', '896', '706', '168']
['233', '776', '1', '541', '159', '587', '411', '152', '428', '413', '696', '337', '506', '238', '196', '465', '721', '156', '515', '608']
['340', '466', '103', '677', '536', '580', '389', '34', '732', '766', '392', '976', '434', '507', '478', '801', '285', '875', '741', '448']
['409', '668', '49', '210', '19', '335', '72', '372', '119', '639', '415', '690', '981', '542', '629', '180', '396', '517', '594', '916']
['248', '349', '556', '188', '183', '655', '66', '631', '697', '199', '905', '582', '785', '807', '317', '987', '928', '720', '575', '737']
['167', '569', '589', '884', '94', '445', '432', '595', '186', '855', '984', '390', '279', '162', '862', '553', '566', '25', '824', '584']
['213', '708', '334', '28', '271', '249', '938', '215', '77', '713', '423', '616', '617', '927', '548', '838', '856', '609', '671', '604']
['62', '274', '826', '160', '937', '220', '512', '265', '425', '148', '440', '871', '831', '683', '485', '113', '734', '320', '125', '243']
['127', '229', '961', '590', '939', '798', '121', '402', '280', '848', '786', '866', '909', '894', '910', '216', '663', '634', '2', '312']
['565', '38', '501', '321', '107', '224', '842', '794', '726', '592', '936', '570', '309', '748', '510', '520', '864', '24', '550', '175']
['316', '331', '959', '932', '904', '401', '828', '226', '221', '17', '476', '955', '736', '561', '662', '889', '266', '627', '67', '371']
['449', '647', '576', '811', '292', '328', '419', '200', '37', '387', '502', '365', '393', '897', '845', '451', '963', '913', '773', '327']
['460', '625', '957', '293', '588', '747', '788', '81', '138', '674', '305', '793', '636', '33', '998', '505', '670', '79', '399', '115']
['859', '61', '474', '464', '357', '16', '8', '482', '497', '669', '44', '642', '991', '74', '431', '118', '666', '630', '733', '672']
['664', '9', '534', '245', '643', '533', '621', '65', '832', '93', '381', '675', '601', '948', '388', '554', '514', '558', '716', '815']
['988', '21', '654', '527', '707', '262', '58', '469', '84', '46', '599', '783', '336', '623', '602', '275', '891', '104', '322', '366']
['537', '818', '184', '109', '648', '738', '782', '315', '778', '888', '222', '354', '854', '64', '153', '667', '753', '398', '508', '500']
['557', '679', '770', '459', '52', '518', '745', '499', '995', '385', '97', '128', '812', '450', '682', '543', '397', '133', '436', '7']
['73', '176', '6', '368', '80', '492', '30', '877', '435', '519', '29', '494', '526', '562', '158', '412', '638', '872', '314', '88']
['27', '852', '763', '870', '907', '424', '26', '377', '471', '379', '343', '676', '586', '486', '892', '257', '330', '95', '375', '997']
['751', '311', '217', '273', '204', '887', '650', '254', '444', '82', '43', '456', '78', '256', '820', '684', '749', '947', '281', '140']
['91', '846', '395', '301', '723', '901', '821', '837', '403', '687', '147', '42', '949', '40', '792', '762', '571', '633', '530', '161']
['120', '173', '324', '306', '940', '483', '681', '513', '101', '253', '700', '391', '743', '657', '149', '714', '966', '341', '583', '277']
['756', '547', '491', '53', '535', '819', '729', '338', '880', '680', '967', '983', '441', '69', '286', '240', '35', '740', '813', '923']
['809', '615', '157', '750', '503', '237', '950', '5', '283', '715', '900', '624', '488', '591', '353', '263', '568', '528', '100', '11']
['718', '994', '620', '689', '63', '685', '835', '784', '918', '803', '717', '705', '99', '619', '417', '652', '472', '282', '54', '470']
['163', '978', '150', '529', '775', '244', '573', '174', '931', '613', '126', '51', '475', '885', '902', '893', '942', '511', '189', '761']
['523', '18', '190', '493', '780', '231', '414', '702', '908', '278', '695', '171', '656', '929', '164', '362', '144', '319', '628', '538']
['427', '857', '653', '272', '218', '739', '294', '363', '110', '105', '219', '380', '665', '48', '860', '477', '710', '693', '446', '795']
['850', '688', '993', '703', '764', '829', '407', '41', '4', '267', '406', '823', '578', '310', '692', '404', '23', '651', '649', '374']
['825', '376', '211', '867', '329', '752', '201', '919', '614', '567', '137', '490', '378', '802', '930', '644', '727', '50', '711', '744']
['986', '757', '874', '370', '799', '416', '980', '660', '455', '241', '626', '405', '911', '68', '853', '39', '746', '509', '869', '418']
['496', '725', '439', '972', '195', '701', '346', '228', '242', '410', '10', '572', '694', '830', '605', '610', '487', '607', '12', '268']
['452', '956', '71', '134', '646', '796', '898', '618', '98', '606', '75', '953', '177', '540', '564', '985', '106', '970', '170', '299']
['92', '797', '839', '917', '480', '728', '789', '457', '768', '116', '925', '304', '989', '704', '223', '735', '447', '178', '577', '731']
['851', '205', '145', '806', '300', '641', '640', '117', '760', '865', '32', '481', '724', '979', '114', '348', '958', '698', '771', '291']
['982', '139', '814', '230', '386', '89', '973', '246', '462', '544', '924', '808', '612', '207', '935', '903', '730', '185', '719', '611']
['142', '767', '430', '765', '151', '55', '102', '433', '843', '754', '999', '197', '373', '658', '952', '458', '944', '912', '356', '192']
['225', '969', '289', '560', '964', '549', '772', '895', '361', '559', '333', '759', '443', '833', '132', '347', '787', '135', '882', '552']
['974', '637', '83', '14', '31', '769', '840', '394', '468', '198', '251', '965', '47', '234', '258', '76', '296', '467', '22', '438']
['600', '722', '836', '516', '57', '323', '318', '933', '111', '252', '302', '934', '551', '603', '437', '355', '659', '124', '227', '975']
['585', '805', '521', '879', '307', '108', '342', '166', '303', '881', '563', '0', '250', '498', '524', '968', '479', '810', '849', '232']
['360', '774', '525', '172', '131', '484', '463', '358', '422', '532', '489', '36', '790', '946', '804', '622', '886', '539', '181', '326']
['461', '60', '332', '709', '596', '350', '129', '123', '791', '858', '325', '992', '686', '20', '847', '400', '632', '45', '661', '165']
['70', '545', '822', '112', '996', '473', '712', '779', '960', '236', '742', '235', '495', '146', '269', '276', '191', '208', '890', '781']
['883', '951', '945', '522', '926', '182', '755', '295', '193', '187', '86', '130', '990', '800', '143', '367', '844', '169', '442', '351']
