['331', '614', '419', '334', '233', '313', '19', '389', '454', '581']
['152', '316', '274', '646', '21', '595', '2', '51', '485', '97']
['369', '308', '340', '656', '541', '584', '351', '403', '761', '392']
['81', '384', '682', '466', '647', '352', '579', '470', '566', '604']
['202', '163', '328', '689', '383', '8', '189', '7', '284', '414']
['428', '534', '77', '44', '691', '72', '15', '481', '527', '365']
['62', '669', '668', '540', '512', '746', '34', '155', '463', '506']
['702', '225', '708', '425', '302', '16', '574', '368', '218', '641']
['110', '131', '697', '609', '339', '625', '85', '411', '4', '393']
['309', '769', '443', '728', '794', '690', '685', '603', '542', '743']
['631', '33', '390', '145', '156', '533', '382', '172', '573', '338']
['226', '591', '434', '402', '89', '159', '677', '654', '608', '500']
['96', '784', '298', '688', '539', '790', '666', '638', '586', '526']
['427', '681', '184', '100', '413', '651', '344', '257', '246', '370']
['259', '134', '386', '432', '343', '401', '381', '242', '234', '175']
['725', '13', '558', '32', '61', '128', '88', '548', '260', '617']
['320', '27', '589', '772', '468', '275', '273', '122', '660', '90']
['222', '221', '25', '188', '705', '279', '551', '162', '104', '304']
['120', '400', '554', '102', '720', '507', '198', '596', '606', '662']
['70', '157', '126', '460', '28', '342', '719', '297', '758', '395']
['557', '465', '396', '173', '38', '250', '407', '412', '448', '593']
['196', '695', '36', '435', '622', '249', '698', '549', '366', '731']
['749', '191', '657', '785', '484', '536', '759', '487', '744', '522']
['531', '547', '177', '105', '311', '679', '281', '618', '515', '251']
['684', '269', '208', '770', '0', '550', '674', '537', '203', '410']
['306', '664', '767', '491', '753', '137', '82', '543', '675', '372']
['295', '121', '739', '103', '552', '490', '459', '46', '45', '607']
['544', '292', '52', '231', '265', '267', '29', '377', '517', '192']
['556', '786', '301', '262', '237', '634', '732', '371', '624', '629']
['585', '663', '505', '408', '150', '148', '271', '462', '616', '598']
['31', '737', '457', '471', '106', '564', '665', '243', '129', '317']
['599', '439', '594', '149', '303', '206', '405', '71', '699', '282']
['39', '509', '447', '730', '332', '398', '133', '324', '673', '40']
['671', '799', '76', '642', '83', '289', '140', '387', '482', '113']
['385', '254', '20', '421', '755', '24', '776', '48', '773', '724']
['167', '307', '658', '683', '417', '116', '125', '94', '727', '480']
['204', '742', '751', '367', '228', '546', '648', '458', '115', '299']
['213', '49', '329', '754', '588', '793', '286', '553', '111', '174']
['645', '764', '241', '653', '169', '766', '492', '597', '240', '356']
['779', '276', '245', '453', '623', '18', '101', '305', '236', '661']
['207', '360', '451', '575', '483', '467', '79', '164', '168', '312']
['322', '199', '194', '511', '433', '399', '560', '521', '495', '363']
['130', '569', '220', '710', '135', '380', '676', '5', '741', '568']
['216', '723', '545', '456', '178', '182', '446', '535', '347', '600']
['692', '735', '504', '602', '726', '431', '601', '349', '321', '3']
['756', '409', '99', '158', '510', '440', '636', '659', '215', '75']
['197', '176', '35', '740', '288', '186', '577', '499', '41', '238']
['92', '797', '376', '229', '757', '765', '678', '590', '232', '327']
['23', '67', '379', '486', '375', '244', '330', '474', '707', '30']
['127', '523', '6', '183', '248', '649', '319', '716', '300', '672']
['780', '336', '26', '132', '775', '714', '37', '747', '255', '230']
['171', '323', '420', '644', '771', '472', '337', '290', '734', '429']
['637', '211', '91', '627', '212', '239', '56', '362', '195', '611']
['335', '58', '701', '643', '364', '518', '738', '270', '181', '493']
['570', '736', '760', '619', '415', '353', '315', '69', '10', '65']
['223', '180', '686', '514', '12', '268', '374', '436', '291', '68']
['789', '247', '214', '455', '217', '476', '519', '170', '87', '43']
['783', '153', '768', '605', '696', '475', '498', '700', '278', '612']
['141', '224', '565', '266', '346', '109', '479', '53', '136', '424']
['572', '782', '147', '42', '706', '587', '652', '318', '253', '639']
['496', '762', '667', '205', '635', '160', '711', '355', '580', '529']
['117', '687', '200', '1', '294', '280', '655', '333', '524', '107']
['258', '562', '717', '404', '11', '112', '610', '441', '47', '285']
['620', '444', '394', '430', '416', '670', '763', '397', '508', '272']
['513', '345', '325', '555', '713', '520', '95', '391', '423', '563']
['792', '73', '139', '373', '750', '503', '190', '310', '795', '450']
['426', '798', '108', '210', '154', '54', '287', '209', '283', '488']
['138', '583', '14', '256', '261', '630', '341', '582', '388', '788']
['422', '748', '464', '532', '57', '621', '576', '361', '592', '729']
['124', '632', '626', '406', '264', '721', '74', '348', '704', '528']
['59', '142', '615', '9', '718', '633', '703', '745', '452', '628']
['722', '796', '469', '166', '501', '151', '559', '98', '66', '445']
['497', '571', '219', '561', '78', '478', '187', '787', '123', '179']
['693', '461', '50', '185', '777', '359', '715', '86', '538', '326']
['567', '709', '640', '17', '118', '680', '358', '473', '791', '55']
['354', '613', '146', '93', '193', '114', '144', '161', '235', '778']
['293', '449', '60', '84', '752', '201', '438', '80', '733', '277']
['227', '64', '143', '296', '437', '378', '350', '502', '781', '119']
['712', '650', '516', '63', '774', '525', '494', '418', '252', '165']
['477', '694', '489', '357', '22', '530', '442', '314', '578', '263']
