['798', '100', '36']
['938', '325', '752']
['302', '30', '220']
['623', '273', '493']
['792', '321', '549']
['472', '654', '159']
['708', '783', '240']
['201', '69', '85']
['225', '685', '796']
['384', '942', '912']
['176', '268', '827']
['969', '613', '254']
['943', '804', '169']
['944', '787', '68']
['644', '640', '568']
['205', '534', '288']
['379', '195', '309']
['993', '291', '256']
['839', '120', '849']
['463', '239', '928']
['458', '830', '676']
['518', '324', '408']
['248', '168', '745']
['231', '988', '445']
['700', '998', '588']
['746', '831', '516']
['369', '175', '682']
['238', '173', '192']
['860', '415', '243']
['530', '251', '511']
['294', '484', '157']
['675', '665', '397']
['680', '241', '271']
['810', '186', '554']
['642', '172', '876']
['442', '438', '14']
['465', '494', '179']
['207', '650', '543']
['940', '365', '59']
['450', '850', '757']
['33', '19', '990']
['693', '337', '997']
['576', '648', '258']
['150', '118', '838']
['349', '556', '566']
['23', '888', '767']
['117', '223', '502']
['855', '138', '163']
['257', '308', '886']
['128', '606', '71']
['848', '821', '581']
['528', '927', '601']
['835', '833', '922']
['83', '548', '297']
['647', '214', '577']
['453', '557', '802']
['880', '919', '574']
['289', '455', '544']
['260', '413', '143']
['598', '81', '281']
['246', '747', '353']
['187', '276', '34']
['561', '667', '509']
['600', '870', '340']
['913', '759', '213']
['79', '404', '538']
['343', '372', '584']
['75', '501', '760']
['512', '227', '962']
['616', '130', '245']
['585', '218', '270']
['389', '864', '432']
['80', '236', '689']
['823', '22', '99']
['925', '890', '440']
['124', '468', '946']
['645', '57', '233']
['394', '868', '347']
['671', '403', '891']
['361', '44', '229']
['904', '984', '582']
['563', '4', '330']
['899', '525', '805']
['341', '391', '131']
['151', '346', '694']
['133', '738', '885']
['395', '499', '355']
['898', '144', '749']
['338', '869', '217']
['255', '399', '427']
['929', '621', '643']
['452', '964', '770']
['761', '129', '587']
['166', '837', '5']
['141', '9', '72']
['624', '313', '782']
['149', '934', '960']
['741', '311', '819']
['728', '322', '562']
['196', '134', '193']
['174', '795', '110']
['705', '426', '758']
['808', '991', '690']
['123', '142', '529']
['125', '190', '32']
['127', '194', '930']
['285', '914', '416']
['272', '779', '298']
['112', '378', '750']
['471', '344', '279']
['896', '436', '704']
['732', '348', '424']
['65', '560', '975']
['966', '316', '679']
['400', '208', '230']
['573', '58', '894']
['428', '407', '813']
['847', '727', '18']
['901', '820', '162']
['280', '419', '818']
['352', '559', '945']
['13', '420', '266']
['111', '871', '373']
['204', '951', '250']
['93', '267', '164']
['663', '976', '269']
['451', '906', '877']
['571', '448', '815']
['604', '422', '660']
['504', '367', '879']
['513', '954', '651']
['295', '883', '986']
['76', '716', '814']
['916', '398', '332']
['113', '981', '965']
['800', '608', '649']
['614', '106', '753']
['116', '769', '299']
['764', '722', '635']
['35', '412', '51']
['210', '533', '696']
['122', '16', '806']
['319', '74', '907']
['532', '773', '775']
['354', '237', '967']
['282', '457', '589']
['917', '619', '961']
['766', '423', '459']
['555', '315', '594']
['836', '126', '625']
['199', '46', '221']
['726', '89', '952']
['678', '905', '508']
['296', '345', '197']
['333', '656', '284']
['96', '160', '771']
['449', '652', '822']
['895', '370', '185']
['956', '715', '228']
['638', '707', '674']
['781', '817', '709']
['634', '39', '434']
['659', '718', '102']
['622', '510', '181']
['874', '447', '683']
['631', '467', '61']
['595', '371', '212']
['586', '318', '653']
['887', '70', '10']
['29', '25', '364']
['627', '558', '421']
['43', '840', '191']
['790', '744', '774']
['932', '639', '115']
['547', '751', '474']
['418', '924', '446']
['865', '506', '183']
['470', '103', '583']
['64', '719', '743']
['86', '786', '816']
['429', '303', '958']
['165', '261', '641']
['94', '489', '858']
['466', '892', '42']
['948', '970', '155']
['517', '632', '872']
['409', '339', '98']
['564', '963', '778']
['861', '476', '755']
['536', '435', '522']
['490', '875', '697']
['8', '170', '797']
['146', '49', '161']
['388', '658', '723']
['45', '38', '3']
['135', '867', '188']
['703', '327', '550']
['77', '312', '154']
['460', '711', '385']
['590', '259', '920']
['278', '615', '669']
['17', '889', '733']
['629', '145', '411']
['274', '949', '978']
['662', '377', '980']
['710', '156', '7']
['277', '357', '203']
['483', '6', '832']
['982', '37', '691']
['799', '780', '684']
['63', '495', '107']
['565', '603', '184']
['226', '262', '375']
['119', '200', '350']
['936', '263', '911']
['140', '772', '374']
['841', '101', '487']
['359', '729', '402']
['53', '947', '78']
['655', '264', '475']
['609', '50', '552']
['167', '762', '136']
['730', '351', '12']
['242', '569', '95']
['24', '108', '974']
['84', '633', '443']
['492', '717', '748']
['701', '878', '507']
['688', '114', '803']
['301', '177', '215']
['602', '26', '535']
['784', '105', '618']
['342', '67', '82']
['931', '152', '28']
['637', '977', '73']
['356', '844', '153']
['380', '62', '687']
['461', '392', '283']
['664', '971', '417']
['677', '383', '845']
['56', '396', '957']
['842', '908', '406']
['198', '720', '21']
['620', '596', '314']
['521', '731', '599']
['148', '953', '854']
['498', '286', '481']
['910', '425', '578']
['592', '92', '754']
['469', '918', '503']
['290', '794', '950']
['575', '926', '935']
['232', '873', '809']
['900', '234', '247']
['252', '702', '132']
['724', '20', '546']
['992', '756', '807']
['473', '310', '88']
['363', '607', '989']
['853', '736', '856']
['382', '686', '567']
['431', '287', '206']
['763', '579', '433']
['973', '52', '202']
['362', '265', '366']
['87', '410', '209']
['48', '824', '90']
['937', '323', '597']
['317', '553', '244']
['414', '1', '306']
['27', '857', '326']
['788', '739', '987']
['983', '692', '180']
['541', '923', '405']
['527', '617', '915']
['0', '851', '612']
['765', '551', '97']
['41', '249', '572']
['570', '235', '591']
['828', '478', '292']
['846', '777', '189']
['137', '897', '995']
['444', '630', '611']
['464', '523', '11']
['862', '334', '580']
['520', '171', '477']
['401', '540', '610']
['158', '360', '331']
['485', '793', '903']
['881', '456', '486']
['725', '2', '40']
['811', '496', '661']
['47', '104', '539']
