['681', '599', '216', '695', '79', '537', '283']
['262', '444', '173', '578', '665', '333', '493']
['385', '146', '275', '485', '680', '232', '179']
['613', '404', '154', '649', '243', '113', '549']
['544', '34', '523', '682', '655', '272', '563']
['620', '266', '217', '516', '635', '361', '349']
['274', '91', '507', '324', '201', '347', '583']
['309', '334', '344', '128', '46', '566', '71']
['591', '6', '648', '364', '253', '499', '638']
['643', '425', '178', '551', '644', '337', '24']
['163', '353', '21', '74', '61', '85', '412']
['369', '689', '420', '424', '87', '55', '392']
['81', '697', '402', '588', '675', '66', '366']
['451', '483', '603', '577', '592', '393', '110']
['117', '427', '357', '94', '98', '88', '363']
['226', '687', '139', '186', '230', '291', '641']
['627', '205', '108', '106', '321', '611', '278']
['467', '35', '29', '533', '53', '666', '698']
['320', '557', '306', '150', '596', '8', '608']
['570', '191', '346', '149', '561', '417', '486']
['295', '426', '691', '633', '161', '203', '356']
['134', '457', '212', '248', '116', '429', '389']
['62', '17', '126', '396', '148', '15', '284']
['142', '143', '311', '466', '474', '359', '423']
['298', '589', '340', '11', '668', '210', '313']
['692', '20', '595', '82', '159', '286', '597']
['453', '63', '56', '560', '448', '524', '487']
['331', '308', '233', '530', '19', '398', '75']
['254', '77', '610', '314', '47', '10', '552']
['631', '614', '428', '555', '97', '454', '123']
['58', '409', '513', '419', '279', '458', '371']
['225', '156', '618', '119', '372', '7', '639']
['645', '16', '164', '550', '41', '410', '249']
['33', '39', '322', '484', '342', '209', '630']
['418', '406', '239', '287', '559', '122', '192']
['202', '477', '534', '25', '257', '270', '445']
['328', '72', '155', '574', '495', '4', '581']
['152', '567', '476', '315', '401', '497', '450']
['384', '229', '12', '147', '319', '654', '172']
['554', '199', '509', '200', '302', '294', '318']
['413', '478', '381', '407', '548', '365', '672']
['44', '609', '2', '442', '579', '297', '604']
['594', '84', '339', '625', '431', '501', '527']
['121', '565', '377', '490', '564', '515', '238']
['292', '293', '138', '28', '352', '411', '629']
['167', '373', '323', '676', '332', '440', '327']
['127', '461', '158', '18', '437', '129', '526']
['545', '408', '185', '193', '189', '341', '317']
['637', '131', '679', '447', '656', '166', '612']
['92', '335', '26', '48', '593', '472', '255']
['547', '663', '532', '394', '503', '690', '170']
['247', '382', '678', '355', '504', '699', '480']
['336', '456', '605', '125', '133', '671', '586']
['531', '685', '263', '573', '181', '30', '43']
['650', '177', '206', '470', '140', '370', '165']
['196', '316', '264', '244', '580', '462', '662']
['223', '245', '135', '329', '653', '112', '215']
['646', '512', '546', '543', '242', '271', '338']
['540', '267', '237', '374', '68', '288', '414']
['669', '642', '114', '674', '568', '506', '240']
['197', '376', '219', '296', '57', '421', '661']
['386', '432', '38', '379', '343', '590', '473']
['31', '27', '103', '519', '651', '144', '312']
['569', '259', '76', '228', '602', '250', '378']
['434', '23', '22', '330', '162', '234', '607']
['301', '439', '622', '435', '67', '446', '502']
['157', '430', '558', '441', '368', '304', '107']
['13', '183', '218', '508', '601', '300', '636']
['443', '538', '132', '32', '37', '348', '617']
['585', '171', '489', '492', '290', '542', '282']
['211', '145', '518', '459', '362', '195', '305']
['390', '619', '415', '471', '69', '65', '236']
['615', '9', '180', '514', '268', '436', '260']
['221', '449', '188', '303', '89', '261', '500']
['455', '696', '498', '475', '104', '80', '214']
['222', '224', '281', '479', '375', '584', '40']
['664', '109', '136', '587', '251', '395', '673']
['684', '572', '213', '42', '652', '246', '403']
['496', '360', '96', '529', '667', '160', '115']
['207', '562', '105', '36', '1', '541', '280']
['258', '64', '670', '634', '351', '285', '659']
['325', '345', '416', '688', '647', '463', '624']
['391', '137', '510', '520', '95', '310', '553']
['73', '556', '49', '491', '383', '198', '397']
['632', '256', '433', '481', '387', '582', '488']
['100', '176', '505', '168', '54', '517', '482']
['400', '70', '83', '460', '14', '576', '289']
['640', '307', '52', '468', '111', '616', '660']
['422', '464', '626', '686', '0', '388', '174']
['220', '598', '658', '169', '124', '90', '528']
['130', '59', '452', '151', '273', '628', '522']
['141', '694', '265', '683', '469', '78', '51']
['269', '571', '693', '50', '190', '45', '326']
['204', '120', '184', '621', '677', '358', '277']
['99', '623', '93', '101', '511', '187', '405']
['354', '575', '367', '399', '438', '535', '235']
['465', '227', '60', '194', '350', '86', '299']
['657', '153', '182', '5', '525', '521', '175']
['102', '231', '606', '536', '494', '3', '600']
['276', '208', '241', '539', '380', '118', '252']
