['496', '217', '924', '911', '432']
['396', '47', '249', '326', '537']
['779', '100', '180', '120', '297']
['384', '995', '171', '763', '732']
['601', '808', '439', '413', '465']
['692', '98', '794', '220', '703']
['187', '145', '565', '444', '319']
['235', '754', '593', '928', '659']
['853', '193', '881', '517', '11']
['878', '454', '32', '78', '573']
['611', '819', '728', '186', '947']
['883', '223', '739', '961', '51']
['785', '849', '651', '431', '702']
['876', '528', '503', '956', '654']
['269', '861', '176', '530', '3']
['904', '102', '959', '2', '398']
['792', '597', '141', '856', '482']
['657', '722', '255', '765', '287']
['354', '693', '862', '954', '907']
['350', '531', '271', '986', '311']
['55', '20', '897', '771', '815']
['931', '671', '335', '678', '280']
['677', '971', '906', '720', '306']
['381', '178', '4', '757', '397']
['852', '865', '689', '858', '14']
['45', '203', '165', '844', '341']
['370', '963', '934', '673', '142']
['983', '447', '752', '138', '619']
['894', '596', '54', '214', '22']
['939', '161', '346', '302', '139']
['441', '851', '502', '421', '796']
['267', '715', '824', '836', '407']
['475', '682', '833', '321', '981']
['588', '854', '41', '112', '227']
['721', '8', '756', '12', '974']
['847', '155', '238', '711', '653']
['330', '244', '233', '378', '480']
['970', '514', '373', '473', '377']
['879', '85', '903', '978', '199']
['487', '613', '289', '670', '908']
['577', '784', '571', '551', '809']
['810', '83', '937', '246', '790']
['944', '985', '912', '356', '935']
['672', '274', '948', '29', '79']
['942', '676', '548', '479', '620']
['458', '617', '179', '158', '840']
['642', '857', '896', '37', '450']
['909', '64', '635', '625', '260']
['623', '245', '964', '993', '408']
['589', '361', '114', '349', '48']
['705', '848', '442', '156', '211']
['892', '606', '310', '364', '489']
['910', '343', '344', '641', '250']
['74', '562', '534', '376', '905']
['219', '751', '533', '646', '86']
['66', '636', '499', '159', '181']
['338', '115', '697', '946', '648']
['814', '997', '284', '631', '457']
['18', '776', '409', '535', '891']
['262', '578', '569', '300', '363']
['638', '782', '82', '859', '880']
['329', '468', '494', '536', '137']
['281', '481', '826', '718', '902']
['698', '290', '521', '151', '555']
['242', '793', '734', '340', '368']
['795', '216', '898', '587', '128']
['208', '422', '992', '379', '445']
['427', '899', '25', '559', '873']
['987', '761', '661', '348', '486']
['800', '973', '564', '16', '210']
['334', '375', '365', '50', '19']
['744', '916', '59', '982', '35']
['75', '972', '430', '196', '390']
['470', '33', '866', '933', '438']
['355', '772', '755', '658', '292']
['632', '775', '315', '901', '215']
['730', '103', '15', '639', '538']
['556', '65', '495', '357', '943']
['113', '510', '662', '949', '6']
['704', '118', '147', '913', '474']
['887', '860', '630', '194', '273']
['660', '124', '380', '957', '221']
['650', '358', '741', '545', '767']
['914', '105', '283', '500', '96']
['554', '309', '69', '189', '314']
['224', '716', '679', '614', '332']
['136', '694', '387', '966', '655']
['359', '812', '726', '135', '758']
['770', '463', '225', '713', '618']
['788', '735', '664', '232', '586']
['175', '484', '540', '328', '684']
['640', '148', '188', '425', '542']
