['732', '23', '156', '69', '108', '249', '376', '725', '670', '147', '135', '551', '533', '598', '189', '233', '175', '44', '245', '223', '71', '246', '101', '283', '578', '62', '113', '327', '566', '136', '483', '563', '264', '552', '723', '742', '183', '381', '473', '352', '308', '335', '218', '484', '699', '200', '482', '70', '315', '627']
['585', '373', '702', '455', '569', '121', '51', '503', '290', '302', '597', '313', '513', '410', '383', '120', '133', '439', '169', '366', '587', '339', '385', '712', '622', '610', '128', '724', '162', '181', '728', '634', '747', '123', '232', '92', '504', '259', '528', '673', '543', '177', '568', '693', '399', '84', '180', '7', '25', '606']
['393', '697', '268', '474', '210', '668', '609', '481', '607', '386', '406', '63', '623', '447', '59', '448', '710', '66', '46', '347', '260', '45', '257', '505', '328', '234', '235', '556', '11', '9', '38', '737', '86', '353', '269', '237', '463', '494', '412', '178', '434', '492', '230', '593', '395', '564', '700', '134', '605', '17']
['408', '462', '211', '549', '465', '674', '262', '125', '413', '689', '292', '518', '15', '389', '19', '16', '187', '297', '541', '37', '34', '624', '671', '614', '643', '94', '332', '445', '173', '675', '244', '649', '143', '684', '41', '678', '138', '27', '130', '151', '672', '58', '47', '632', '422', '303', '658', '285', '190', '364']
['68', '50', '314', '384', '368', '61', '663', '435', '577', '525', '691', '157', '137', '417', '214', '676', '665', '54', '289', '243', '730', '87', '711', '291', '501', '43', '615', '617', '89', '139', '77', '204', '611', '572', '344', '454', '299', '489', '336', '396', '636', '93', '416', '105', '731', '380', '480', '215', '738', '166']
['419', '707', '540', '655', '645', '573', '36', '282', '103', '571', '270', '490', '20', '706', '367', '356', '574', '12', '531', '469', '301', '82', '361', '432', '286', '565', '217', '323', '142', '650', '657', '461', '428', '22', '261', '295', '716', '438', '255', '132', '263', '524', '688', '635', '32', '715', '537', '729', '616', '654']
['735', '519', '141', '690', '0', '444', '350', '195', '253', '158', '475', '305', '309', '443', '4', '493', '398', '581', '703', '394', '53', '559', '90', '509', '288', '687', '580', '733', '713', '589', '371', '411', '470', '648', '612', '701', '736', '709', '695', '172', '75', '440', '306', '201', '21', '602', '65', '450', '316', '325']
['720', '491', '67', '358', '426', '488', '631', '603', '293', '91', '558', '287', '362', '717', '167', '184', '508', '414', '331', '529', '337', '163', '273', '744', '506', '646', '601', '429', '144', '375', '311', '471', '487', '1', '640', '98', '298', '97', '153', '185', '576', '111', '342', '348', '96', '236', '258', '594', '247', '56']
['318', '192', '345', '604', '256', '272', '387', '251', '507', '78', '418', '372', '719', '476', '431', '202', '112', '224', '363', '472', '252', '583', '124', '694', '425', '127', '109', '677', '477', '277', '451', '14', '312', '527', '321', '499', '656', '502', '55', '81', '401', '8', '718', '653', '409', '437', '679', '359', '460', '548']
['421', '317', '152', '436', '666', '652', '242', '326', '284', '33', '452', '171', '116', '497', '300', '85', '206', '427', '248', '24', '510', '79', '620', '196', '360', '562', '382', '535', '280', '114', '557', '221', '498', '203', '641', '42', '424', '667', '446', '170', '495', '433', '155', '633', '415', '239', '145', '546', '692', '254']
['456', '5', '168', '150', '220', '538', '516', '468', '619', '708', '194', '608', '207', '355', '73', '530', '596', '542', '515', '457', '534', '60', '99', '165', '341', '726', '222', '539', '660', '40', '265', '219', '582', '351', '550', '547', '369', '545', '734', '628', '683', '517', '464', '225', '595', '403', '39', '340', '275', '274']
['193', '659', '346', '238', '584', '122', '651', '186', '642', '453', '209', '354', '319', '107', '197', '390', '621', '338', '330', '29', '685', '749', '279', '104', '567', '30', '521', '442', '500', '704', '459', '110', '532', '479', '102', '721', '161', '131', '118', '405', '625', '727', '579', '696', '661', '18', '13', '179', '80', '160']
['140', '544', '329', '397', '705', '599', '148', '430', '115', '586', '745', '10', '458', '267', '213', '526', '388', '441', '588', '271', '379', '748', '357', '522', '227', '188', '669', '514', '370', '378', '420', '241', '555', '681', '365', '486', '164', '402', '664', '228', '307', '333', '276', '31', '74', '322', '231', '26', '680', '740']
['126', '278', '647', '478', '72', '199', '146', '57', '205', '216', '637', '404', '159', '310', '129', '88', '467', '250', '630', '28', '512', '698', '746', '35', '208', '83', '212', '191', '591', '741', '304', '520', '174', '644', '182', '407', '149', '511', '294', '154', '117', '662', '523', '626', '554', '485', '320', '324', '592', '119']
['6', '570', '48', '226', '575', '198', '629', '638', '739', '722', '590', '240', '553', '76', '176', '613', '391', '281', '600', '449', '392', '377', '496', '560', '639', '266', '561', '3', '343', '100', '686', '682', '52', '229', '95', '2', '64', '374', '49', '743', '296', '536', '423', '400', '466', '618', '334', '349', '714', '106']
