['331', '274', '308', '283', '235']
['141', '466', '334', '104', '411']
['266', '36', '324', '405', '445']
['146', '257', '51', '458', '218']
['96', '42', '14', '310', '203']
['265', '180', '313', '371', '305']
['127', '28', '485', '286', '90']
['298', '116', '361', '19', '252']
['134', '281', '469', '8', '395']
['465', '428', '452', '436', '249']
['430', '442', '94', '124', '414']
['426', '476', '471', '15', '54']
['390', '188', '377', '118', '114']
['496', '31', '103', '397', '326']
['427', '248', '355', '270', '107']
['117', '163', '287', '232', '174']
['292', '121', '217', '99', '10']
['158', '210', '159', '399', '391']
['227', '155', '2', '101', '280']
['413', '72', '150', '387', '448']
['73', '357', '133', '140', '40']
['181', '219', '89', '472', '71']
['81', '213', '26', '85', '75']
['489', '491', '329', '214', '30']
['131', '157', '39', '486', '66']
['204', '409', '461', '344', '80']
['293', '20', '457', '401', '356']
['100', '93', '288', '337', '488']
['216', '142', '330', '372', '263']
['109', '147', '237', '268', '187']
['33', '233', '16', '454', '255']
['306', '459', '198', '87', '285']
['354', '192', '432', '343', '393']
['328', '186', '195', '272', '277']
['464', '404', '379', '148', '421']
['138', '420', '242', '440', '240']
['373', '456', '201', '410', '110']
['17', '132', '97', '243', '43']
['50', '279', '402', '32', '53']
['173', '0', '209', '492', '418']
['126', '364', '168', '475', '473']
['455', '1', '417', '112', '424']
['224', '453', '166', '162', '284']
['431', '144', '253', '321', '429']
['422', '370', '136', '95', '236']
['179', '396', '175', '4', '389']
['335', '102', '451', '125', '499']
['11', '60', '164', '37', '332']
['143', '325', '267', '193', '128']
['295', '323', '383', '381', '230']
['309', '384', '419', '77', '322']
['59', '153', '314', '289', '350']
['320', '25', '407', '206', '365']
['460', '342', '169', '349', '122']
['484', '189', '86', '495', '291']
['416', '294', '160', '470', '482']
['167', '449', '441', '61', '317']
['483', '251', '358', '423', '165']
['316', '91', '229', '394', '302']
['376', '269', '339', '41', '65']
['276', '254', '244', '348', '88']
['177', '58', '185', '273', '327']
['27', '44', '315', '303', '46']
['226', '336', '245', '57', '468']
['311', '225', '29', '297', '366']
['149', '408', '398', '352', '151']
['191', '176', '83', '425', '351']
['152', '199', '21', '82', '215']
['197', '35', '38', '7', '238']
['92', '62', '13', '63', '487']
['412', '67', '382', '438', '368']
['220', '481', '172', '359', '388']
['202', '139', '34', '367', '386']
['259', '369', '474', '282', '392']
['23', '250', '190', '319', '234']
['439', '340', '6', '12', '300']
['443', '434', '447', '490', '290']
['211', '171', '415', '239', '362']
['360', '145', '212', '338', '493']
['353', '69', '129', '260', '299']
['223', '156', '106', '374', '68']
['207', '221', '247', '498', '170']
['222', '184', '479', '304', '278']
['64', '346', '375', '318', '403']
['385', '205', '200', '24', '333']
['196', '258', '105', '22', '47']
['444', '345', '48', '3', '450']
['301', '262', '49', '18', '494']
['477', '108', '256', '154', '261']
['400', '79', '113', '341', '312']
['307', '70', '271', '480', '363']
['52', '406', '462', '111', '246']
['264', '467', '194', '74', '56']
['130', '9', '183', '98', '123']
['78', '478', '275', '347', '55']
['120', '178', '446', '45', '497']
['228', '435', '135', '137', '161']
['241', '84', '433', '378', '119']
['76', '296', '5', '437', '115']
['208', '231', '182', '463', '380']
