['A0', 'B0', 'D0']
['C0', 'C1', 'A1']
['E0', 'F0', 'G0']
['H0', 'B1', 'D1']
['E1', 'F1', 'G1']
['H1', 'H2', 'E2']
['A2', 'B2', 'D2']
['C2', 'C3', 'A3']
['F2', 'G2', 'B3']
['D3', 'E3', 'F3']
['G3', 'H3', 'H4']
['A4', 'B4', 'D4']
['C4', 'C5', 'A5']
['E4', 'F4', 'G4']
['B5', 'D5', 'E5']
['F5', 'G5', 'H5']
['A6', 'B6', 'D6']
['C6', 'C7', 'A7']
['E6', 'F6', 'G6']
['H6', 'B7', 'D7']
['E7', 'F7', 'G7']
['H7', 'H8', 'E8']
['A8', 'B8', 'D8']
['C8', 'C9', 'A9']
['F8', 'G8', 'B9']
['D9', 'E9', 'F9']
['G9', 'H9', 'H10']
['A10', 'B10', 'D10']
['C10', 'C11', 'A11']
['E10', 'F10', 'G10']
['B11', 'D11', 'E11']
['F11', 'G11', 'H11']
['A12', 'B12', 'D12']
['C12', 'C13', 'A13']
['E12', 'F12', 'G12']
['H12', 'B13', 'D13']
['E13', 'F13', 'G13']
['H13', 'H14', 'E14']
['A14', 'B14', 'D14']
['C14', 'C15', 'A15']
['F14', 'G14', 'B15']
['D15', 'E15', 'F15']
['G15', 'H15', 'H16']
['A16', 'B16', 'D16']
['C16', 'C17', 'A17']
['E16', 'F16', 'G16']
['B17', 'D17', 'E17']
['F17', 'G17', 'H17']
['A18', 'B18', 'D18']
['C18', 'C19', 'A19']
['E18', 'F18', 'G18']
['H18', 'B19', 'D19']
['E19', 'F19', 'G19']
['H19', 'H20', 'E20']
['A20', 'B20', 'D20']
['C20', 'C21', 'A21']
['F20', 'G20', 'B21']
['D21', 'E21', 'F21']
['G21', 'H21', 'H22']
['A22', 'B22', 'D22']
['C22', 'C23', 'A23']
['E22', 'F22', 'G22']
['B23', 'D23', 'E23']
['F23', 'G23', 'H23']
['A24', 'B24', 'D24']
['C24', 'C25', 'A25']
['E24', 'F24', 'G24']
['H24', 'B25', 'D25']
['E25', 'F25', 'G25']
['H25', 'H26', 'E26']
['A26', 'B26', 'D26']
['C26', 'C27', 'A27']
['F26', 'G26', 'B27']
['D27', 'E27', 'F27']
['G27', 'H27', 'H28']
['A28', 'B28', 'D28']
['C28', 'C29', 'A29']
['E28', 'F28', 'G28']
['B29', 'D29', 'E29']
['F29', 'G29', 'H29']
['A30', 'B30', 'D30']
['C30', 'C31', 'A31']
['E30', 'F30', 'G30']
['H30', 'B31', 'D31']
['E31', 'F31', 'G31']
['H31', 'H32', 'E32']
['A32', 'B32', 'D32']
['C32', 'C33', 'A33']
['F32', 'G32', 'B33']
['D33', 'E33', 'F33']
['G33', 'H33', 'H34']
['A34', 'B34', 'D34']
['C34', 'C35', 'A35']
['E34', 'F34', 'G34']
['B35', 'D35', 'E35']
['F35', 'G35', 'H35']
['A36', 'B36', 'D36']
['C36', 'C37', 'A37']
['E36', 'F36', 'G36']
['H36', 'B37', 'D37']
['E37', 'F37', 'G37']
['H37', 'H38', 'E38']
['A38', 'B38', 'D38']
['C38', 'C39', 'A39']
['F38', 'G38', 'B39']
['D39', 'E39', 'F39']
['G39', 'H39', 'H40']
['A40', 'B40', 'D40']
['C40', 'C41', 'A41']
['E40', 'F40', 'G40']
['B41', 'D41', 'E41']
['F41', 'G41', 'H41']
['A42', 'B42', 'D42']
['C42', 'C43', 'A43']
['E42', 'F42', 'G42']
['H42', 'B43', 'D43']
['E43', 'F43', 'G43']
['H43', 'H44', 'E44']
['A44', 'B44', 'D44']
['C44', 'C45', 'A45']
['F44', 'G44', 'B45']
['D45', 'E45', 'F45']
['G45', 'H45', 'H46']
['A46', 'B46', 'D46']
['C46', 'C47', 'A47']
['E46', 'F46', 'G46']
['B47', 'D47', 'E47']
['F47', 'G47', 'H47']
['A48', 'B48', 'D48']
['C48', 'C49', 'A49']
['E48', 'F48', 'G48']
['H48', 'B49', 'D49']
['E49', 'F49', 'G49']
['H49', 'H50', 'E50']
['A50', 'B50', 'D50']
['C50', 'C51', 'A51']
['F50', 'G50', 'B51']
['D51', 'E51', 'F51']
['G51', 'H51', 'H52']
['A52', 'B52', 'D52']
['C52', 'C53', 'A53']
['E52', 'F52', 'G52']
['B53', 'D53', 'E53']
['F53', 'G53', 'H53']
['A54', 'B54', 'D54']
['C54', 'E54', 'F54']
['G54', 'H54', '0']
['1', '30', '2']
['3', '31', '4']
['5', '32', '6']
['7', '33', '8']
['9', '34', '10']
['11', '35', '12']
['13', '36', '14']
['15', '37', '16']
['17', '38', '18']
['19', '39', '20']
['21', '40', '22']
['23', '41', '24']
['25', '42', '26']
['27', '43', '28']
['29', '44', '45']
['46', '47', '48']
['49', '50', '51']
['52', '53', '54']
['55', '56', '57']
['58', '59']
