['0', '1', '2', '8', '23', '24', '51', '224', '379', '184', '49']
['3', '5', '14', '18', '30', '110', '317', '404', '145', '149', '388']
['4', '6', '7', '11', '38', '40', '81', '91', '254', '336', '428']
['9', '12', '21', '59', '61', '124', '221', '32', '78', '118', '490']
['10', '13', '20', '28', '90', '142', '316', '79', '119', '266', '94']
['15', '16', '25', '27', '29', '60', '245', '256', '386', '301', '489']
['17', '19', '22', '26', '42', '43', '75', '331', '44', '155', '240']
['31', '34', '53', '72', '121', '154', '247', '80', '122', '174', '286']
['33', '35', '37', '39', '54', '57', '163', '310', '66', '146', '198']
['36', '41', '47', '62', '69', '77', '159', '237', '296', '50', '84']
['45', '46', '48', '93', '95', '102', '251', '354', '395', '172', '265']
['52', '55', '56', '67', '98', '114', '188', '226', '113', '239', '439']
['58', '63', '76', '106', '116', '133', '346', '100', '107', '272', '376']
['64', '65', '70', '82', '101', '109', '160', '409', '132', '228', '447']
['68', '71', '86', '87', '92', '104', '161', '186', '335', '129', '141']
['73', '83', '103', '144', '150', '162', '165', '218', '356', '364', '287']
['74', '88', '96', '105', '127', '195', '263', '339', '418', '246', '130']
['85', '89', '108', '126', '173', '307', '479', '483', '137', '253', '319']
['97', '111', '136', '139', '153', '181', '248', '192', '210', '442', '454']
['99', '112', '115', '157', '207', '212', '214', '120', '140', '193', '225']
['117', '123', '128', '148', '204', '297', '303', '350', '211', '252', '158']
['125', '131', '147', '167', '177', '261', '375', '236', '422', '185', '202']
['134', '135', '152', '200', '264', '267', '330', '348', '302', '371', '492']
['138', '151', '169', '171', '179', '206', '343', '412', '419', '191', '305']
['143', '156', '164', '166', '199', '349', '361', '369', '485', '380', '498']
['168', '170', '180', '219', '258', '282', '205', '227', '318', '398', '312']
['175', '183', '187', '189', '276', '293', '358', '381', '399', '344', '220']
['176', '182', '201', '217', '231', '314', '478', '468', '213', '269', '275']
['178', '190', '196', '232', '271', '290', '359', '242', '277', '278', '273']
['194', '208', '209', '243', '262', '291', '400', '233', '292', '410', '326']
['197', '203', '230', '313', '332', '401', '495', '250', '288', '475', '342']
['215', '222', '249', '280', '306', '362', '385', '451', '304', '368', '414']
['216', '235', '238', '241', '270', '295', '322', '223', '298', '309', '260']
['229', '244', '268', '284', '311', '391', '424', '406', '415', '259', '285']
['234', '255', '281', '308', '365', '407', '413', '494', '351', '476', '315']
['257', '274', '294', '300', '417', '465', '471', '474', '425', '321', '360']
['279', '283', '299', '320', '352', '384', '458', '452', '466', '467', '443']
['289', '323', '327', '383', '397', '420', '392', '433', '436', '486', '431']
['324', '325', '333', '353', '416', '430', '453', '441', '448', '363', '366']
['328', '329', '338', '347', '405', '370', '403', '373', '374', '470', '355']
['334', '341', '382', '402', '435', '340', '387', '411', '459', '432', '450']
['337', '345', '372', '377', '393', '462', '390', '477', '493', '408', '444']
['357', '367', '389', '426', '437', '445', '455', '469', '378', '421', '472']
['394', '427', '429', '449', '480', '438', '423', '491', '457', '488', '496']
['396', '440', '464', '487', '481', '482', '460', '497', '456', '473', '484']
['434']
['446']
['461']
['463']
['499']
