['476', '281', '324', '44', '442', '338', '67', '53', '81', '465', '83', '164', '346', '417', '175', '285', '446', '295', '86', '250', '146', '106', '340', '87', '211', '70', '323', '105', '355', '206', '25', '233']
['469', '119', '93', '193', '263', '7', '20', '303', '28', '301', '242', '266', '22', '139', '155', '439', '149', '199', '98', '361', '108', '329', '257', '243', '125', '392', '376', '170', '244', '238', '2', '95']
['97', '360', '273', '283', '184', '204', '415', '316', '379', '479', '461', '395', '224', '78', '259', '82', '57', '134', '254', '400', '384', '275', '223', '1', '220', '209', '430', '278', '402', '117', '101', '23']
['77', '467', '0', '290', '203', '282', '444', '171', '116', '319', '252', '140', '468', '94', '141', '300', '33', '251', '69', '315', '447', '297', '207', '342', '449', '271', '71', '462', '258', '466', '145', '401']
['348', '354', '357', '45', '288', '333', '176', '59', '458', '52', '432', '5', '347', '229', '269', '473', '356', '454', '274', '352', '189', '168', '14', '412', '3', '393', '307', '371', '380', '225', '302', '89']
['104', '419', '230', '195', '56', '404', '138', '440', '216', '327', '156', '130', '470', '9', '286', '385', '287', '61', '247', '350', '85', '111', '418', '304', '58', '210', '427', '76', '142', '48', '131', '292']
['35', '374', '255', '62', '386', '173', '413', '218', '309', '405', '182', '265', '112', '298', '91', '240', '337', '353', '188', '451', '96', '29', '201', '264', '113', '151', '272', '162', '438', '30', '198', '389']
['311', '431', '51', '148', '399', '110', '90', '190', '186', '55', '448', '32', '136', '163', '192', '135', '46', '398', '280', '128', '423', '364', '10', '260', '38', '411', '115', '328', '122', '261', '63', '12']
['368', '391', '73', '478', '237', '228', '8', '109', '308', '6', '343', '161', '80', '366', '414', '18', '367', '475', '234', '477', '158', '293', '239', '455', '17', '332', '425', '27', '397', '214', '84', '187']
['381', '160', '88', '410', '276', '310', '31', '26', '262', '231', '37', '99', '277', '219', '369', '65', '64', '365', '409', '334', '370', '118', '471', '183', '50', '336', '435', '299', '36', '129', '373', '102']
['245', '181', '306', '313', '331', '345', '294', '68', '103', '212', '19', '39', '433', '406', '152', '358', '464', '246', '221', '421', '34', '436', '185', '174', '407', '74', '191', '378', '279', '305', '47', '363']
['341', '154', '291', '241', '172', '194', '15', '362', '394', '41', '443', '437', '289', '100', '322', '92', '387', '143', '372', '390', '249', '236', '232', '335', '75', '217', '159', '463', '248', '208', '215', '123']
['396', '428', '326', '457', '339', '66', '197', '24', '434', '16', '377', '344', '424', '157', '153', '166', '452', '124', '42', '196', '403', '318', '200', '474', '382', '60', '256', '296', '383', '21', '375', '54']
['422', '420', '4', '133', '227', '453', '284', '388', '270', '460', '11', '121', '314', '268', '450', '222', '253', '202', '445', '13', '144', '167', '317', '441', '169', '177', '325', '408', '320', '179', '79', '321']
['150', '114', '349', '426', '165', '472', '416', '126', '120', '267', '132', '72', '429', '456', '213', '127', '235', '178', '459', '226', '40', '107', '147', '49', '312', '180', '43', '330', '351', '137', '359', '205']
