['331', '274', '308', '466', '334', '233', '19', '454', '284', '389', '419', '77', '72', '155', '4', '81', '309', '384', '428', '413', '344', '39']
['409', '311', '112', '339', '203', '292', '121', '306', '29', '15', '352', '381', '128', '365', '393', '320', '25', '44', '2', '297', '448', '366']
['167', '316', '142', '173', '470', '85', '411', '440', '75', '110', '158', '408', '257', '97', '8', '317', '396', '149', '398', '206', '133', '140']
['329', '21', '71', '215', '245', '483', '377', '186', '242', '41', '414', '152', '267', '199', '288', '238', '216', '197', '35', '189', '7', '192']
['92', '163', '62', '376', '229', '38', '30', '202', '328', '34', '425', '386', '432', '379', '343', '244', '407', '474', '392', '259', '330', '327']
['439', '127', '340', '225', '6', '248', '401', '368', '218', '300', '230', '31', '134', '26', '13', '16', '250', '412', '234', '23', '67', '319']
['91', '32', '37', '46', '255', '295', '336', '443', '434', '132', '420', '104', '337', '290', '472', '429', '33', '369', '171', '239', '362', '88']
['27', '211', '103', '145', '212', '459', '195', '270', '338', '335', '58', '364', '471', '129', '10', '65', '390', '415', '457', '315', '353', '69']
['237', '349', '87', '221', '226', '247', '188', '435', '371', '260', '291', '68', '223', '180', '12', '156', '106', '374', '268', '243', '436', '170']
['28', '476', '402', '303', '89', '382', '159', '214', '43', '455', '279', '475', '113', '304', '278', '282', '222', '266', '281', '479', '375', '431']
['53', '332', '324', '424', '321', '249', '224', '346', '109', '136', '318', '251', '403', '126', '147', '42', '253', '47', '447', '164', '24', '181']
['360', '217', '205', '160', '271', '107', '117', '254', '96', '200', '1', '294', '280', '333', '177', '385', '105', '36', '441', '355', '285', '196']
['430', '421', '395', '272', '444', '416', '82', '372', '345', '325', '20', '95', '48', '310', '391', '286', '450', '258', '298', '404', '11', '351']
['73', '213', '139', '49', '210', '18', '287', '283', '426', '262', '301', '394', '108', '342', '148', '154', '313', '209', '481', '373', '383', '397']
['120', '157', '70', '83', '460', '14', '289', '480', '307', '52', '387', '138', '256', '261', '482', '207', '100', '79', '168', '54', '341', '312']
['131', '57', '468', '361', '462', '111', '174', '422', '464', '406', '0', '56', '348', '388', '124', '90', '191', '451', '264', '467', '74', '232']
['59', '9', '150', '452', '151', '172', '273', '370', '17', '265', '469', '183', '166', '61', '98', '66', '123', '179', '219', '302', '169', '122']
['176', '461', '359', '473', '78', '417', '478', '51', '116', '275', '347', '305', '141', '269', '178', '50', '185', '446', '125', '45', '356', '326']
['60', '55', '204', '184', '453', '323', '358', '236', '456', '99', '93', '101', '193', '114', '187', '405', '235', '354', '146', '367', '135', '458']
['427', '449', '190', '201', '80', '293', '228', '137', '84', '198', '433', '378', '350', '246', '423', '119', '144', '399', '161', '438', '299', '277']
['5', '94', '445', '363', '194', '437', '162', '86', '240', '40', '465', '227', '64', '143', '322', '76', '296', '153', '115', '418', '175', '165']
['220', '231', '102', '182', '63', '463', '410', '252', '241', '357', '380', '263', '3', '130', '477', '400', '276', '208', '22', '442', '118', '314']
