['434', '906', '915', '644', '165', '118', '540', '364', '420', '885']
['48', '724', '497', '890', '303', '702', '163', '926', '897', '134']
['100', '574', '749', '482', '322', '115', '63', '91', '879', '23']
['45', '589', '42', '173', '473', '636', '603', '635', '634', '71']
['506', '788', '414', '628', '905', '72', '512', '716', '534', '605']
['500', '882', '840', '658', '368', '504', '863', '750', '224', '508']
['599', '730', '856', '89', '351', '293', '244', '583', '258', '525']
['616', '835', '13', '437', '300', '795', '168', '139', '245', '122']
['781', '738', '983', '273', '379', '575', '404', '20', '144', '516']
['406', '460', '775', '161', '462', '0', '298', '326', '812', '332']
['609', '226', '268', '877', '369', '347', '491', '110', '904', '779']
['109', '604', '40', '353', '843', '755', '76', '554', '514', '611']
['678', '213', '992', '494', '865', '954', '447', '74', '116', '790']
['859', '976', '152', '311', '474', '167', '941', '649', '446', '327']
['984', '950', '752', '656', '902', '518', '19', '408', '78', '598']
['339', '560', '370', '263', '190', '509', '956', '887', '169', '381']
['699', '463', '661', '285', '676', '501', '914', '850', '158', '37']
['372', '287', '743', '550', '68', '895', '297', '929', '175', '869']
['705', '15', '549', '587', '916', '262', '784', '778', '626', '415']
['282', '57', '988', '125', '777', '464', '621', '968', '807', '114']
['328', '366', '998', '289', '671', '732', '8', '240', '230', '184']
['682', '186', '105', '758', '674', '715', '95', '357', '171', '22']
['785', '612', '196', '407', '320', '264', '484', '189', '794', '10']
['60', '726', '680', '511', '745', '130', '361', '377', '637', '373']
['751', '305', '376', '90', '465', '249', '770', '652', '471', '119']
['552', '426', '659', '866', '852', '657', '182', '288', '590', '234']
['578', '103', '477', '315', '317', '669', '561', '252', '592', '651']
['248', '772', '707', '638', '352', '387', '925', '955', '341', '723']
['709', '430', '693', '920', '479', '934', '398', '721', '492', '318']
['739', '442', '280', '515', '742', '672', '179', '490', '324', '202']
['855', '132', '41', '36', '980', '959', '685', '633', '729', '284']
['647', '154', '164', '774', '197', '546', '938', '269', '836', '340']
['951', '924', '513', '135', '62', '553', '56', '207', '160', '216']
['582', '640', '946', '979', '806', '641', '981', '314', '668', '694']
['99', '782', '822', '820', '413', '382', '183', '664', '660', '502']
['828', '439', '35', '281', '480', '969', '355', '756', '6', '632']
['129', '542', '354', '507', '854', '250', '945', '457', '253', '571']
['663', '833', '97', '753', '455', '394', '133', '121', '803', '306']
['759', '220', '719', '166', '187', '949', '204', '747', '527', '429']
['203', '720', '299', '286', '801', '617', '881', '274', '681', '192']
['928', '771', '61', '845', '412', '159', '966', '80', '232', '383']
['390', '495', '913', '851', '764', '517', '964', '194', '565', '54']
['827', '688', '365', '294', '237', '292', '918', '345', '153', '411']
['478', '1', '576', '93', '930', '67', '731', '884', '526', '594']
['698', '725', '49', '459', '786', '21', '316', '150', '728', '267']
['741', '251', '401', '581', '488', '990', '543', '858', '283', '393']
['814', '761', '487', '209', '842', '584', '957', '880', '107', '409']
['665', '558', '556', '595', '136', '943', '3', '857', '704', '331']
['481', '713', '260', '188', '596', '205', '399', '441', '703', '505']
['653', '523', '510', '630', '936', '848', '754', '319', '766', '472']
['219', '25', '965', '588', '579', '667', '257', '65', '648', '808']
['356', '362', '789', '452', '334', '87', '714', '614', '538', '44']
['127', '296', '39', '101', '162', '610', '798', '622', '469', '421']
['613', '323', '225', '816', '359', '176', '120', '198', '977', '923']
['544', '864', '277', '349', '236', '629', '568', '805', '146', '195']
['623', '9', '432', '302', '312', '909', '418', '310', '962', '646']
['520', '371', '780', '29', '763', '846', '66', '776', '321', '261']
['999', '276', '266', '33', '395', '476', '384', '615', '993', '996']
['927', '55', '27', '26', '438', '643', '102', '591', '817', '499']
['746', '701', '607', '378', '304', '792', '131', '973', '200', '519']
['991', '791', '645', '689', '662', '448', '577', '815', '567', '174']
['573', '468', '844', '627', '386', '557', '94', '86', '650', '178']
['12', '935', '886', '838', '986', '342', '800', '722', '385', '679']
['586', '59', '940', '51', '374', '684', '111', '79', '533', '496']
['275', '717', '454', '88', '34', '389', '141', '570', '624', '433']
['691', '466', '180', '14', '138', '910', '350', '536', '572', '862']
['896', '802', '894', '431', '530', '440', '402', '697', '92', '344']
['675', '417', '793', '46', '524', '475', '566', '52', '521', '450']
['811', '449', '170', '128', '547', '735', '50', '718', '104', '24']
['563', '939', '995', '443', '410', '265', '871', '849', '933', '69']
['126', '917', '295', '397', '81', '325', '73', '606', '117', '241']
['826', '522', '834', '757', '769', '901', '893', '528', '670', '559']
['493', '255', '444', '123', '177', '922', '903', '931', '96', '77']
['70', '799', '710', '84', '143', '736', '631', '218', '247', '124']
['727', '392', '545', '64', '734', '740', '677', '5', '569', '975']
['206', '307', '548', '380', '762', '874', '860', '483', '309', '888']
['145', '937', '363', '456', '436', '551', '868', '403', '832', '692']
['271', '428', '768', '690', '686', '683', '847', '201', '899', '535']
['829', '337', '706', '765', '989', '919', '994', '907', '423', '290']
['4', '654', '422', '330', '28', '601', '229', '503', '687', '278']
['537', '32', '883', '997', '985', '529', '82', '98', '227', '427']
['873', '823', '419', '17', '625', '142', '987', '461', '486', '580']
['149', '593', '733', '970', '435', '335', '208', '214', '210', '467']
['953', '405', '233', '932', '564', '489', '787', '31', '137', '900']
['942', '424', '445', '813', '853', '620', '222', '338', '872', '839']
['147', '291', '239', '308', '112', '453', '972', '231', '58', '810']
['193', '642', '797', '458', '831', '875', '944', '391', '199', '270']
['243', '824', '952', '242', '825', '38', '876', '228', '870', '425']
['155', '223', '898', '911', '498', '737', '16', '711', '358', '783']
['11', '185', '804', '841', '47', '760', '343', '83', '767', '971']
['639', '416', '172', '555', '585', '655', '108', '333', '773', '18']
['191', '967', '346', '696', '221', '666', '619', '388', '396', '708']
['279', '254', '531', '451', '597', '235', '7', '367', '562', '796']
['217', '809', '600', '961', '891', '532', '301', '821', '400', '246']
['618', '539', '878', '375', '861', '960', '348', '156', '259', '541']
['948', '113', '712', '256', '53', '608', '313', '140', '85', '75']
['867', '748', '837', '908', '695', '700', '818', '830', '602', '106']
['151', '892', '43', '2', '148', '485', '336', '673', '157', '982']
['819', '30', '978', '744', '947', '958', '211', '360', '963', '215']
['212', '974', '329', '470', '181', '921', '889', '272', '238', '912']
