['0', '259', '347', '461', '322', '311', '186', '407', '420', '496', '268', '132', '139', '199', '110', '84', '245', '253', '303', '348']
['1', '2', '3', '4', '312', '276', '23', '364', '248', '278', '385', '334', '13', '120', '233', '417', '51', '173', '286', '333']
['5', '294', '201', '215', '277', '292', '158', '163', '262', '265', '295', '21', '150', '191', '57', '194', '28', '220', '160', '210']
['6', '394', '37', '60', '289', '356', '213', '42', '41', '10', '136', '143', '176', '236', '285', '165', '119', '189', '223', '185']
['7', '175', '299', '239', '235', '271', '318', '431', '226', '190', '229', '125', '309', '438', '135', '26', '154', '207', '335', '44']
['8', '9', '11', '112', '400', '99', '326', '88', '401', '188', '414', '298', '458', '324', '243', '206', '418', '433', '355', '381']
['12', '18', '121', '153', '284', '224', '109', '137', '166', '155', '195', '129', '240', '33', '128', '304', '162', '256', '336', '346']
['14', '40', '251', '15', '260', '181', '388', '54', '463', '485', '180', '94', '105', '365', '374', '340', '75', '464', '174', '148']
['16', '17', '266', '372', '145', '91', '30', '182', '46', '31', '55', '314', '320', '396', '413', '337', '270', '113', '146', '361']
['19', '498', '20', '196', '305', '366', '63', '124', '283', '80', '247', '81', '327', '73', '70', '47', '52', '487', '72', '257']
['22', '353', '24', '25', '377', '27', '140', '238', '261', '387', '101', '193', '282', '86', '329', '184', '449', '476', '116', '208']
['29', '32', '34', '35', '36', '38', '126', '198', '232', '280', '450', '475', '482', '432', '39', '408', '169', '205', '242', '427']
['43', '45', '64', '252', '301', '48', '159', '93', '221', '399', '470', '237', '244', '255', '217', '122', '310', '330', '111', '200']
['49', '50', '53', '307', '56', '241', '339', '58', '95', '187', '371', '430', '395', '97', '469', '167', '338', '457', '389', '477']
['59', '61', '62', '342', '246', '319', '65', '66', '67', '231', '344', '68', '69', '71', '138', '360', '425', '74', '263', '115']
['76', '77', '410', '107', '350', '78', '79', '82', '492', '83', '281', '85', '87', '234', '144', '192', '269', '331', '460', '89']
['90', '402', '92', '171', '264', '448', '100', '114', '382', '441', '443', '491', '98', '390', '459', '490', '424', '494', '102', '103']
['96', '104', '106', '108', '481', '117', '465', '474', '118', '123', '127', '130', '131', '133', '134', '141', '142', '218', '170', '274']
['147', '179', '149', '227', '426', '279', '151', '152', '156', '479', '157', '161', '164', '250', '287', '398', '168', '172', '178', '183']
['177', '197', '202', '203', '204', '428', '452', '209', '467', '211', '435', '212', '214', '216', '219', '222', '225', '228', '230', '254']
['249', '258', '267', '272', '273', '275', '288', '290', '291', '446', '293', '296', '297', '300', '302', '306', '308', '451', '313', '368']
['315', '369', '412', '316', '499', '317', '383', '321', '323', '497', '325', '328', '332', '341', '480', '393', '343', '345', '349', '466']
['351', '352', '416', '354', '422', '357', '358', '359', '362', '363', '367', '384', '392', '370', '373', '375', '376', '378', '379', '380']
['386', '391', '415', '397', '403', '404', '405', '453', '406', '409', '411', '419', '421', '423', '429', '436', '434', '437', '483', '439']
['440', '442', '444', '445', '478', '447', '454', '455', '456', '462', '468', '471', '472', '473', '484', '486', '488', '493', '489', '495']
