['a', 'bb', 'bbbb', 'b', 'bbbbbbbb', 'aaaaa', 'aa', 'bbbbb', 'aaaaaaa', 'bbbbbbb', 'aaa', 'aaaa', 'bbbbbb', 'aaaaaa', 'aaaaaaaa', 'bbb']
['c', 'd', 'cc', 'dd', 'cccccccc', 'ccccccc', 'ddd', 'cccccc', 'dddddd', 'ddddd', 'cccc', 'dddd', 'ccccc', 'dddddddd', 'ccc', 'ddddddd']
['e', 'ee', 'eee', 'eeee', 'f', 'fff', 'ff', 'eeeee', 'fffff', 'eeeeeee', 'fffffff', 'ffffffff', 'ffff', 'eeeeeeee', 'eeeeee', 'ffffff']
['g', 'gggg', 'ggggg', 'gggggg', 'gg', 'hhhhhh', 'hhhh', 'ggggggg', 'ggg', 'gggggggg', 'hh', 'hhhhhhh', 'hhhhh', 'hhh', 'hhhhhhhh', 'h']
['i', 'jj', 'iii', 'iiiiiiii', 'j', 'ii', 'iiii', 'jjjjj', 'iiiii', 'jjjjjjj', 'jjj', 'jjjjjj', 'iiiiiii', 'jjjj', 'iiiiii', 'jjjjjjjj']
['k', 'l', 'kkkk', 'kkkkkkk', 'lllllll', 'llll', 'kkkkkk', 'll', 'lllll', 'kk', 'kkkkk', 'lll', 'llllll', 'kkk', 'kkkkkkkk', 'llllllll']
['m', 'mmmm', 'nnnnnn', 'mmmmmmm', 'nnnnnnnn', 'mmmmmmmm', 'nnnn', 'nnnnn', 'n', 'mmm', 'mmmmm', 'nnnnnnn', 'mm', 'nnn', 'mmmmmm', 'nn']
['o', 'p', 'ppppp', 'oooooo', 'pp', 'ooo', 'oooooooo', 'ooooo', 'pppp', 'ppppppp', 'oo', 'ppp', 'oooo', 'pppppp', 'ooooooo', 'pppppppp']
['q', 'r', 'rrrrrr', 'rrr', 'qq', 'rr', 'rrrrr', 'qqqqqqq', 'rrrrrrr', 'rrrrrrrr', 'qqqqqqqq', 'qqqqqq', 'rrrr', 'qqqq', 'qqqqq', 'qqq']
['s', 'ss', 'tt', 'sssss', 'tttttt', 'ttttttt', 'ssssssss', 'ssssss', 'sss', 'ttt', 'ssss', 'tttt', 'ttttt', 't', 'tttttttt', 'sssssss']
['u', 'v', 'uu', 'uuu', 'vvvvvv', 'vv', 'vvvvvvv', 'uuuuuu', 'vvv', 'uuuuu', 'uuuuuuu', 'uuuu', 'vvvv', 'uuuuuuuu', 'vvvvvvvv', 'vvvvv']
['w', 'x', 'xxx', 'wwww', 'www', 'xxxxxxxx', 'ww', 'wwwww', 'xxxxx', 'wwwwwwww', 'xxxxxx', 'wwwwww', 'xxxxxxx', 'wwwwwww', 'xx', 'xxxx']
['y', 'z', 'zzz', 'zzzz', 'zzzzz', 'yyyy', 'yyyyy', 'yyyyyyy', 'yyyyyy', 'zzzzzzz', 'yyyyyyyy', 'zz', 'zzzzzz', 'yy', 'yyy', 'zzzzzzzz']
['A', 'B', 'AA', 'AAA', 'BBBBBB', 'BBB', 'BB', 'AAAA', 'BBBB', 'BBBBB', 'BBBBBBB', 'AAAAAAAA', 'AAAAAA', 'AAAAAAA', 'BBBBBBBB', 'AAAAA']
['C', 'D', 'CCCC', 'CCCCC', 'CCCCCCC', 'CCC', 'CCCCCCCC', 'CCCCCC', 'DDDDDD', 'DDDDDDD', 'DDDDDDDD', 'DD', 'DDDD', 'DDDDD', 'DDD', 'CC']
['E', 'F', 'FFF', 'EEEE', 'EEEEEEEE', 'FFFF', 'EEE', 'EEEEEEE', 'EE', 'EEEEE', 'FF', 'FFFFF', 'FFFFFFF', 'FFFFFFFF', 'EEEEEE', 'FFFFFF']
['G', 'H', 'GGGG', 'HHHH', 'GG', 'GGGGGG', 'HHHHHHH', 'HHH', 'HHHHHHHH', 'GGGGG', 'GGGGGGG', 'GGGGGGGG', 'HHHHH', 'HHHHHH', 'HH', 'GGG']
['I', 'J', 'II', 'JJJ', 'JJJJJJ', 'IIIIIII', 'III', 'IIIIIIII', 'JJ', 'JJJJJ', 'IIII', 'IIIII', 'JJJJ', 'JJJJJJJ', 'JJJJJJJJ', 'IIIIII']
['K', 'LLL', 'LLLLLLL', 'KKKKK', 'KKKKKK', 'KKK', 'LLLLLLLL', 'KKKKKKKK', 'LL', 'KKKKKKK', 'L', 'KKKK', 'LLLL', 'LLLLL', 'KK', 'LLLLLL']
['M', 'N', 'NNN', 'MMMMM', 'NNNNNNN', 'MMM', 'NNNN', 'MMMMMMMM', 'MMMMMM', 'NNNNNN', 'MMMMMMM', 'NNNNN', 'NNNNNNNN', 'MM', 'NN', 'MMMM']
['O', 'P', 'OO', 'PP', 'OOOO', 'OOO', 'PPP', 'OOOOOO', 'PPPPPPP', 'OOOOOOOO', 'PPPP', 'OOOOO', 'PPPPPPPP', 'OOOOOOO', 'PPPPPP', 'PPPPP']
['Q', 'R', 'QQQQ', 'QQ', 'QQQQQQQQ', 'QQQQQ', 'QQQQQQ', 'RRRRRR', 'QQQ', 'RRRRRRRR', 'QQQQQQQ', 'RRRRR', 'RRRRRRR', 'RRRR', 'RR', 'RRR']
['S', 'T', 'TTTTT', 'SSSSSSSS', 'TTT', 'SSSS', 'SSSSS', 'TTTTTTTT', 'SSSSSSS', 'SS', 'TTTTTT', 'SSS', 'SSSSSS', 'TTTT', 'TT', 'TTTTTTT']
['U', 'UU', 'UUU', 'V', 'VVV', 'VVVVV', 'UUUUUUUU', 'VV', 'UUUU', 'VVVVVVVV', 'VVVVVV', 'UUUUUU', 'VVVVVVV', 'UUUUU', 'VVVV', 'UUUUUUU']
['W', 'WW', 'WWWWWWW', 'XX', 'X', 'WWW', 'WWWWWWWW', 'XXXXXXX', 'WWWW', 'XXXX', 'WWWWW', 'WWWWWW', 'XXX', 'XXXXX', 'XXXXXX', 'XXXXXXXX']
['Y', 'ZZZZ', 'ZZZZZ', 'YY', 'ZZZZZZ', 'ZZ', 'YYY', 'ZZZ', 'YYYYY', 'YYYYYY', 'YYYYYYY', 'ZZZZZZZ', 'ZZZZZZZZ', 'Z', 'YYYY', 'YYYYYYYY']
['1', '2', '222', '111111', '11111111', '11', '22', '111', '2222', '2222222', '22222222', '22222', '222222', '1111111', '1111', '11111']
['3', '4', '33', '44', '3333', '4444444', '44444444', '44444', '444', '333', '444444', '333333', '33333333', '33333', '3333333', '4444']
['5', '66', '666666', '5555555', '666', '6666666', '555', '66666666', '555555', '55', '5555', '6666', '66666', '55555555', '6', '55555']
['7', '8', '888', '77', '7777', '888888', '777777', '88', '88888888', '777', '8888', '88888', '7777777', '8888888', '77777', '77777777']
