['146', '147', '148', '150', '151', '159', '186', '164', '230', '571', '203', '401', '208', '396', '195', '409', '478', '578', '196', '201', '580', '622']
['149', '152', '158', '161', '166', '335', '431', '153', '316', '154', '338', '372', '512', '403', '398', '156', '499', '181', '233', '354', '213', '449']
['155', '160', '162', '165', '207', '234', '252', '391', '277', '394', '579', '340', '167', '434', '332', '368', '235', '626', '360', '214', '388', '178']
['157', '169', '173', '180', '182', '193', '470', '185', '363', '385', '400', '595', '174', '423', '260', '171', '432', '533', '184', '225', '555', '224']
['163', '172', '175', '188', '221', '271', '170', '226', '295', '177', '417', '518', '231', '616', '504', '247', '358', '519', '498', '299', '507', '569']
['168', '183', '189', '191', '250', '232', '301', '329', '369', '437', '236', '386', '265', '242', '314', '522', '197', '243', '374', '200', '531', '202']
['176', '179', '190', '210', '258', '275', '486', '283', '199', '209', '485', '194', '344', '568', '623', '576', '628', '390', '572', '282', '268', '336']
['187', '192', '229', '266', '313', '397', '418', '215', '267', '381', '455', '375', '426', '254', '356', '395', '410', '315', '452', '204', '444', '218']
['198', '205', '251', '253', '291', '443', '446', '611', '311', '402', '588', '614', '211', '285', '445', '287', '539', '263', '534', '318', '319', '320']
['206', '212', '216', '239', '244', '249', '222', '459', '223', '419', '495', '227', '447', '481', '293', '300', '241', '514', '240', '585', '594', '309']
['217', '220', '246', '259', '289', '290', '525', '367', '549', '399', '297', '415', '326', '361', '516', '343', '334', '428', '464', '566', '581', '349']
['219', '228', '264', '276', '305', '489', '321', '430', '548', '379', '420', '438', '552', '554', '325', '384', '480', '557', '303', '545', '383', '563']
['237', '245', '248', '288', '307', '414', '377', '324', '461', '605', '473', '589', '597', '550', '587', '477', '501', '255', '270', '607', '615', '392']
['238', '261', '306', '328', '339', '348', '337', '416', '333', '435', '345', '364', '256', '492', '272', '362', '351', '408', '330', '503', '411', '475']
['257', '269', '274', '353', '365', '558', '412', '429', '570', '425', '490', '561', '505', '551', '350', '292', '439', '387', '278', '279', '450', '346']
['262', '273', '286', '294', '462', '352', '456', '323', '366', '469', '508', '371', '559', '355', '483', '310', '280', '378', '382', '527', '544', '565']
['281', '284', '317', '327', '357', '404', '471', '373', '442', '487', '538', '436', '454', '506', '547', '511', '610', '458', '468', '312', '376', '347']
['296', '298', '302', '451', '457', '304', '448', '424', '530', '546', '500', '560', '467', '482', '491', '573', '463', '537', '524', '612', '618', '553']
['308', '322', '341', '413', '617', '406', '502', '509', '520', '517', '521', '528', '529', '510', '591', '474', '497', '405', '564', '590', '465', '526']
['331', '342', '393', '493', '370', '380', '540', '359', '427', '433', '476', '496', '407', '583', '608', '479', '488', '543', '582', '609', '620', '613']
['389', '421', '453', '535', '422', '532', '621', '460', '523', '556', '603', '627', '601', '604', '606', '624', '575', '599', '441', '586', '593', '600']
['440', '513', '515', '494', '567', '541', '542', '629', '574', '584', '466', '472', '536', '598', '562', '596', '577', '602', '592', '484', '619', '625']
