['513', '820', '201', '185', '206', '778', '969']
['560', '80', '685', '629', '588', '404', '102']
['26', '777', '658', '741', '442', '122', '125']
['384', '460', '745', '735', '375', '237', '469']
['248', '407', '145', '949', '702', '923', '436']
['347', '837', '111', '234', '173', '409', '194']
['631', '5', '432', '954', '924', '957', '533']
['496', '0', '622', '449', '786', '437', '689']
['135', '679', '734', '515', '94', '529', '494']
['697', '246', '932', '63', '307', '955', '300']
['744', '334', '279', '872', '805', '339', '146']
['736', '965', '241', '505', '315', '278', '583']
['596', '632', '256', '683', '410', '687', '577']
['193', '711', '388', '720', '55', '341', '701']
['228', '823', '803', '545', '451', '296', '54']
['921', '516', '508', '535', '213', '25', '434']
['100', '753', '818', '769', '755', '749', '854']
['28', '915', '582', '555', '479', '235', '51']
['411', '935', '528', '537', '802', '835', '654']
['883', '302', '475', '214', '608', '209', '723']
['690', '370', '746', '673', '263', '910', '134']
['943', '877', '908', '936', '944', '889', '812']
['675', '859', '962', '491', '718', '813', '506']
['140', '143', '76', '573', '161', '616', '866']
['964', '507', '402', '814', '38', '414', '875']
['571', '614', '273', '841', '833', '946', '340']
['499', '67', '215', '116', '605', '222', '92']
['142', '29', '649', '648', '466', '408', '960']
['968', '709', '497', '721', '108', '320', '467']
['757', '791', '22', '552', '578', '811', '864']
['199', '276', '705', '737', '686', '665', '916']
['512', '950', '452', '391', '57', '275', '568']
['905', '406', '852', '703', '45', '913', '671']
['604', '322', '706', '611', '205', '914', '585']
['400', '14', '311', '383', '592', '549', '510']
['717', '75', '366', '640', '956', '77', '50']
['493', '251', '128', '118', '343', '773', '874']
['233', '900', '165', '557', '885', '429', '420']
['909', '838', '801', '643', '652', '387', '653']
['532', '312', '692', '325', '299', '84', '417']
['890', '790', '840', '561', '327', '426', '938']
['722', '610', '470', '482', '662', '123', '550']
['153', '524', '867', '176', '564', '967', '269']
['730', '381', '917', '40', '795', '602', '441']
['538', '509', '330', '676', '71', '551', '945']
['584', '281', '401', '438', '810', '869', '290']
['607', '742', '733', '403', '361', '59', '424']
['487', '657', '295', '934', '170', '6', '471']
