['358', '498', '766', '537', '643']
['770', '886', '535', '275']
['926', '184', '126', '77']
['559', '831', '791', '677']
['934', '930', '543', '173']
['773', '280', '646', '628']
['306', '910', '371', '658']
['164', '202', '72', '298']
['707', '722', '53', '56']
['745', '912', '755', '505']
['89', '754', '607', '374']
['408', '288', '758', '131']
['699', '654', '799', '87']
['111', '845', '228', '821']
['515', '564', '367', '188']
['828', '795', '558', '338']
['296', '243', '389', '95']
['390', '203', '128', '13']
['292', '600', '752', '147']
['322', '190', '401', '952']
['920', '584', '200', '366']
['399', '398', '784', '808']
['176', '794', '531', '792']
['430', '17', '340', '890']
['132', '735', '181', '702']
['788', '617', '24', '938']
['873', '320', '22', '166']
['908', '921', '942', '508']
['620', '698', '64', '593']
['931', '737', '610', '146']
['438', '750', '862', '378']
['420', '369', '581', '501']
['252', '807', '61', '419']
['874', '458', '499', '7']
['68', '925', '361', '823']
['872', '726', '842', '16']
['269', '860', '802', '304']
['724', '556', '278', '550']
['937', '227', '148', '198']
['664', '159', '282', '445']
['667', '798', '63', '232']
['397', '757', '259', '669']
['170', '662', '652', '585']
['135', '863', '869', '482']
['220', '507', '572', '672']
['242', '815', '694', '880']
['900', '83', '21', '706']
['956', '693', '533', '569']
['738', '436', '10', '624']
['26', '659', '231', '723']
['352', '451', '832', '944']
['214', '898', '604', '75']
['932', '928', '954', '548']
['878', '731', '562', '290']
['953', '151', '504', '833']
['351', '681', '465', '207']
['822', '817', '472', '626']
['429', '113', '342', '696']
['484', '513', '801', '790']
['78', '299', '483', '936']
['88', '102', '295', '39']
['587', '244', '325', '74']
['922', '115', '877', '294']
['476', '568', '209', '189']
['670', '666', '98', '675']
['803', '51', '456', '904']
['943', '865', '727', '277']
['312', '902', '574', '955']
['882', '678', '255', '819']
['55', '487', '178', '407']
['373', '84', '633', '494']
['291', '578', '60', '71']
['433', '264', '427', '805']
['208', '59', '775', '861']
['888', '286', '542', '79']
['785', '360', '497', '885']
['715', '18', '689', '402']
['716', '381', '167', '249']
['827', '648', '179', '714']
['914', '411', '449', '383']
['469', '915', '444', '866']
['368', '759', '473', '772']
['224', '547', '145', '123']
['134', '840', '786', '28']
['174', '405', '800', '82']
['194', '104', '35', '621']
['230', '615', '518', '225']
['506', '155', '765', '34']
['270', '172', '307', '740']
['663', '364', '357', '175']
['168', '474', '820', '149']
['44', '590', '818', '124']
['495', '157', '512', '575']
['630', '577', '839', '432']
['816', '682', '256', '57']
['640', '565', '442', '19']
['246', '493', '348', '836']
['263', '363', '756', '683']
['156', '781', '182', '809']
['384', '538', '933', '215']
['248', '826', '907', '856']
['276', '58', '534', '813']
['859', '11', '598', '691']
['673', '337', '70', '532']
['221', '94', '67', '206']
['32', '30', '73', '710']
['233', '210', '254', '521']
