['gw', 'ek', 'jp', 'bt', 'bi', 'h', 'dc', 'p', 'ak', 'gn']
['gv', 'dy', 'x', 'gs', 'dn', 'dp', 'go', 'ga', 'jt', 'g']
['gu', 'bx', 'dv', 'gh', 'ea', 'df', 'gq', 'kg', 'ir', 'eb']
['gt', 'dt', 'o', 'jw', 'cz', 'is', 'bb', 'bo', 'c', 'jm']
['gr', 'jd', 'js', 'ep', 'je', 'ju', 'jf', 'bz', 'gc', 'dq']
['gp', 'et', 'hk', 'ex', 'ih', 'gy', 'di', 'aw', 'fs', 'de']
['gz', 'bf', 'ef', 'ca', 'da', 'gk', 'ao', 'er', 'jv', 'bk']
['gx', 'eq', 'en', 'dg', 'es', 'it', 'bm', 'gd', 'ds', 'gi']
['gg', 'bc', 'bw', 'iy', 'el', 's', 'co', 'ec', 'fn', 'bl']
['gf', 'cs', 'hr', 'al', 'ke', 'eg', 'jo', 'jh', 'iw', 'ez']
['ge', 'gj', 'ia', 'b', 'db', 'bn', 'do', 'ck', 'cq', 'hy']
['gb', 'jc', 'il', 'ai', 'hx', 'cl', 'an', 'eo', 'io', 'ho']
['gm', 'dm', 'l', 'dw', 'br', 'cx', 'hw', 'z', 'fe', 'aa']
['gl', 'kd', 'dh', 'jl', 'bv', 'bq', 'fw', 'ax', 'eh', 'cw']
['dl', 'du', 'd', 'bp', 'jg', 'iv', 'fv', 'ci', 'cu', 'at']
['dj', 'jq', 'fg', 'ht', 'ei', 'ag', 'w', 'ee', 'he', 'ch']
['dk', 'hi', 'hn', 'hm', 'cj', 'jr', 'ew', 'ap', 'ev', 'jz']
['dd', 'iq', 'jb', 'in', 'iu', 'fk', 'iz', 'ip', 'cp', 'j']
['dz', 'cc', 'ba', 'cb', 'jk', 'cr', 'v', 'be', 'fb', 'ff']
['dx', 'bh', 'zz', 'bs', 'jn', 'cn', 'ce', 'av', 'fh', 'hs']
['dr', 'cg', 'f', 'af', 'cd', 'fu', 'fr', 'fo', 'kn', 'ka']
['t', 'm', 'jy', 'hz', 'hp', 'hq', 'ie', 'i', 'hl', 'hd']
['em', 'e', 'ik', 'ic', 'n', 'kk', 'ar', 'kb', 'im', 'ix']
['ej', 'ac', 'ab', 'fd', 'fq', 'ad', 'ah', 'aj', 'aq', 'fp']
['ed', 'jj', 'ig', 'fl', 'ft', 'fx', 'fa', 'fc', 'fi', 'fj']
['ey', 'fm', 'a', 'kj', 'ki', 'kh', 'u', 'km', 'eu', 'bd']
['bg', 'jx', 'bj', 'bu', 'by', 'k', 'ji', 'cm', 'cf', 'cy']
['cv', 'ct', 'ja', 'kc', 'hv', 'hu', 'hj', 'hh', 'hb', 'hc']
['ha', 'hf', 'hg', 'ii', 'ij', 'r', 'ae', 'am', 'as', 'au']
['ay', 'az', 'if', 'ib', 'fy', 'fz', 'kf', 'kl', 'q', 'y']
