['s435', 's191', 's63', 's346', 's215', 's171', 's289', 's480', 's445', 's40']
['s60', 's257', 's218', 's32', 's198', 's23', 's24', 's86', 's468', 's91']
['s103', 's238', 's335', 's376', 's101', 's65', 's79', 's270', 's481', 's308']
['s301', 's469', 's261', 's348', 's350', 's206', 's369', 's360', 's142', 's363']
['s291', 's491', 's226', 's294', 's330', 's245', 's406', 's293', 's46', 's52']
['s74', 's44', 's364', 's452', 's220', 's108', 's133', 's199', 's420', 's418']
['s104', 's178', 's88', 's134', 's340', 's464', 's85', 's285', 's380', 's368']
['s381', 's374', 's321', 's470', 's475', 's190', 's276', 's116', 's6', 's34']
['s421', 's168', 's25', 's377', 's297', 's240', 's211', 's12', 's339', 's345']
['s365', 's131', 's408', 's282', 's251', 's69', 's378', 's372', 's17', 's248']
['s45', 's11', 's456', 's490', 's375', 's114', 's386', 's438', 's37', 's265']
['s302', 's140', 's151', 's354', 's47', 's159', 's387', 's404', 's412', 's430']
['s93', 's273', 's29', 's499', 's89', 's87', 's22', 's494', 's440', 's244']
['s417', 's455', 's424', 's451', 's249', 's428', 's239', 's246', 's129', 's341']
['s493', 's483', 's357', 's76', 's497', 's471', 's278', 's33', 's111', 's467']
['s241', 's400', 's107', 's58', 's457', 's49', 's242', 's306', 's474', 's398']
['s97', 's48', 's482', 's279', 's401', 's62', 's212', 's165', 's144', 's250']
['s429', 's217', 's173', 's441', 's473', 's326', 's56', 's390', 's28', 's460']
['s447', 's466', 's444', 's205', 's186', 's155', 's446', 's267', 's210', 's145']
['s391', 's95', 's188', 's209', 's213', 's139', 's431', 's465', 's80', 's183']
['s19', 's194', 's57', 's476', 's333', 's271', 's169', 's448', 's389', 's461']
['s337', 's149', 's189', 's138', 's410', 's31', 's54', 's7', 's342', 's99']
['s72', 's262', 's338', 's143', 's167', 's9', 's256', 's94', 's453', 's274']
['s197', 's157', 's216', 's203', 's53', 's172', 's14', 's59', 's266', 's185']
['s237', 's68', 's419', 's187', 's298', 's75', 's252', 's487', 's450', 's328']
['s449', 's280', 's192', 's109', 's392', 's118', 's174', 's495', 's324', 's443']
['s90', 's122', 's150', 's498', 's373', 's426', 's233', 's332', 's120', 's153']
['s30', 's370', 's3', 's182', 's152', 's489', 's356', 's105', 's154', 's100']
['s436', 's305', 's310', 's351', 's316', 's344', 's459', 's204', 's195', 's264']
['s477', 's292', 's170', 's485', 's135', 's255', 's51', 's67', 's405', 's307']
['s437', 's196', 's407', 's177', 's1', 's77', 's334', 's322', 's439', 's329']
['s269', 's130', 's397', 's358', 's283', 's202', 's311', 's228', 's385', 's243']
['s84', 's416', 's83', 's96', 's121', 's414', 's236', 's427', 's81', 's319']
['s147', 's353', 's126', 's163', 's371', 's394', 's224', 's384', 's20', 's275']
['s148', 's38', 's295', 's15', 's304', 's230', 's362', 's123', 's5', 's313']
['s260', 's287', 's288', 's113', 's132', 's137', 's27', 's98', 's42', 's13']
['s175', 's399', 's73', 's176', 's231', 's259', 's396', 's336', 's268', 's208']
['s432', 's136', 's382', 's180', 's128', 's272', 's352', 's309', 's102', 's10']
['s359', 's388', 's277', 's320', 's36', 's312', 's106', 's158', 's78', 's166']
['s222', 's300', 's64', 's234', 's41', 's415', 's315', 's247', 's160', 's458']
['s317', 's119', 's125', 's2', 's395', 's66', 's411', 's284', 's229', 's423']
['s463', 's367', 's124', 's184', 's92', 's303', 's117', 's425', 's296', 's146']
['s0', 's162', 's402', 's16', 's355', 's219', 's478', 's422', 's318', 's181']
['s8', 's71', 's379', 's156', 's488', 's254', 's227', 's50', 's361', 's214']
['s193', 's161', 's223', 's225', 's393', 's383', 's349', 's442', 's434', 's258']
['s286', 's347', 's327', 's409', 's26', 's314', 's18', 's413', 's55', 's253']
['s403', 's492', 's61', 's43', 's323', 's200', 's235', 's179', 's35', 's366']
['s164', 's127', 's221', 's299', 's462', 's39', 's201', 's331', 's496', 's454']
['s70', 's112', 's486', 's325', 's110', 's484', 's433', 's232', 's4', 's281']
['s207', 's115', 's21', 's82', 's263', 's290', 's141', 's479']
['s472']
['s343']
