['0', '1', '146', '340', '176', '395', '56', '429', '365', '235', '138', '120', '188', '198', '158', '265', '87']
['2', '112', '337', '440', '408', '381', '480', '499', '383', '393', '445', '3', '29', '328', '31', '79', '189']
['4', '105', '119', '161', '281', '28', '222', '46', '85', '202', '319', '427', '460', '17', '26', '485', '62']
['5', '50', '132', '232', '296', '396', '359', '58', '356', '91', '196', '399', '439', '482', '20', '153', '167']
['6', '96', '443', '461', '303', '125', '148', '199', '335', '227', '263', '325', '49', '23', '100', '149', '465']
['7', '73', '38', '51', '42', '255', '336', '437', '402', '462', '35', '236', '53', '82', '302', '19', '65']
['8', '9', '168', '448', '472', '231', '391', '434', '470', '456', '481', '39', '43', '228', '264', '362', '468']
['10', '32', '374', '212', '405', '141', '204', '274', '282', '361', '367', '261', '441', '397', '11', '12', '13']
['14', '99', '184', '249', '257', '449', '15', '16', '24', '280', '60', '103', '30', '354', '200', '297', '329']
['18', '21', '22', '54', '177', '378', '392', '289', '122', '422', '262', '473', '221', '454', '25', '172', '233']
['27', '64', '385', '94', '225', '304', '424', '419', '478', '203', '216', '418', '218', '241', '348', '400', '438']
['33', '403', '491', '157', '150', '375', '34', '258', '140', '40', '307', '173', '259', '278', '332', '384', '435']
['36', '201', '463', '160', '142', '90', '183', '166', '290', '401', '68', '127', '180', '253', '37', '41', '44']
['45', '47', '217', '185', '351', '409', '432', '48', '412', '476', '489', '135', '211', '466', '275', '446', '276']
['52', '116', '78', '175', '205', '237', '84', '366', '55', '57', '230', '352', '59', '220', '182', '311', '256']
['61', '308', '477', '63', '131', '88', '414', '66', '67', '109', '151', '252', '338', '272', '387', '69', '70']
['71', '72', '215', '254', '404', '251', '130', '380', '313', '210', '243', '245', '442', '495', '286', '327', '239']
['74', '75', '213', '353', '344', '314', '104', '430', '326', '417', '76', '77', '229', '80', '382', '81', '488']
['83', '165', '483', '86', '170', '316', '193', '285', '331', '484', '343', '89', '129', '134', '181', '453', '145']
['92', '93', '95', '97', '98', '288', '101', '102', '106', '444', '318', '355', '164', '169', '309', '277', '320']
['107', '114', '137', '159', '194', '247', '267', '305', '368', '425', '108', '110', '111', '113', '115', '214', '117']
['118', '299', '162', '124', '298', '371', '451', '490', '421', '487', '121', '123', '126', '128', '312', '411', '133']
['136', '416', '139', '143', '447', '144', '147', '186', '206', '269', '334', '433', '271', '152', '154', '155', '156']
['163', '171', '174', '178', '179', '195', '223', '238', '284', '234', '224', '190', '372', '471', '494', '187', '377']
['191', '192', '369', '458', '197', '207', '208', '209', '219', '226', '240', '242', '244', '246', '248', '250', '260']
['266', '268', '270', '273', '279', '283', '287', '291', '292', '293', '294', '330', '357', '452', '426', '295', '300']
['301', '306', '310', '315', '317', '321', '322', '323', '493', '467', '492', '324', '333', '339', '341', '474', '342']
['345', '346', '347', '457', '349', '350', '358', '360', '363', '364', '370', '373', '376', '379', '386', '469', '407']
['388', '389', '390', '394', '398', '406', '410', '413', '415', '420', '423', '428', '431', '436', '450', '455', '459']
['464', '475', '479', '486', '496']
['497']
['498']
