['v10', 'd4', 'd3', 'd9', 'd1', 'd5', 'd6', 'd7', 'd2', 'd8']
['y9', 'y8', 'y1', 'y5', 'y4', 'y10', 'y2', 'y7', 'y6', 'y3']
['c4', 'q9', 'c10', 'g5', 'r10', 'e2', 'h3', 'c6', 'm1', 'm8']
['q1', 'q3', 'q5', 'q4', 'q7', 'q2', 'q10', 'q6', 'q8', 'i4']
['e10', 'c5', 'e8', 'g8', 'o8', 't1', 'e4', 'x6', 't5', 'o2']
['m10', 'j10', 'p3', 'a4', 'j6', 'p10', 'p2', 'p9', 'p6', 'p1']
['g7', 'g6', 'g2', 'p7', 'j2', 'h2', 'r9', 'g4', 'r1', 'r8']
['g9', 't6', 't7', 't8', 't4', 't2', 't9', 't3', 'c1', 't10']
['o4', 'x4', 'a6', 'r6', 'w8', 'a5', 'a8', 'a1', 'a3', 'a2']
['l6', 'l7', 'l5', 'l2', 'l3', 'l8', 'l10', 'l4', 'l9', 'l1']
['x10', 'n10', 'w5', 's4', 'w9', 's10', 'w1', 'x3', 's7', 'x5']
['j8', 'j9', 'j5', 'j1', 'i2', 'v3', 'j4', 'j7', 'r2', 'w3']
['w10', 'w6', 'e9', 'e1', 'e3', 'e7', 'e6', 'h1', 'k9', 'h8']
['b4', 'b7', 'b3', 'h9', 'b9', 'b6', 'b1', 'b5', 'b10', 'b2']
['w2', 'b8', 'e5', 'm7', 'd10', 's2', 'u9', 'u6', 'u4', 'u3']
['o9', 'o7', 'o6', 'o5', 'o3', 'o1', 'o10', 'h6', 'h4', 'm3']
['f10', 'h5', 'c7', 'i8', 'f9', 'f5', 'f8', 'f7', 'f1', 'f4']
['r4', 'r5', 'r7', 'i9', 'r3', 'j3', 'c2', 'p4', 's5', 'k4']
['x8', 'x1', 'x7', 'h7', 'n7', 'c8', 'm2', 'i5', 'n1', 'm4']
['a7', 'm6', 'm9', 'm5', 's3', 'g3', 'n3', 's8', 'n6', 'u1']
['a9', 'u5', 'u7', 'u10', 'u2', 'k3', 'k2', 'k5', 'k1', 'k8']
['k10', 'x2', 'k6', 'k7', 's1', 's6', 'v2', 'v6', 'v1', 'v5']
['u8', 'h10', 'c3', 'n8', 'a10', 'i7', 'n4', 'n9', 'p8', 'n2']
['c9', 'v9', 'f2', 'v8', 'v4', 'v7', 'i3', 'i6', 'i1', 'g10']
['w7', 'w4', 'f6', 'p5', 'f3', 's9', 'g1', 'i10', 'n5', 'x9']
