['1', '2', '3', '4', '7', '9', '12']
['5', '6', '10', '11', '13', '19', '16']
['8', '14', '15', '17', '18', '20', '21']
['22', '28', '27', '24', '23', '26', '31']
['25', '29', '30', '32', '33', '34', '36']
['35', '37', '38', '39', '42', '43', '44']
['40', '41', '45', '58', '62', '61', '64']
['46', '48', '49', '47', '50', '51', '52']
['53', '54', '55', '56', '59', '70', '57']
['60', '63', '65', '66', '67', '68', '69']
['71', '72', '73', '74', '77', '79', '80']
['75', '76', '81', '82', '83', '85', '87']
['78', '84', '86', '88', '89', '90', '91']
['92', '95', '98', '106', '93', '94', '96']
['97', '99', '100', '101', '102', '103', '104']
['105', '107', '108', '109', '112', '113', '114']
['110', '111', '115', '116', '117', '127', '118']
['119', '124', '120', '121', '122', '123', '125']
['126', '128', '133', '131', '134', '135', '136']
['129', '130', '132', '137', '138', '139', '140']
['141', '142', '143', '144', '147', '149', '154']
['145', '146', '150', '151', '152', '153', '156']
['148', '155', '157', '158', '159', '160', '161']
['162', '166', '168', '163', '164', '167', '171']
['165', '169', '170', '172', '173', '174', '176']
['175', '177', '178', '179', '182', '183', '184']
['180', '181', '185', '187', '201', '195', '191']
['186', '211', '188', '189', '199', '204', '196']
['190', '192', '193', '194', '205', '197', '203']
['198', '200', '202', '206', '207', '208', '209']
['210', '212', '213', '214', '217', '218', '219']
['215', '216', '220', '224', '235', '230', '226']
['221', '225', '223', '222', '227', '228', '229']
['231', '240', '239', '241', '242', '243', '244']
['232', '233', '234', '236', '238', '237', '246']
['245', '247', '248', '249', '252', '253', '268']
['250', '251', '254', '255', '256', '258', '257']
['259', '260', '261', '262', '263', '264', '265']
['266', '267', '269', '271', '272', '273', '275']
['270', '274', '276', '277', '278', '279', '280']
['281', '282', '283', '284', '287', '289', '294']
['285', '286', '290', '292', '302', '309', '301']
['288', '303', '308', '297', '295', '296', '298']
['291', '305', '304', '293', '299', '300', '306']
['307', '310', '311', '312', '313', '314', '316']
['315', '317', '318', '319', '322', '323', '347']
['320', '321', '324', '327', '326', '329', '330']
['325', '328', '331', '332', '333', '334', '335']
['336', '337', '343', '339', '338', '342', '341']
['340', '344', '345', '346', '348', '349', '350']
