['0', '1', '3', '4', '5', '6', '2', '19', '14', '15', '17', '16', '18', '20', '33', '28', '30', '32', '29', '31', '34', '62', '58', '59', '63', '65', '60', '64', '38', '35', '36', '37', '40', '41', '39', '69', '68', '72', '67', '73']
['7', '9', '11', '12', '13', '8', '10', '51', '50', '52', '54', '55', '56', '53', '57', '202', '100', '99', '102', '103', '106', '101', '105', '104', '44', '42', '45', '46', '48', '43', '47', '113', '108', '109', '110', '115', '112', '116', '114', '224']
['21', '22', '23', '24', '26', '27', '25', '166', '75', '74', '78', '79', '81', '76', '77', '80', '165', '167', '168', '171', '164', '169', '173', '170', '189', '184', '185', '188', '191', '186', '190', '238', '246', '244', '239', '243', '240', '245', '241', '159']
['49', '146', '145', '148', '149', '150', '147', '151', '144', '152', '153', '128', '127', '129', '130', '134', '126', '132', '133', '131', '119', '117', '118', '120', '121', '124', '122', '123', '125', '291', '70', '66', '71', '416', '156', '155', '157', '158', '162', '154']
['61', '281', '163', '160', '161', '210', '204', '205', '208', '209', '211', '206', '213', '207', '214', '212', '139', '142', '136', '137', '141', '138', '143', '135', '140', '176', '175', '180', '182', '177', '183', '178', '181', '221', '215', '217', '220', '218', '222', '223']
['82', '83', '84', '85', '86', '88', '89', '87', '93', '90', '92', '94', '95', '96', '97', '91', '98', '179', '174', '196', '195', '197', '200', '194', '199', '201', '203', '247', '242', '237', '266', '259', '261', '269', '260', '267', '262', '265', '263', '268']
['107', '111', '172', '275', '270', '271', '272', '280', '276', '279', '273', '277', '278', '228', '227', '231', '235', '229', '233', '234', '230', '236', '287', '282', '283', '285', '289', '284', '286', '288', '290', '292', '379', '368', '370', '373', '376', '369', '371', '374']
['187', '192', '193', '198', '216', '219', '225', '327', '319', '320', '321', '324', '323', '325', '328', '329', '322', '326', '417', '413', '407', '409', '410', '418', '412', '419', '411', '415', '414', '264', '340', '334', '339', '330', '337', '338', '331', '332', '333', '341']
['226', '232', '248', '249', '251', '254', '253', '257', '255', '258', '252', '250', '256', '308', '306', '307', '309', '314', '311', '316', '310', '315', '313', '317', '312', '302', '294', '295', '296', '298', '300', '303', '299', '304', '301', '342', '352', '351', '344', '349']
['274', '293', '297', '305', '318', '335', '336', '390', '381', '384', '387', '392', '386', '383', '385', '389', '391', '382', '388', '393', '343', '346', '347', '345', '348', '350', '353', '356', '357', '358', '361', '362', '365', '360', '364', '366', '367', '359', '408', '372']
['354', '355', '363', '375', '378', '380', '377', '394', '397', '398', '396', '399', '400', '401', '403', '405', '404', '395', '406', '402']
