['0', '1', '2', '4', '10', '37', '46', '50', '59', '149', '174', '486', '65', '86', '128', '430', '103', '346', '369', '191', '236', '251', '347']
['3', '5', '8', '12', '19', '30', '44', '60', '137', '176', '70', '141', '249', '290', '379', '62', '159', '56', '114', '161', '164', '234', '268']
['6', '13', '14', '17', '29', '35', '121', '142', '182', '200', '75', '296', '402', '443', '122', '151', '276', '163', '205', '239', '280', '487', '250']
['7', '9', '11', '18', '24', '28', '63', '93', '145', '156', '478', '87', '148', '213', '283', '368', '64', '69', '84', '72', '147', '168', '201']
['15', '25', '27', '32', '36', '42', '96', '126', '224', '237', '352', '89', '105', '209', '496', '345', '403', '473', '172', '227', '458', '470', '499']
['16', '31', '41', '47', '49', '52', '82', '132', '221', '279', '398', '116', '166', '197', '328', '76', '112', '315', '22', '256', '130', '131', '263']
['20', '23', '33', '39', '57', '111', '134', '382', '83', '97', '124', '253', '318', '85', '258', '294', '364', '288', '497', '138', '194', '322', '377']
['21', '26', '40', '45', '92', '95', '98', '104', '484', '129', '160', '170', '189', '80', '102', '146', '178', '320', '165', '381', '450', '222', '331']
['34', '43', '48', '58', '74', '78', '139', '183', '261', '281', '289', '449', '120', '350', '391', '55', '244', '314', '482', '177', '184', '113', '157']
['38', '51', '66', '88', '110', '118', '175', '247', '278', '353', '397', '79', '196', '329', '154', '190', '433', '461', '181', '441', '61', '77', '252']
['53', '54', '73', '91', '109', '186', '187', '212', '344', '451', '295', '362', '367', '454', '457', '185', '271', '372', '414', '453', '229', '287', '309']
['67', '68', '99', '100', '106', '123', '203', '207', '298', '199', '216', '238', '162', '179', '226', '321', '394', '388', '417', '155', '310', '136', '340']
['71', '81', '90', '143', '152', '218', '242', '303', '341', '477', '351', '404', '437', '495', '284', '325', '125', '167', '215', '371', '144', '308', '460']
['94', '101', '107', '153', '195', '202', '225', '267', '274', '228', '273', '313', '317', '354', '393', '169', '248', '264', '361', '282', '355', '119', '198']
['108', '127', '133', '135', '316', '336', '389', '456', '158', '210', '240', '306', '343', '188', '297', '436', '348', '386', '416', '193', '434', '490', '246']
['115', '117', '140', '171', '217', '262', '420', '432', '475', '323', '438', '472', '378', '293', '300', '380', '395', '326', '370', '425', '468', '180', '243']
['150', '192', '219', '232', '327', '356', '400', '401', '206', '332', '405', '214', '375', '385', '349', '211', '245', '396', '411', '360', '374', '255', '366']
['173', '208', '223', '269', '299', '304', '265', '307', '333', '363', '480', '376', '406', '230', '324', '392', '319', '422', '431', '241', '463', '254', '302']
['204', '231', '235', '272', '292', '399', '421', '365', '412', '429', '444', '452', '469', '266', '335', '359', '409', '270', '413', '471', '492', '383', '260']
['220', '233', '257', '259', '277', '387', '408', '275', '459', '285', '291', '334', '358', '415', '426', '483', '446', '494', '312', '357', '464', '301', '489']
['286', '305', '337', '384', '390', '419', '339', '447', '479', '439', '466', '423', '442', '481', '330', '488', '491', '410', '342', '424', '498', '427', '435']
['311', '338', '373', '428', '476', '462', '465', '493', '485', '418', '448', '407', '467', '440', '474', '445', '455']
