['1', '3', '14', '22', '29', '64', '132', '182', '71', '85', '247', '62', '225', '43', '250', '131', '348', '278', '100', '316', '6']
['2', '4', '5', '12', '80', '115', '53', '126', '220', '82', '343', '363', '95', '281', '143', '9', '153', '327', '124', '92', '244']
['7', '11', '19', '40', '45', '107', '147', '249', '24', '114', '326', '160', '199', '39', '151', '187', '91', '104', '34', '272', '90']
['8', '13', '15', '32', '59', '166', '56', '240', '301', '66', '213', '318', '113', '374', '242', '293', '328', '352', '268', '201', '206']
['10', '16', '21', '25', '208', '212', '254', '224', '194', '304', '50', '72', '134', '289', '379', '93', '122', '280', '96', '58', '177']
['17', '18', '31', '48', '191', '233', '145', '261', '42', '81', '44', '41', '52', '89', '230', '128', '221', '270', '117', '46', '83']
['20', '28', '36', '47', '116', '101', '165', '61', '167', '322', '33', '137', '344', '369', '94', '136', '202', '232', '183', '292', '260']
['23', '30', '51', '54', '125', '156', '68', '245', '129', '184', '67', '168', '65', '279', '197', '265', '364', '155', '256', '162', '179']
['26', '49', '57', '180', '216', '69', '78', '211', '395', '175', '339', '375', '37', '273', '97', '324', '139', '142', '253', '173', '38']
['27', '35', '77', '109', '185', '287', '152', '298', '299', '306', '218', '271', '330', '275', '305', '255', '315', '320', '357', '70', '112']
['55', '63', '79', '105', '111', '149', '75', '229', '237', '130', '317', '248', '163', '190', '200', '170', '193', '215', '346', '84', '262']
['60', '74', '110', '144', '148', '226', '135', '300', '342', '366', '88', '290', '336', '204', '362', '106', '252', '372', '161', '178', '222']
['73', '98', '108', '123', '302', '311', '340', '87', '146', '308', '323', '186', '376', '267', '214', '393', '274', '120', '283', '282', '99']
['76', '103', '127', '150', '158', '198', '172', '266', '138', '217', '236', '310', '373', '219', '319', '347', '386', '384', '234', '389', '140']
['86', '102', '154', '264', '295', '291', '335', '355', '159', '203', '309', '325', '358', '371', '196', '205', '239', '297', '263', '353', '338']
['118', '121', '133', '251', '360', '223', '341', '286', '381', '188', '288', '370', '285', '345', '397', '164', '235', '276', '354', '365', '238']
['119', '157', '169', '210', '332', '284', '195', '303', '231', '350', '396', '382', '269', '192', '331', '361', '176', '296', '387', '307', '333']
['141', '171', '181', '399', '189', '207', '227', '257', '174', '277', '228', '359', '368', '391', '313', '321', '329', '385', '312', '356', '400']
['209', '241', '246', '259', '337', '314', '351', '380', '392', '390', '398', '258', '377', '349', '294', '388', '334', '243', '367', '378', '383']
['394']
