['266', '26', '419', '884', '908', '343', '186', '8']
['779', '274', '308', '927', '905', '647', '372', '563']
['451', '11', '430', '478', '206', '499', '936', '68']
['259', '428', '147', '468', '164', '875', '133', '759']
['301', '443', '311', '679', '661', '22', '203', '389']
['25', '548', '21', '89', '475', '866', '586', '827']
['152', '384', '829', '883', '805', '871', '124', '107']
['701', '737', '29', '653', '408', '47', '273', '604']
['540', '683', '768', '595', '848', '611', '704', '882']
['931', '258', '514', '988', '574', '38', '543', '189']
['81', '44', '406', '453', '808', '275', '580', '252']
['465', '121', '484', '696', '610', '85', '98', '238']
['645', '33', '602', '401', '19', '909', '566', '284']
['34', '856', '199', '476', '268', '937', '48', '445']
['223', '591', '296', '757', '924', '775', '676', '938']
['720', '327', '173', '934', '239', '253', '550', '393']
['585', '216', '183', '362', '614', '524', '366', '581']
['92', '295', '623', '452', '501', '128', '559', '813']
['117', '825', '512', '456', '625', '129', '795', '317']
['557', '373', '836', '864', '69', '880', '95', '956']
['422', '292', '751', '197', '842', '960', '806', '773']
['309', '756', '786', '330', '885', '440', '495', '4']
['697', '643', '627', '279', '634', '441', '195', '359']
['331', '265', '39', '23', '921', '344', '251', '787']
['974', '899', '63', '248', '136', '863', '755', '985']
['906', '897', '229', '466', '765', '352', '321', '110']
['534', '254', '824', '539', '515', '242', '766', '312']
['723', '782', '483', '828', '891', '678', '568', '818']
['843', '784', '626', '463', '288', '835', '333', '761']
['692', '942', '649', '319', '24', '474', '7', '911']
['298', '668', '689', '686', '688', '738', '744', '192']
['797', '338', '523', '558', '457', '140', '989', '175']
['702', '171', '267', '505', '802', '37', '876', '672']
['636', '405', '339', '952', '470', '349', '506', '994']
['146', '396', '20', '237', '485', '318', '849', '297']
['439', '920', '859', '603', '94', '964', '80', '351']
['845', '803', '103', '575', '402', '801', '902', '593']
['222', '811', '334', '447', '823', '54', '577', '537']
['982', '91', '76', '126', '67', '469', '949', '804']
['889', '87', '415', '977', '573', '933', '834', '365']
['809', '709', '328', '613', '708', '42', '560', '980']
['316', '878', '434', '799', '954', '564', '289', '579']
['77', '380', '150', '97', '868', '700', '341', '582']
['640', '306', '646', '691', '250', '517', '608', '838']
['320', '556', '105', '941', '900', '981', '673', '392']
['202', '599', '963', '746', '509', '432', '300', '370']
['619', '72', '975', '294', '685', '398', '944', '218']
['496', '62', '264', '324', '161', '88', '638', '528']
['913', '618', '612', '371', '272', '837', '255', '414']
['915', '213', '233', '561', '814', '375', '652', '493']
['681', '669', '687', '918', '353', '411', '699', '65']
['336', '149', '641', '118', '187', '299', '538', '119']
['544', '108', '200', '846', '747', '304', '429', '215']
['887', '725', '367', '205', '12', '993', '584', '410']
['953', '400', '532', '519', '490', '368', '448', '601']
['986', '978', '59', '177', '637', '467', '16', '743']
['780', '742', '35', '732', '442', '260', '997', '174']
['127', '219', '420', '230', '243', '698', '122', '30']
['163', '935', '211', '545', '794', '459', '729', '771']
['167', '796', '850', '340', '992', '245', '257', '332']
['567', '70', '377', '870', '46', '436', '912', '310']
['570', '413', '329', '970', '399', '214', '123', '75']
['879', '31', '957', '928', '449', '36', '412', '542']
['455', '620', '28', '969', '287', '590', '785', '617']
['857', '886', '379', '32', '381', '421', '662', '277']
['631', '853', '872', '861', '632', '13', '5', '270']
['307', '565', '6', '551', '84', '160', '170', '71']
['869', '554', '208', '390', '394', '498', '862', '789']
['41', '832', '914', '158', '533', '437', '666', '815']
['764', '409', '96', '589', '135', '966', '860', '731']
['226', '141', '547', '767', '404', '817', '929', '479']
['188', '425', '555', '706', '382', '644', '290', '492']
['888', '932', '516', '642', '753', '104', '424', '919']
['385', '826', '705', '833', '137', '972', '549', '831']
['427', '17', '444', '904', '61', '973', '527', '535']
['207', '569', '376', '460', '518', '74', '361', '249']
['987', '769', '143', '690', '609', '2', '185', '244']
['990', '369', '865', '15', '605', '263', '472', '598']
['454', '658', '357', '106', '971', '391', '10', '291']
['840', '315', '763', '675', '655', '821', '715', '486']
['464', '682', '461', '841', '633', '374', '654', '552']
['984', '9', '386', '0', '159', '713', '677', '734']
['335', '196', '224', '58', '728', '325', '996', '930']
['27', '693', '622', '79', '576', '716', '482', '607']
['531', '783', '852', '155', '651', '520', '894', '488']
['293', '664', '867', '760', '965', '342', '232', '246']
['426', '120', '360', '99', '82', '510', '348', '659']
['354', '923', '225', '132', '433', '209', '181', '403']
['247', '387', '790', '961', '530', '114', '873', '624']
['854', '752', '168', '280', '703', '481', '179', '450']
['157', '507', '303', '53', '946', '271', '758', '234']
['976', '998', '100', '721', '943', '86', '423', '917']
['503', '156', '446', '674', '594', '45', '995', '526']
['142', '60', '109', '323', '313', '407', '719', '508']
['792', '546', '718', '210', '166', '950', '355', '660']
['762', '241', '656', '212', '417', '283', '395', '967']
['962', '940', '262', '750', '435', '162', '597', '282']
['922', '844', '740', '194', '154', '500', '90', '326']
['739', '256', '40', '741', '910', '707', '285', '502']
['217', '772', '176', '491', '14', '847', '680', '616']
