['274', '334', '752', '19', '614', '454', '284', '529', '689', '155', '468', '574', '499', '592', '631', '384', '591', '413', '784', '683', '847', '485', '320', '130', '25', '451', '44', '2', '584', '448']
['809', '62', '466', '884', '173', '424', '172', '203', '567', '811', '444', '878', '352', '41', '462', '848', '259', '158', '551', '42', '257', '885', '860', '388', '39', '12', '442', '781', '550', '628']
['906', '176', '545', '822', '560', '535', '492', '699', '262', '798', '228', '469', '775', '1', '82', '98', '559', '119', '295', '681', '357', '566', '68', '888', '67', '281', '140', '538', '327']
['496', '569', '637', '211', '70', '117', '764', '292', '779', '328', '900', '342', '382', '65', '464', '540', '390', '199', '99', '790', '250', '305', '528', '762', '191', '171', '903', '651', '371']
['757', '430', '421', '729', '641', '220', '121', '184', '739', '394', '901', '186', '358', '110', '502', '717', '408', '441', '548', '48', '889', '216', '197', '369', '373', '106', '714', '375', '741']
['615', '233', '765', '874', '329', '18', '332', '501', '522', '231', '476', '895', '921', '745', '440', '486', '892', '410', '10', '336', '920', '801', '290', '893', '695', '663', '658', '913', '579']
['157', '718', '287', '271', '715', '321', '597', '879', '483', '109', '402', '618', '343', '361', '613', '177', '241', '465', '845', '264', '737', '844', '383', '243', '436', '45', '517', '500', '277']
['341', '767', '225', '324', '537', '249', '26', '643', '533', '863', '159', '37', '586', '526', '570', '406', '674', '347', '727', '354', '146', '800', '693', '740', '864', '543', '868', '815', '604']
['547', '300', '71', '226', '887', '648', '685', '726', '835', '494', '174', '858', '736', '513', '602', '605', '56', '97', '263', '812', '238', '629', '298', '642', '23', '296', '511', '88', '170']
['557', '360', '49', '6', '774', '21', '38', '14', '349', '600', '55', '463', '32', '364', '132', '830', '638', '482', '100', '720', '558', '446', '374', '319', '890', '7', '115', '773', '552']
['867', '311', '212', '846', '580', '224', '131', '816', '72', '747', '680', '251', '246', '616', '623', '162', '337', '804', '662', '598', '278', '915', '276', '656', '164', '22', '125', '649', '912']
['217', '461', '459', '828', '201', '536', '272', '230', '839', '728', '840', '841', '471', '209', '214', '123', '783', '498', '652', '675', '820', '128', '47', '114', '607', '266', '872', '35', '366']
['708', '145', '703', '677', '654', '215', '541', '280', '881', '179', '392', '363', '599', '562', '443', '325', '36', '20', '905', '696', '603', '785', '269', '554', '634', '719', '144', '810', '165']
['664', '237', '653', '151', '480', '712', '796', '102', '419', '323', '29', '490', '198', '732', '403', '4', '252', '645', '456', '927', '705', '78', '665', '355', '261', '902', '553', '594', '827']
['331', '825', '308', '679', '805', '401', '53', '270', '395', '707', '926', '52', '58', '386', '432', '313', '43', '415', '866', '564', '698', '807', '659', '792', '856', '609', '706', '515', '731']
['167', '59', '229', '589', '160', '339', '882', '273', '221', '799', '425', '880', '758', '474', '702', '138', '832', '315', '353', '925', '104', '601', '3', '612', '79', '875', '849', '795', '761']
['409', '797', '850', '527', '80', '359', '30', '188', '871', '837', '423', '236', '687', '428', '619', '417', '253', '894', '911', '793', '291', '207', '721', '50', '185', '268', '189', '508', '122']
['120', '857', '819', '445', '335', '31', '534', '34', '691', '137', '407', '788', '309', '694', '754', '0', '16', '405', '524', '365', '838', '734', '514', '539', '479', '362', '161', '716', '351']
['439', '883', '28', '907', '581', '307', '769', '723', '200', '379', '244', '85', '738', '481', '372', '606', '617', '924', '101', '578', '317', '669', '897', '64', '682', '746', '505', '133', '356']
['92', '460', '525', '87', '389', '620', '182', '148', '378', '713', '673', '789', '660', '488', '639', '748', '626', '899', '437', '95', '910', '260', '771', '282', '778', '240', '632', '297', '671']
['751', '213', '91', '523', '103', '688', '248', '190', '625', '806', '873', '549', '898', '519', '15', '766', '724', '81', '572', '126', '908', '116', '891', '51', '310', '487', '575', '404', '886']
['142', '922', '112', '452', '870', '289', '593', '473', '818', '780', '646', '772', '516', '865', '587', '129', '422', '256', '286', '568', '450', '571', '657', '896', '730', '753', '135', '530', '711']
['27', '370', '556', '842', '859', '518', '136', '318', '242', '918', '803', '802', '93', '193', '187', '304', '285', '124', '743', '40', '196', '853', '928', '861', '667', '239', '169', '458', '398']
['205', '491', '917', '709', '312', '245', '346', '588', '411', '624', '563', '531', '385', '532', '546', '147', '330', '700', '862', '787', '235', '582', '429', '367', '929', '670', '633', '923', '759']
['163', '376', '852', '817', '763', '776', '919', '218', '134', '77', '914', '13', '303', '154', '855', '345', '344', '475', '381', '348', '113', '472', '222', '11', '509', '467', '630', '232', '175']
['139', '127', '340', '368', '338', '306', '301', '512', '183', '294', '595', '676', '46', '111', '75', '697', '267', '782', '690', '636', '393', '692', '168', '876', '577', '206', '24', '608', '744']
['585', '316', '725', '770', '576', '777', '521', '493', '426', '17', '829', '794', '621', '89', '755', '61', '504', '105', '833', '768', '8', '412', '143', '627', '149', '156', '397', '299', '661']
