['756', '308', '28', '6', '212', '774', '625', '536', '873', '699', '780', '556', '224', '643', '183', '280', '46', '673', '129', '606', '246', '724', '295', '110', '336', '742', '736', '832', '619', '417', '675', '86', '465', '451', '642', '458', '399', '314', '168', '438', '716', '815', '773', '312']
['557', '176', '817', '60', '874', '321', '202', '722', '346', '188', '689', '29', '471', '364', '343', '592', '119', '309', '741', '507', '605', '101', '520', '506', '743', '607', '393', '800', '269', '266', '64', '146', '143', '400', '156', '875', '446', '397', '398', '719', '876', '630', '356', '552']
['62', '409', '750', '5', '525', '300', '879', '204', '534', '134', '34', '245', '519', '859', '294', '379', '15', '588', '755', '738', '481', '41', '252', '599', '702', '357', '132', '408', '288', '162', '113', '601', '524', '684', '571', '367', '178', '706', '22', '144', '206', '849', '299', '661']
['809', '163', '565', '127', '112', '289', '349', '30', '131', '816', '842', '432', '648', '533', '490', '37', '871', '255', '236', '791', '464', '786', '513', '562', '42', '754', '93', '644', '700', '804', '260', '482', '598', '216', '853', '749', '264', '281', '649', '375', '169', '666', '604', '733']
['59', '545', '233', '679', '770', '53', '576', '777', '550', '707', '284', '829', '646', '739', '394', '835', '10', '403', '385', '782', '833', '802', '51', '381', '348', '472', '234', '130', '141', '227', '669', '135', '326', '634', '633', '374', '362', '584', '515', '165', '115', '418', '761', '192']
['569', '797', '217', '826', '491', '806', '537', '283', '529', '445', '764', '811', '426', '184', '840', '799', '794', '303', '541', '574', '148', '372', '681', '697', '345', '126', '279', '561', '652', '8', '548', '286', '582', '388', '662', '704', '854', '695', '208', '762', '872', '106', '79', '161']
['751', '213', '867', '103', '173', '160', '703', '819', '614', '492', '473', '338', '522', '650', '58', '52', '96', '878', '265', '77', '841', '386', '713', '559', '494', '526', '544', '489', '256', '610', '193', '261', '48', '282', '778', '477', '746', '627', '514', '730', '868', '517', '538', '672']
['167', '757', '21', '359', '218', '839', '306', '796', '72', '865', '63', '518', '32', '186', '433', '333', '504', '573', '66', '624', '502', '748', '827', '413', '532', '219', '546', '415', '555', '235', '320', '197', '554', '25', '575', '505', '383', '125', '268', '511', '243', '189', '795', '731']
['120', '664', '851', '466', '145', '19', '521', '654', '389', '798', '102', '228', '109', '1', '621', '84', '747', '821', '350', '111', '123', '488', '81', '105', '267', '158', '0', '564', '128', '405', '290', '497', '792', '33', '196', '369', '632', '656', '35', '753', '24', '869', '583', '628']
['73', '91', '340', '83', '459', '203', '600', '493', '769', '17', '200', '775', '685', '726', '361', '745', '655', '848', '65', '43', '788', '241', '406', '686', '551', '194', '847', '696', '187', '412', '698', '391', '3', '659', '629', '223', '39', '322', '467', '737', '810', '297', '351', '759']
['139', '767', '329', '14', '814', '201', '195', '395', '272', '470', '549', '640', '293', '301', '231', '476', '453', '82', '154', '352', '855', '358', '423', '645', '591', '694', '36', '705', '768', '257', '820', '485', '862', '566', '658', '180', '149', '670', '539', '577', '579', '88', '508', '45']
['637', '461', '460', '452', '80', '593', '580', '448', '581', '215', '55', '709', '182', '323', '342', '378', '98', '596', '499', '462', '174', '858', '384', '138', '325', '302', '866', '69', '638', '487', '285', '429', '90', '528', '222', '258', '735', '296', '864', '479', '711', '341', '232', '500']
['27', '825', '142', '615', '205', '763', '18', '421', '870', '590', '71', '435', '57', '89', '863', '587', '209', '680', '474', '214', '563', '363', '422', '843', '428', '20', '790', '250', '475', '801', '104', '578', '347', '812', '734', '838', '238', '785', '365', '657', '396', '844', '175', '744']
['49', '589', '229', '523', '653', '38', '805', '248', '752', '560', '150', '270', '677', '567', '247', '779', '728', '516', '691', '618', '198', '313', '586', '837', '486', '639', '177', '540', '315', '478', '498', '665', '674', '727', '317', '450', '291', '845', '663', '171', '373', '442', '594', '366']
['331', '311', '449', '157', '430', '210', '237', '94', '151', '271', '368', '715', '454', '87', '335', '117', '226', '254', '512', '760', '402', '155', '469', '377', '244', '318', '390', '99', '830', '78', '380', '344', '420', '97', '568', '710', '276', '720', '100', '714', '609', '185', '118', '133']
['211', '852', '334', '287', '776', '818', '107', '712', '220', '292', '723', '444', '26', '701', '483', '407', '410', '414', '631', '572', '531', '570', '75', '626', '275', '278', '68', '40', '207', '354', '612', '298', '76', '861', '622', '50', '2', '543', '431', '54', '170', '611', '122', '277']
['225', '765', '647', '332', '501', '678', '424', '172', '273', '641', '221', '262', '836', '416', '136', '732', '159', '766', '387', '834', '660', '831', '392', '152', '783', '259', '717', '199', '147', '457', '353', '16', '116', '56', '437', '47', '553', '771', '153', '11', '67', '12', '164', '7']
['585', '316', '92', '274', '439', '547', '496', '688', '846', '401', '339', '828', '190', '527', '535', '370', '121', '419', '772', '108', '425', '13', '166', '468', '242', '758', '251', '440', '617', '687', '443', '784', '434', '602', '240', '693', '191', '44', '509', '447', '239', '781', '436', '671']
['376', '857', '668', '360', '70', '718', '729', '249', '877', '620', '307', '484', '137', '595', '382', '61', '85', '411', '789', '616', '4', '456', '823', '510', '603', '114', '95', '305', '787', '304', '495', '807', '793', '310', '682', '856', '824', '23', '740', '530', '140', '813', '181', '327']
['427', '725', '850', '9', '708', '503', '822', '324', '230', '597', '480', '31', '328', '463', '676', '179', '455', '613', '803', '690', '683', '623', '808', '441', '253', '355', '337', '330', '263', '860', '542', '636', '124', '692', '404', '667', '721', '651', '558', '635', '74', '319', '371', '608']
