['809', '547', '213', '103', '817', '466', '248', '401', '590', '300', '709', '739', '29', '89', '821', '559', '357', '406', '602', '510', '610', '288', '128', '638', '305', '568', '704', '90', '197', '762', '146', '400', '458', '584', '759']
['120', '409', '751', '851', '157', '145', '212', '560', '597', '221', '307', '419', '512', '371', '382', '154', '387', '570', '152', '138', '147', '823', '95', '234', '793', '140', '450', '692', '39', '539', '133', '666', '436', '170', '744']
['850', '430', '19', '795', '521', '527', '715', '338', '31', '426', '26', '728', '595', '621', '407', '745', '46', '66', '724', '385', '686', '132', '507', '605', '253', '365', '40', '844', '753', '670', '634', '22', '319', '604', '538']
['360', '49', '615', '225', '14', '846', '654', '335', '306', '265', '379', '343', '318', '766', '455', '702', '572', '705', '690', '257', '8', '698', '235', '238', '629', '853', '854', '64', '693', '558', '711', '442', '161', '470', '341']
['308', '545', '491', '237', '53', '324', '359', '641', '134', '772', '377', '432', '61', '655', '835', '411', '526', '65', '831', '464', '428', '325', '126', '802', '417', '675', '113', '278', '720', '79', '446', '374', '314', '232', '122']
['59', '311', '83', '822', '173', '368', '283', '535', '224', '58', '245', '346', '13', '386', '471', '136', '255', '75', '551', '768', '408', '820', '700', '405', '734', '240', '393', '451', '367', '23', '609', '635', '550', '299', '731']
['523', '217', '334', '718', '765', '763', '620', '712', '52', '691', '596', '440', '110', '502', '392', '613', '591', '434', '564', '275', '475', '785', '208', '622', '12', '740', '479', '577', '206', '849', '608', '438', '781', '628']
['331', '274', '589', '233', '776', '172', '454', '87', '614', '284', '107', '389', '581', '292', '816', '643', '842', '77', '200', '680', '214', '295', '843', '443', '619', '114', '603', '104', '607', '222', '258', '511', '88', '277']
['427', '190', '151', '729', '480', '204', '17', '96', '109', '416', '32', '676', '587', '726', '333', '494', '681', '748', '531', '833', '754', '315', '380', '787', '317', '612', '216', '663', '25', '658', '575', '509', '649', '594']
['557', '73', '229', '461', '757', '5', '424', '677', '71', '699', '811', '34', '469', '364', '303', '198', '673', '848', '10', '786', '562', '99', '457', '16', '381', '644', '162', '674', '47', '304', '771', '727', '50', '719']
['797', '9', '647', '650', '769', '72', '155', '166', '468', '618', '574', '186', '624', '789', '4', '631', '309', '81', '384', '345', '532', '784', '199', '415', '20', '42', '636', '124', '429', '845', '749', '369', '373', '264']
['127', '340', '339', '625', '537', '203', '818', '121', '534', '323', '15', '732', '280', '358', '123', '174', '788', '671', '694', '413', '344', '485', '566', '290', '320', '276', '682', '44', '714', '2', '579', '297', '448', '366']
['585', '664', '70', '289', '94', '395', '321', '492', '202', '829', '646', '182', '352', '85', '592', '617', '697', '540', '626', '158', '194', '441', '97', '684', '800', '746', '824', '396', '149', '375', '185', '118', '398', '773']
['167', '569', '756', '316', '496', '668', '91', '6', '770', '21', '653', '459', '814', '703', '329', '580', '117', '648', '159', '41', '43', '414', '177', '498', '286', '495', '659', '207', '191', '632', '67', '168', '243', '827']
['142', '28', '501', '525', '593', '55', '215', '220', '328', '701', '484', '483', '342', '183', '463', '242', '499', '834', '129', '179', '236', '803', '390', '267', '353', '93', '250', '808', '412', '263', '506', '354', '169', '583']
['92', '163', '62', '376', '439', '672', '38', '828', '678', '707', '779', '689', '425', '490', '747', '244', '586', '474', '486', '544', '259', '327', '489', '330', '669', '153', '737', '35', '189', '716', '45', '7', '761', '192']
['708', '218', '230', '30', '529', '780', '188', '794', '775', '685', '37', '378', '855', '372', '791', '639', '336', '782', '420', '101', '193', '337', '548', '542', '743', '33', '571', '171', '627', '239', '706', '397', '268', '362']
['637', '211', '852', '826', '503', '195', '445', '493', '567', '722', '518', '533', '738', '573', '837', '599', '832', '241', '736', '741', '69', '804', '472', '388', '260', '291', '68', '792', '554', '180', '431', '508', '611', '552']
['725', '565', '679', '805', '160', '332', '270', '349', '249', '370', '226', '247', '184', '476', '402', '519', '588', '350', '660', '783', '279', '696', '282', '223', '266', '76', '514', '281', '156', '106', '515', '815', '813', '500']
['205', '112', '549', '254', '840', '836', '841', '1', '294', '541', '755', '251', '403', '687', '105', '717', '36', '790', '652', '665', '355', '261', '807', '285', '497', '130', '196', '667', '447', '730', '164', '24', '181', '733']
['767', '688', '421', '452', '272', '764', '796', '444', '760', '394', '82', '713', '563', '488', '363', '513', '456', '546', '555', '520', '601', '48', '310', '391', '553', '695', '298', '11', '404', '656', '383', '125', '630', '351']
['27', '139', '750', '210', '18', '806', '287', '536', '819', '839', '556', '262', '301', '798', '799', '108', '137', '313', '209', '481', '256', '801', '582', '482', '487', '477', '100', '642', '505', '543', '530', '54', '517', '312']
['825', '449', '460', '150', '576', '271', '273', '522', '131', '453', '435', '57', '148', '361', '98', '758', '504', '462', '111', '616', '645', '422', '219', '302', '683', '0', '56', '348', '598', '528', '467', '721', '74', '633']
['176', '60', '752', '777', '201', '80', '473', '640', '293', '228', '423', '252', '561', '78', '623', '478', '116', '51', '437', '187', '347', '812', '524', '778', '141', '269', '178', '135', '399', '144', '356', '175', '661', '326']
['774', '600', '723', '231', '102', '516', '63', '84', '433', '246', '606', '410', '119', '742', '830', '847', '578', '86', '3', '838', '662', '710', '465', '227', '735', '143', '657', '322', '296', '651', '810', '115', '418', '165']
