['585', '274', '308', '139', '850', '225', '233', '679', '951', '248', '5', '424', '964', '338', '389', '31', '328', '109', '386', '960', '407', '85', '209', '481', '98', '834', '10', '742', '786', '965', '949', '485', '113', '601', '317', '393', '282', '598', '845', '505', '539', '530', '436', '815', '232']
['409', '637', '857', '466', '38', '160', '828', '19', '527', '919', '839', '306', '796', '728', '842', '425', '63', '432', '471', '518', '343', '586', '837', '660', '455', '687', '803', '927', '381', '288', '885', '47', '290', '497', '90', '928', '197', '669', '720', '963', '810', '868', '912', '181', '882']
['167', '756', '331', '360', '851', '60', '300', '581', '215', '887', '643', '865', '921', '468', '732', '186', '46', '559', '881', '759', '967', '129', '403', '936', '681', '81', '802', '128', '894', '234', '238', '743', '792', '692', '695', '897', '25', '276', '50', '609', '913', '706', '635', '24', '312']
['316', '73', '27', '589', '205', '21', '14', '950', '339', '625', '80', '454', '284', '699', '877', '780', '204', '595', '541', '154', '971', '387', '624', '631', '422', '702', '428', '591', '413', '36', '546', '507', '348', '506', '320', '854', '171', '632', '467', '864', '74', '711', '374', '371', '671']
['751', '565', '311', '103', '334', '6', '873', '272', '71', '939', '492', '293', '34', '26', '77', '689', '155', '148', '596', '255', '848', '236', '616', '544', '830', '924', '344', '644', '8', '698', '388', '130', '684', '266', '35', '714', '125', '458', '398', '133', '579', '508', '45', '795']
['906', '959', '884', '491', '688', '212', '814', '150', '289', '370', '202', '226', '419', '512', '794', '72', '440', '110', '464', '105', '415', '279', '690', '315', '602', '417', '56', '603', '820', '355', '412', '793', '778', '143', '682', '627', '942', '373', '239', '890', '161', '583', '611', '661']
['91', '9', '750', '757', '329', '752', '94', '943', '956', '707', '729', '614', '493', '879', '926', '13', '323', '618', '244', '755', '680', '486', '66', '563', '4', '617', '65', '336', '613', '686', '158', '705', '833', '768', '16', '0', '330', '495', '208', '970', '876', '577', '849', '781']
['557', '767', '459', '525', '654', '395', '349', '938', '878', '435', '574', '685', '313', '159', '933', '462', '119', '931', '784', '267', '457', '420', '696', '665', '187', '909', '95', '304', '140', '285', '812', '291', '861', '451', '11', '67', '740', '2', '399', '297', '869', '170', '773', '672']
['825', '28', '765', '874', '501', '195', '819', '811', '722', '58', '484', '416', '377', '183', '89', '61', '835', '592', '309', '562', '532', '132', '78', '925', '862', '638', '566', '391', '365', '659', '465', '947', '322', '39', '642', '12', '651', '929', '397', '362', '515', '604', '744', '327']
['809', '523', '708', '145', '846', '576', '283', '359', '218', '818', '221', '798', '121', '245', '108', '775', '364', '15', '280', '766', '251', '871', '570', '152', '697', '540', '325', '357', '905', '790', '256', '337', '305', '124', '607', '369', '191', '824', '514', '447', '633', '144', '448', '923']
['62', '376', '615', '173', '653', '560', '907', '537', '535', '273', '776', '230', '480', '641', '335', '709', '769', '55', '17', '134', '483', '863', '252', '788', '843', '75', '717', '908', '754', '475', '564', '253', '498', '893', '889', '216', '33', '571', '296', '156', '634', '268', '550', '326']
['439', '213', '229', '70', '904', '805', '18', '703', '590', '937', '957', '829', '96', '691', '182', '29', '469', '519', '490', '352', '713', '892', '789', '831', '174', '488', '414', '384', '250', '116', '162', '286', '472', '278', '40', '146', '856', '886', '431', '88', '341', '356', '299', '366']
['163', '969', '647', '201', '203', '117', '292', '247', '816', '262', '188', '361', '855', '673', '138', '443', '918', '434', '626', '241', '623', '257', '520', '86', '911', '542', '429', '487', '612', '762', '657', '44', '178', '896', '558', '106', '753', '479', '446', '168', '243', '594', '7', '351']
['427', '867', '340', '217', '53', '597', '640', '307', '426', '534', '646', '184', '760', '898', '231', '1', '136', '588', '333', '474', '410', '858', '295', '572', '953', '259', '736', '847', '727', '662', '629', '354', '800', '258', '872', '746', '721', '730', '966', '164', '383', '649', '741', '761']
['496', '59', '725', '449', '718', '112', '945', '287', '549', '30', '522', '57', '166', '859', '648', '463', '402', '411', '526', '724', '489', '782', '551', '823', '808', '510', '441', '114', '104', '578', '347', '902', '568', '958', '528', '710', '554', '180', '79', '319', '442', '206', '277', '827']
['92', '797', '664', '142', '176', '826', '774', '452', '324', '151', '271', '715', '470', '473', '249', '764', '620', '556', '567', '836', '453', '200', '533', '747', '587', '494', '748', '385', '832', '561', '97', '946', '548', '524', '68', '141', '935', '656', '737', '670', '375', '314', '716', '552']
['883', '922', '932', '461', '332', '806', '190', '536', '628', '593', '321', '107', '917', '224', '301', '444', '840', '799', '901', '37', '639', '390', '456', '199', '219', '683', '353', '408', '866', '785', '450', '477', '853', '298', '64', '404', '264', '281', '954', '719', '189', '813', '608', '192']
['569', '211', '817', '460', '430', '210', '401', '870', '678', '701', '102', '265', '394', '621', '726', '499', '821', '758', '246', '392', '783', '513', '619', '406', '147', '478', '51', '610', '674', '910', '787', '235', '968', '704', '223', '269', '227', '575', '23', '667', '149', '22', '438', '731']
['547', '668', '852', '127', '157', '49', '580', '220', '739', '772', '476', '841', '516', '82', '745', '318', '378', '880', '350', '111', '423', '123', '645', '177', '920', '899', '99', '42', '555', '194', '605', '193', '69', '48', '207', '735', '153', '100', '693', '509', '396', '903', '122', '538']
['120', '545', '237', '777', '87', '529', '445', '131', '254', '52', '346', '900', '895', '342', '294', '379', '303', '676', '242', '738', '655', '372', '41', '606', '179', '531', '20', '302', '437', '261', '700', '310', '734', '888', '962', '196', '915', '622', '844', '952', '169', '584', '944', '733']
['83', '503', '822', '763', '421', '677', '270', '600', '712', '779', '940', '723', '650', '32', '84', '382', '433', '358', '791', '363', '599', '694', '345', '101', '891', '801', '405', '263', '553', '482', '771', '860', '222', '400', '658', '941', '135', '875', '118', '54', '517', '115', '500', '175']
['165', '770', '961', '521', '368', '172', '228', '914', '137', '198', '504', '573', '214', '955', '43', '502', '126', '934', '93', '380', '930', '652', '675', '275', '804', '948', '260', '807', '636', '3', '240', '582', '838', '749', '663', '76', '367', '543', '185', '511', '666', '630', '418', '916']
