['637', '340', '576', '190', '535', '230', '597', '338', '516', '691', '29', '685', '732', '586', '488', '570', '702', '138', '619', '717', '555', '16', '8', '128', '97', '578', '524', '429', '278', '657', '322', '373', '50', '12', '54', '577', '140', '500', '326']
['92', '331', '565', '274', '708', '688', '83', '460', '647', '151', '87', '218', '389', '581', '493', '293', '512', '519', '1', '738', '387', '599', '177', '602', '420', '603', '47', '487', '3', '68', '222', '269', '693', '575', '737', '730', '633', '362', '458']
['360', '466', '334', '233', '19', '454', '614', '284', '419', '77', '72', '155', '574', '4', '681', '631', '81', '309', '428', '591', '413', '489', '344', '381', '485', '263', '566', '365', '393', '320', '25', '720', '682', '44', '609', '2', '579', '448', '366']
['167', '316', '409', '668', '311', '329', '21', '339', '625', '527', '537', '203', '470', '292', '121', '534', '306', '595', '15', '352', '85', '411', '440', '75', '110', '697', '158', '408', '257', '662', '317', '396', '149', '398', '206', '133', '297', '517', '604']
['557', '163', '62', '376', '229', '173', '653', '38', '593', '71', '600', '215', '328', '245', '646', '483', '377', '186', '242', '499', '41', '152', '540', '241', '267', '199', '288', '568', '506', '238', '629', '692', '216', '669', '197', '35', '189', '7', '192']
['439', '127', '523', '225', '672', '678', '590', '707', '699', '30', '202', '34', '689', '386', '432', '379', '343', '244', '407', '474', '486', '414', '392', '544', '259', '250', '330', '412', '234', '607', '400', '23', '67', '649', '319', '716', '608', '733', '327']
['91', '103', '6', '401', '368', '300', '134', '26', '739', '13', '490', '37', '46', '462', '255', '617', '295', '336', '443', '434', '132', '690', '644', '337', '548', '290', '542', '734', '472', '33', '735', '369', '171', '627', '558', '239', '88', '594', '552']
['211', '145', '212', '248', '459', '195', '654', '270', '641', '335', '58', '701', '643', '471', '32', '518', '533', '364', '129', '65', '384', '736', '390', '415', '457', '315', '353', '564', '69', '260', '291', '196', '223', '276', '180', '514', '106', '611', '538']
['725', '547', '349', '221', '247', '226', '31', '188', '402', '303', '89', '382', '159', '251', '573', '526', '10', '214', '43', '455', '705', '279', '551', '605', '696', '498', '104', '700', '304', '282', '612', '130', '266', '39', '156', '268', '374', '243', '436']
['28', '679', '237', '53', '332', '324', '424', '249', '224', '346', '476', '109', '136', '587', '318', '673', '403', '639', '572', '531', '126', '147', '42', '623', '475', '652', '253', '477', '509', '667', '281', '447', '164', '479', '375', '431', '584', '170', '371']
['496', '217', '205', '160', '580', '321', '529', '549', '107', '117', '254', '96', '200', '294', '618', '541', '280', '655', '333', '724', '687', '385', '105', '562', '36', '610', '441', '355', '698', '347', '638', '285', '659', '710', '706', '635', '711', '24', '181']
['664', '430', '421', '272', '620', '444', '394', '416', '82', '713', '372', '624', '563', '513', '345', '325', '20', '510', '675', '520', '95', '48', '286', '391', '450', '258', '695', '298', '208', '11', '404', '622', '656', '670', '634', '543', '161', '508', '351']
['73', '213', '139', '49', '503', '491', '210', '112', '18', '287', '283', '395', '426', '301', '262', '556', '108', '342', '154', '481', '256', '261', '113', '310', '553', '582', '207', '663', '100', '642', '505', '79', '539', '383', '397', '719', '666', '299', '731']
['585', '27', '142', '341', '589', '70', '157', '14', '289', '271', '729', '480', '307', '52', '131', '57', '468', '313', '361', '588', '209', '592', '504', '111', '616', '174', '660', '422', '464', '532', '626', '406', '482', '168', '314', '630', '671', '583', '312']
['569', '59', '615', '9', '545', '718', '150', '452', '703', '273', '492', '370', '522', '722', '728', '686', '0', '56', '348', '388', '124', '598', '90', '528', '191', '632', '658', '264', '467', '451', '721', '74', '169', '144', '118', '550', '232', '628', '122']
['176', '501', '172', '265', '469', '183', '166', '148', '61', '98', '559', '66', '123', '179', '119', '645', '219', '561', '683', '78', '302', '478', '116', '275', '665', '417', '51', '727', '497', '141', '571', '178', '714', '446', '185', '515', '45', '356', '661']
['120', '308', '461', '677', '715', '359', '473', '204', '640', '709', '567', '17', '184', '453', '484', '435', '323', '621', '358', '236', '613', '456', '546', '99', '507', '93', '101', '193', '114', '187', '674', '405', '305', '235', '495', '704', '153', '22', '125']
['427', '449', '60', '201', '80', '55', '228', '137', '648', '198', '676', '433', '378', '596', '680', '350', '246', '423', '363', '194', '437', '162', '86', '636', '240', '40', '684', '354', '146', '554', '465', '227', '143', '367', '511', '399', '442', '438', '277']
['5', '94', '560', '525', '521', '536', '445', '712', '220', '650', '723', '102', '231', '425', '182', '63', '463', '84', '726', '494', '410', '606', '252', '502', '694', '357', '380', '601', '64', '76', '296', '135', '651', '530', '115', '418', '175', '165']
