['324', '943', '249', '917', '493', '772', '155', '200', '468', '32', '85', '41', '586', '358', '791', '110', '132', '194', '441', '304', '860', '893', '854', '146', '941', '44', '558', '165', '671', '628', '552']
['120', '851', '647', '401', '625', '204', '306', '121', '247', '262', '829', '796', '689', '621', '499', '333', '440', '295', '570', '531', '259', '241', '790', '478', '652', '437', '520', '238', '740', '189', '630']
['427', '73', '637', '565', '205', '822', '945', '287', '226', '131', '534', '34', '228', '435', '955', '563', '138', '415', '833', '45', '866', '56', '86', '124', '322', '721', '730', '633', '944', '912', '795']
['360', '60', '678', '521', '527', '389', '641', '426', '878', '840', '57', '402', '318', '673', '462', '10', '631', '697', '830', '42', '116', '348', '801', '820', '412', '582', '258', '397', '243', '418', '773']
['569', '850', '537', '272', '567', '301', '346', '914', '15', '588', '66', '119', '81', '786', '302', '485', '8', '337', '263', '568', '612', '762', '845', '935', '749', '404', '622', '781', '181', '744', '327']
['163', '664', '904', '14', '160', '501', '907', '195', '273', '335', '134', '13', '533', '680', '43', '599', '953', '694', '920', '406', '551', '250', '51', '948', '553', '223', '298', '913', '635', '438', '232']
['797', '523', '70', '503', '873', '593', '707', '284', '549', '597', '107', '370', '202', '359', '245', '108', '832', '690', '802', '823', '862', '141', '684', '915', '64', '824', '479', '442', '470', '500', '759']
['906', '756', '668', '867', '466', '826', '6', '805', '806', '777', '271', '776', '31', '52', '26', '895', '960', '494', '924', '555', '261', '636', '67', '35', '539', '319', '54', '168', '868', '341', '604']
['316', '547', '459', '19', '71', '425', '303', '541', '244', '361', '596', '835', '504', '236', '681', '257', '564', '391', '524', '704', '40', '710', '800', '25', '467', '543', '185', '719', '24', '448', '326']
['213', '950', '368', '203', '292', '701', '419', '836', '794', '574', '343', '313', '372', '871', '831', '562', '325', '357', '683', '417', '603', '548', '48', '889', '465', '191', '746', '942', '169', '297', '916']
['308', '922', '145', '828', '525', '819', '218', '480', '879', '188', '166', '198', '255', '892', '152', '931', '702', '422', '736', '918', '78', '93', '700', '804', '787', '692', '627', '634', '374', '815', '192']
['557', '852', '217', '589', '688', '83', '874', '653', '536', '919', '492', '37', '407', '433', '724', '687', '158', '808', '104', '674', '601', '450', '240', '367', '23', '509', '651', '864', '239', '74', '711']
['92', '857', '49', '173', '21', '473', '600', '646', '444', '728', '184', '483', '182', '432', '655', '46', '936', '455', '783', '742', '905', '958', '47', '3', '629', '320', '451', '383', '140', '115', '312']
['38', '248', '289', '94', '560', '172', '454', '614', '230', '445', '957', '58', '842', '379', '587', '174', '532', '199', '782', '36', '290', '506', '807', '727', '317', '477', '369', '947', '706', '584', '517']
['809', '376', '211', '767', '334', '237', '151', '722', '29', '323', '209', '821', '214', '111', '403', '660', '179', '540', '267', '344', '602', '644', '578', '771', '234', '388', '216', '207', '695', '362', '661']
['817', '846', '752', '421', '898', '453', '148', '84', '855', '411', '251', '246', '848', '639', '546', '561', '420', '256', '97', '638', '305', '482', '90', '778', '667', '844', '649', '458', '206', '810', '869']
['62', '340', '679', '491', '951', '53', '715', '300', '17', '775', '137', '387', '606', '414', '502', '784', '705', '99', '930', '128', '310', '720', '171', '856', '11', '903', '153', '511', '399', '356', '731']
['496', '439', '142', '91', '9', '884', '938', '231', '77', '516', '859', '490', '82', '676', '352', '242', '933', '748', '279', '507', '812', '598', '393', '669', '514', '656', '896', '875', '431', '611', '761']
['127', '461', '937', '55', '117', '620', '650', '816', '512', '739', '72', '63', '921', '648', '747', '732', '616', '443', '686', '949', '381', '498', '909', '113', '347', '285', '227', '266', '22', '133', '175']
['430', '774', '283', '349', '877', '328', '342', '758', '837', '858', '392', '803', '434', '147', '101', '665', '925', '698', '405', '734', '838', '282', '130', '853', '400', '642', '12', '164', '954', '125', '849']
['274', '757', '765', '677', '654', '535', '338', '818', '522', '712', '556', '901', '691', '416', '377', '136', '75', '843', '934', '768', '288', '275', '792', '269', '100', '872', '50', '2', '876', '579', '538']
['59', '157', '225', '449', '212', '780', '220', '798', '102', '294', '89', '863', '755', '789', '788', '544', '927', '16', '696', '610', '193', '235', '735', '663', '447', '929', '398', '314', '515', '371', '608']
