['906', '637', '308', '21', '368', '873', '183', '352', '46', '129', '111', '267', '315', '564', '128', '317', '197', '447', '975', '88']
['274', '959', '211', '777', '678', '284', '940', '834', '75', '259', '327', '250', '981', '910', '582', '915', '442', '515', '24', '916']
['585', '884', '233', '287', '473', '597', '712', '426', '709', '411', '955', '858', '119', '644', '669', '746', '509', '67', '912', '552']
['331', '340', '576', '203', '215', '159', '869', '881', '392', '544', '385', '690', '420', '737', '149', '79', '944', '371', '500', '882']
['311', '851', '950', '806', '321', '29', '468', '648', '490', '387', '65', '422', '384', '158', '833', '478', '553', '989', '886', '397']
['139', '994', '226', '444', '26', '842', '425', '533', '595', '494', '123', '965', '93', '603', '429', '762', '998', '720', '374', '630']
['677', '537', '819', '614', '370', '818', '109', '837', '526', '843', '862', '568', '365', '124', '207', '196', '792', '143', '543', '608']
['27', '329', '19', '723', '34', '419', '878', '728', '516', '361', '848', '4', '138', '456', '216', '942', '929', '954', '577', '672']
['974', '142', '157', '459', '452', '964', '247', '898', '346', '72', '519', '244', '971', '967', '631', '464', '976', '105', '434', '448']
['825', '466', '421', '359', '71', '155', '574', '685', '350', '639', '681', '784', '126', '905', '979', '48', '369', '22', '458', '45']
['809', '857', '565', '589', '765', '527', '829', '646', '13', '980', '586', '786', '736', '146', '682', '753', '864', '649', '189', '7']
['92', '523', '6', '248', '625', '937', '699', '512', '463', '573', '918', '199', '408', '891', '288', '354', '897', '398', '133', '827']
['770', '653', '961', '580', '218', '117', '483', '747', '835', '41', '540', '532', '808', '866', '253', '506', '658', '44', '319', '849']
['316', '120', '334', '491', '590', '593', '300', '107', '534', '63', '136', '983', '591', '623', '911', '627', '264', '824', '297', '366']
['668', '9', '826', '814', '245', '15', '617', '414', '177', '413', '683', '665', '95', '285', '227', '178', '74', '268', '594', '418']
['167', '49', '70', '988', '38', '349', '364', '676', '378', '209', '255', '570', '949', '727', '291', '735', '749', '706', '446', '761']
['439', '127', '774', '53', '454', '445', '265', '440', '428', '803', '619', '36', '187', '734', '838', '90', '320', '125', '719', '997']
['557', '536', '389', '581', '926', '796', '973', '481', '10', '179', '295', '899', '406', '97', '700', '263', '487', '800', '298', '657']
['73', '817', '201', '972', '529', '31', '77', '933', '372', '673', '488', '457', '768', '934', '337', '578', '497', '684', '554', '952']
['496', '569', '28', '173', '424', '715', '816', '821', '81', '599', '920', '498', '885', '946', '261', '548', '33', '963', '156', '714']
['751', '932', '560', '525', '270', '492', '108', '471', '732', '726', '309', '380', '610', '275', '607', '651', '558', '670', '362', '277']
['986', '360', '237', '647', '18', '907', '249', '641', '292', '84', '613', '626', '344', '475', '948', '304', '234', '872', '539', '470']
['797', '60', '828', '501', '230', '879', '202', '435', '182', '865', '738', '788', '0', '381', '925', '566', '695', '404', '35', '609']
['805', '877', '121', '799', '900', '377', '85', '474', '410', '984', '485', '958', '659', '778', '393', '25', '11', '2', '733', '923']
['750', '752', '283', '493', '567', '701', '318', '855', '624', '486', '110', '561', '42', '353', '605', '482', '692', '514', '161', '579']
['225', '87', '335', '1', '303', '592', '995', '791', '489', '717', '256', '64', '191', '39', '185', '168', '584', '170', '604', '744']
['376', '409', '763', '339', '943', '729', '307', '722', '57', '587', '880', '953', '302', '802', '830', '542', '662', '367', '431', '759']
['59', '615', '91', '112', '977', '549', '306', '957', '691', '621', '154', '198', '745', '660', '116', '652', '290', '636', '970', '913']
['535', '938', '841', '775', '382', '713', '504', '236', '403', '936', '336', '702', '697', '908', '257', '743', '76', '622', '239', '314']
['460', '150', '402', '379', '831', '696', '330', '8', '638', '347', '86', '704', '889', '987', '663', '575', '396', '634', '508', '232']
['212', '846', '324', '204', '811', '293', '739', '760', '960', '680', '214', '847', '51', '278', '223', '100', '991', '511', '206', '140']
