['756', '331', '274', '27', '308', '311', '127', '225', '70', '874', '332', '943', '776', '581', '522', '887', '829', '155', '685', '379', '313', '621', '209', '973', '834', '129', '462', '488', '936', '443', '619', '683', '652', '405', '958', '804', '495', '911', '269', '197', '663', '947', '575', '856', '383', '876', '550', '583', '500', '744']
['867', '466', '884', '233', '334', '826', '988', '145', '19', '870', '677', '283', '614', '284', '492', '454', '389', '957', '796', '34', '878', '643', '921', '574', '960', '411', '980', '791', '736', '20', '353', '478', '485', '162', '128', '734', '365', '223', '710', '915', '171', '180', '281', '656', '929', '913', '886', '649', '577', '672']
['360', '91', '449', '904', '708', '817', '916', '993', '678', '907', '321', '699', '338', '917', '780', '335', '292', '224', '254', '419', '77', '842', '794', '72', '346', '4', '681', '992', '686', '561', '665', '348', '909', '47', '638', '234', '607', '465', '146', '369', '76', '264', '67', '50', '397', '517', '611', '923', '882', '192']
['725', '797', '852', '969', '83', '329', '248', '424', '580', '473', '107', '518', '15', '863', '159', '433', '242', '407', '835', '855', '387', '586', '955', '214', '123', '624', '788', '81', '599', '631', '309', '384', '694', '591', '784', '413', '551', '768', '69', '674', '412', '472', '429', '450', '737', '634', '319', '584', '297', '341']
['565', '932', '545', '14', '527', '873', '349', '218', '994', '600', '247', '512', '483', '57', '775', '618', '732', '587', '198', '871', '246', '455', '702', '687', '428', '832', '927', '705', '908', '344', '16', '56', '381', '675', '566', '704', '612', '889', '477', '33', '800', '897', '143', '156', '135', '479', '954', '362', '399', '604']
['825', '157', '430', '112', '625', '945', '919', '818', '811', '293', '701', '184', '265', '914', '739', '425', '676', '186', '318', '745', '41', '789', '892', '617', '502', '345', '219', '406', '275', '564', '104', '520', '97', '95', '68', '393', '141', '320', '130', '266', '153', '25', '720', '682', '44', '753', '864', '375', '438', '181']
['167', '163', '62', '637', '213', '906', '718', '536', '395', '549', '709', '816', '245', '836', '689', '82', '490', '766', '474', '759', '848', '953', '138', '803', '532', '267', '302', '623', '605', '891', '981', '8', '355', '304', '388', '290', '260', '629', '990', '632', '11', '447', '609', '2', '579', '24', '630', '448', '366', '312']
['427', '409', '9', '28', '459', '339', '537', '172', '203', '938', '221', '426', '306', '121', '534', '262', '484', '402', '541', '755', '655', '98', '563', '422', '697', '390', '241', '36', '147', '507', '696', '808', '441', '603', '910', '235', '391', '278', '692', '669', '693', '451', '746', '322', '824', '178', '431', '781', '741', '418']
['212', '5', '480', '220', '328', '650', '131', '691', '13', '29', '175', '342', '595', '109', '37', '352', '85', '440', '573', '673', '486', '616', '858', '75', '152', '110', '786', '513', '158', '408', '257', '866', '979', '885', '261', '263', '487', '317', '276', '963', '396', '149', '844', '975', '511', '398', '206', '133', '299', '538']
['316', '59', '751', '668', '340', '165', '173', '21', '401', '703', '715', '956', '707', '470', '839', '226', '17', '26', '898', '476', '154', '738', '481', '660', '831', '570', '920', '782', '99', '965', '45', '552', '288', '253', '700', '548', '902', '282', '962', '354', '684', '373', '872', '467', '505', '890', '140', '815', '773', '827']
['974', '139', '211', '229', '6', '653', '961', '846', '814', '289', '593', '273', '71', '272', '597', '55', '215', '646', '228', '166', '377', '747', '588', '378', '680', '499', '66', '179', '414', '336', '540', '918', '199', '415', '905', '802', '949', '934', '279', '475', '787', '482', '86', '838', '568', '291', '506', '571', '627', '115']
['557', '92', '809', '376', '959', '757', '765', '38', '977', '18', '806', '556', '940', '722', '134', '841', '1', '137', '148', '468', '343', '471', '648', '880', '236', '363', '748', '783', '327', '717', '101', '989', '3', '238', '727', '497', '216', '861', '622', '991', '903', '35', '740', '7', '239', '189', '170', '997', '761', '326']
